😀	osinekile, ubuso obusinekile
👊🏿	iqupha, iqupha elizayo, iqupha elizayo: uhlobo-6, isandla, uhlobo-6, ukufumbatha isibhakela, umzimba
🤛	inqindi, inqindi ebheke kwesokunxele, kwesokunxele
🤛🏻	inqindi, inqindi ebheke kwesokunxele, inqindi ebheke kwesokunxele: uhlobo-1-2, kwesokunxele, uhlobo-1-2
🤛🏼	inqindi, inqindi ebheke kwesokunxele, inqindi ebheke kwesokunxele: uhlobo-3, kwesokunxele, uhlobo-3
🤛🏽	inqindi, inqindi ebheke kwesokunxele, inqindi ebheke kwesokunxele: uhlobo-4, kwesokunxele, uhlobo-4
🤛🏾	inqindi, inqindi ebheke kwesokunxele, inqindi ebheke kwesokunxele: uhlobo-5, kwesokunxele, uhlobo-5
🤛🏿	inqindi, inqindi ebheke kwesokunxele, inqindi ebheke kwesokunxele: uhlobo-6, kwesokunxele, uhlobo-6
🤜	inqindi, inqindi ebheke kwesokudla, kwesokudla
🤜🏻	inqindi, inqindi ebheke kwesokudla, inqindi ebheke kwesokudla: uhlobo-1-2, kwesokudla, uhlobo-1-2
🤜🏼	inqindi, inqindi ebheke kwesokudla, inqindi ebheke kwesokudla: uhlobo-3, kwesokudla, uhlobo-3
🤜🏽	inqindi, inqindi ebheke kwesokudla, inqindi ebheke kwesokudla: uhlobo-4, kwesokudla, uhlobo-4
🤜🏾	inqindi, inqindi ebheke kwesokudla, inqindi ebheke kwesokudla: uhlobo-5, kwesokudla, uhlobo-5
🤜🏿	inqindi, inqindi ebheke kwesokudla, inqindi ebheke kwesokudla: uhlobo-6, kwesokudla, uhlobo-6
👏	izindla, ukushaya izandla, umzimba
👏🏻	izindla, uhlobo-1-2, ukushaya izandla, ukushaya izandla: uhlobo-1-2, umzimba
👏🏼	izindla, uhlobo-3, ukushaya izandla, ukushaya izandla: uhlobo-3, umzimba
👏🏽	izindla, uhlobo-4, ukushaya izandla, ukushaya izandla: uhlobo-4, umzimba
👏🏾	izindla, uhlobo-5, ukushaya izandla, ukushaya izandla: uhlobo-5, umzimba
👏🏿	izindla, uhlobo-6, ukushaya izandla, ukushaya izandla: uhlobo-6, umzimba
🙌	halala, isandla, ukuphakamisa, umbungazo, umuntu ophakamise izandla, umzimba, uphawu
🙌🏻	halala, isandla, uhlobo-1-2, ukuphakamisa, umbungazo, umuntu ophakamise izandla, umuntu ophakamise izandla: uhlobo-1-2, umzimba, uphawu
🙌🏼	halala, isandla, uhlobo-3, ukuphakamisa, umbungazo, umuntu ophakamise izandla, umuntu ophakamise izandla: uhlobo-3, umzimba, uphawu
🙌🏽	halala, isandla, uhlobo-4, ukuphakamisa, umbungazo, umuntu ophakamise izandla, umuntu ophakamise izandla: uhlobo-4, umzimba, uphawu
🙌🏾	halala, isandla, uhlobo-5, ukuphakamisa, umbungazo, umuntu ophakamise izandla, umuntu ophakamise izandla: uhlobo-5, umzimba, uphawu
🙌🏿	halala, isandla, uhlobo-6, ukuphakamisa, umbungazo, umuntu ophakamise izandla, umuntu ophakamise izandla: uhlobo-6, umzimba, uphawu
👐	isandla, izandla ezivuliwe, ukuvula, umzimba
👐🏻	isandla, izandla ezivuliwe, izandla ezivuliwe: uhlobo-1-2, uhlobo-1-2, ukuvula, umzimba
👐🏼	isandla, izandla ezivuliwe, izandla ezivuliwe: uhlobo-3, uhlobo-3, ukuvula, umzimba
👐🏽	isandla, izandla ezivuliwe, izandla ezivuliwe: uhlobo-4, uhlobo-4, ukuvula, umzimba
👐🏾	isandla, izandla ezivuliwe, izandla ezivuliwe: uhlobo-5, uhlobo-5, ukuvula, umzimba
👐🏿	isandla, izandla ezivuliwe, izandla ezivuliwe: uhlobo-6, uhlobo-6, ukuvula, umzimba
🤲	izandla zombili phezulu, umthandazo
🤲🏻	izandla zombili phezulu, izandla zombili phezulu: uhlobo-1-2, uhlobo-1-2, umthandazo
🤲🏼	izandla zombili phezulu, izandla zombili phezulu: uhlobo-3, uhlobo-3, umthandazo
🤲🏽	izandla zombili phezulu, izandla zombili phezulu: uhlobo-4, uhlobo-4, umthandazo
🤲🏾	izandla zombili phezulu, izandla zombili phezulu: uhlobo-5, uhlobo-5, umthandazo
🤲🏿	izandla zombili phezulu, izandla zombili phezulu: uhlobo-6, uhlobo-6, umthandazo
🤝	isandla, isivumelwano, nyakazisa, ukuxhawula, umhlangano, xhawula
🙏	cela, goqa, isandla, izandla ezigoqiwe, thoba, ukubonga, ukuncenga, ukuthandaza, umzimba, uphawu
🙏🏻	cela, goqa, isandla, izandla ezigoqiwe, izandla ezigoqiwe: uhlobo-1-2, thoba, uhlobo-1-2, ukubonga, ukuncenga, ukuthandaza, umzimba, uphawu
🙏🏼	cela, goqa, isandla, izandla ezigoqiwe, izandla ezigoqiwe: uhlobo-3, thoba, uhlobo-3, ukubonga, ukuncenga, ukuthandaza, umzimba, uphawu
🙏🏽	cela, goqa, isandla, izandla ezigoqiwe, izandla ezigoqiwe: uhlobo-4, thoba, uhlobo-4, ukubonga, ukuncenga, ukuthandaza, umzimba, uphawu
🙏🏾	cela, goqa, isandla, izandla ezigoqiwe, izandla ezigoqiwe: uhlobo-5, thoba, uhlobo-5, ukubonga, ukuncenga, ukuthandaza, umzimba, uphawu
🙏🏿	cela, goqa, isandla, izandla ezigoqiwe, izandla ezigoqiwe: uhlobo-6, thoba, uhlobo-6, ukubonga, ukuncenga, ukuthandaza, umzimba, uphawu
✍️	isandla, isandla esibhalayo, ukubhala, umzimba
✍🏻	isandla, isandla esibhalayo, isandla esibhalayo: uhlobo-1-2, uhlobo-1-2, ukubhala, umzimba
✍🏼	isandla, isandla esibhalayo, isandla esibhalayo: uhlobo-3, uhlobo-3, ukubhala, umzimba
✍🏽	isandla, isandla esibhalayo, isandla esibhalayo: uhlobo-4, uhlobo-4, ukubhala, umzimba
✍🏾	isandla, isandla esibhalayo, isandla esibhalayo: uhlobo-5, uhlobo-5, ukubhala, umzimba
✍🏿	isandla, isandla esibhalayo, isandla esibhalayo: uhlobo-6, uhlobo-6, ukubhala, umzimba
💅	amakhozimetiksi, ikhyutheksi, ukucwala izinzipho, ukunakekela, umzimba, uzipho
💅🏻	amakhozimetiksi, ikhyutheksi, ikhyutheksi: uhlobo-1-2, uhlobo-1-2, ukucwala izinzipho, ukunakekela, umzimba, uzipho
💅🏼	amakhozimetiksi, ikhyutheksi, ikhyutheksi: uhlobo-3, uhlobo-3, ukucwala izinzipho, ukunakekela, umzimba, uzipho
💅🏽	amakhozimetiksi, ikhyutheksi, ikhyutheksi: uhlobo-4, uhlobo-4, ukucwala izinzipho, ukunakekela, umzimba, uzipho
💅🏾	amakhozimetiksi, ikhyutheksi, ikhyutheksi: uhlobo-5, uhlobo-5, ukucwala izinzipho, ukunakekela, umzimba, uzipho
💅🏿	amakhozimetiksi, ikhyutheksi, ikhyutheksi: uhlobo-6, uhlobo-6, ukucwala izinzipho, ukunakekela, umzimba, uzipho
🤳	ifoni, ikhamela, ukuzishutha, uzishuthe
🤳🏻	ifoni, ikhamela, uhlobo-1-2, ukuzishutha, uzishuthe, uzishuthe: uhlobo-1-2
🤳🏼	ifoni, ikhamela, uhlobo-3, ukuzishutha, uzishuthe, uzishuthe: uhlobo-3
🤳🏽	ifoni, ikhamela, uhlobo-4, ukuzishutha, uzishuthe, uzishuthe: uhlobo-4
🤳🏾	ifoni, ikhamela, uhlobo-5, ukuzishutha, uzishuthe, uzishuthe: uhlobo-5
🤳🏿	ifoni, ikhamela, uhlobo-6, ukuzishutha, uzishuthe, uzishuthe: uhlobo-6
💪	amamasela, izinkonyane, umzimba
💪🏻	amamasela, izinkonyane, izinkonyane: uhlobo-1-2, uhlobo-1-2, umzimba
💪🏼	amamasela, izinkonyane, izinkonyane: uhlobo-3, uhlobo-3, umzimba
💪🏽	amamasela, izinkonyane, izinkonyane: uhlobo-4, uhlobo-4, umzimba
💪🏾	amamasela, izinkonyane, izinkonyane: uhlobo-5, uhlobo-5, umzimba
💪🏿	amamasela, izinkonyane, izinkonyane: uhlobo-6, uhlobo-6, umzimba
🦾	isandla sikamakhenikha, ukufakelwa, ukufinyelela
🦿	inyawo likamakhenikha, ukufakelwa, ukufinyelela
🦵	kick, limb, umlenze
🦵🏻	kick, limb, uhlobo-1-2, umlenze, umlenze: uhlobo-1-2
🦵🏼	kick, limb, uhlobo-3, umlenze, umlenze: uhlobo-3
🦵🏽	kick, limb, uhlobo-4, umlenze, umlenze: uhlobo-4
🦵🏾	kick, limb, uhlobo-5, umlenze, umlenze: uhlobo-5
🦵🏿	kick, limb, uhlobo-6, umlenze, umlenze: uhlobo-6
🦶	kick, stomp, unyawo
🦶🏻	kick, stomp, uhlobo-1-2, unyawo, unyawo: uhlobo-1-2
🦶🏼	kick, stomp, uhlobo-3, unyawo, unyawo: uhlobo-3
🦶🏽	kick, stomp, uhlobo-4, unyawo, unyawo: uhlobo-4
🦶🏾	kick, stomp, uhlobo-5, unyawo, unyawo: uhlobo-5
🦶🏿	kick, stomp, uhlobo-6, unyawo, unyawo: uhlobo-6
👂️	indlebe, umzimba
👂🏻	indlebe, indlebe: uhlobo-1-2, uhlobo-1-2, umzimba
👂🏼	indlebe, indlebe: uhlobo-3, uhlobo-3, umzimba
👂🏽	indlebe, indlebe: uhlobo-4, uhlobo-4, umzimba
👂🏾	indlebe, indlebe: uhlobo-5, uhlobo-5, umzimba
👂🏿	indlebe, indlebe: uhlobo-6, uhlobo-6, umzimba
🦻	indlebe enensiza yokuzwa, ukufinyelela, ukuzwa nzima
🦻🏻	indlebe enensiza yokuzwa, indlebe enensiza yokuzwa: uhlobo-1-2, uhlobo-1-2, ukufinyelela, ukuzwa nzima
🦻🏼	indlebe enensiza yokuzwa, indlebe enensiza yokuzwa: uhlobo-3, uhlobo-3, ukufinyelela, ukuzwa nzima
🦻🏽	indlebe enensiza yokuzwa, indlebe enensiza yokuzwa: uhlobo-4, uhlobo-4, ukufinyelela, ukuzwa nzima
🦻🏾	indlebe enensiza yokuzwa, indlebe enensiza yokuzwa: uhlobo-5, uhlobo-5, ukufinyelela, ukuzwa nzima
🦻🏿	indlebe enensiza yokuzwa, indlebe enensiza yokuzwa: uhlobo-6, uhlobo-6, ukufinyelela, ukuzwa nzima
👃	ikhala, umzimba
👃🏻	ikhala, ikhala: uhlobo-1-2, uhlobo-1-2, umzimba
👃🏼	ikhala, ikhala: uhlobo-3, uhlobo-3, umzimba
👃🏽	ikhala, ikhala: uhlobo-4, uhlobo-4, umzimba
👃🏾	ikhala, ikhala: uhlobo-5, uhlobo-5, umzimba
👃🏿	ikhala, ikhala: uhlobo-6, uhlobo-6, umzimba
🧠	hlakaniphile, ubuchopho
🦷	izinyo, udokotela
🦴	amathambo, ithambo
👀	amehlo, ihlo, ubuso, umzimba
👁️	ihlo, umzimba
👅	ulimi, umzimba
👄	izindebe, umlomo, umzimba
👶	ingane, usana
👶🏻	ingane, uhlobo-1-2, usana, usana: uhlobo-1-2
👶🏼	ingane, uhlobo-3, usana, usana: uhlobo-3
👶🏽	ingane, uhlobo-4, usana, usana: uhlobo-4
👶🏾	ingane, uhlobo-5, usana, usana: uhlobo-5
👶🏿	ingane, uhlobo-6, usana, usana: uhlobo-6
🧒	ingane, mncane, ubulili obuphakathi
🧒🏻	ingane, ingane: uhlobo-1-2, mncane, ubulili obuphakathi, uhlobo-1-2
🧒🏼	ingane, ingane: uhlobo-3, mncane, ubulili obuphakathi, uhlobo-3
🧒🏽	ingane, ingane: uhlobo-4, mncane, ubulili obuphakathi, uhlobo-4
🧒🏾	ingane, ingane: uhlobo-5, mncane, ubulili obuphakathi, uhlobo-5
🧒🏿	ingane, ingane: uhlobo-6, mncane, ubulili obuphakathi, uhlobo-6
👦	umfana
👦🏻	uhlobo-1-2, umfana, umfana: uhlobo-1-2
👦🏼	uhlobo-3, umfana, umfana: uhlobo-3
👦🏽	uhlobo-4, umfana, umfana: uhlobo-4
👦🏾	uhlobo-5, umfana, umfana: uhlobo-5
👦🏿	uhlobo-6, umfana, umfana: uhlobo-6
👧	indombazane, intombazane, intombi
👧🏻	indombazane, intombazane, intombazane: uhlobo-1-2, intombi, uhlobo-1-2
👧🏼	indombazane, intombazane, intombazane: uhlobo-3, intombi, uhlobo-3
👧🏽	indombazane, intombazane, intombazane: uhlobo-4, intombi, uhlobo-4
👧🏾	indombazane, intombazane, intombazane: uhlobo-5, intombi, uhlobo-5
👧🏿	indombazane, intombazane, intombazane: uhlobo-6, intombi, uhlobo-6
🧑	mdala, ubulili-phakathi
🧑🏻	mdala, mdala: uhlobo-1-2, ubulili-phakathi, uhlobo-1-2
🧑🏼	mdala, mdala: uhlobo-3, ubulili-phakathi, uhlobo-3
🧑🏽	mdala, mdala: uhlobo-4, ubulili-phakathi, uhlobo-4
🧑🏾	mdala, mdala: uhlobo-5, ubulili-phakathi, uhlobo-5
🧑🏿	mdala, mdala: uhlobo-6, ubulili-phakathi, uhlobo-6
👱	izinwele, mhlophe, umuntu onezinwele ezimhlophe, umuntu: izinwele ezinhlophe
👱🏻	izinwele, izinwele ezinhlophe, mhlophe, uhlobo-1-2, umuntu onezinwele ezimhlophe, umuntu: izinwele ezinhlophe, umuntu: uhlobo-1-2, izinwele ezinhlophe
👱🏼	izinwele, izinwele ezinhlophe, mhlophe, uhlobo-3, umuntu onezinwele ezimhlophe, umuntu: izinwele ezinhlophe, umuntu: uhlobo-3, izinwele ezinhlophe
👱🏽	izinwele, izinwele ezinhlophe, mhlophe, uhlobo-4, umuntu onezinwele ezimhlophe, umuntu: izinwele ezinhlophe, umuntu: uhlobo-4, izinwele ezinhlophe
👱🏾	izinwele, izinwele ezinhlophe, mhlophe, uhlobo-5, umuntu onezinwele ezimhlophe, umuntu: izinwele ezinhlophe, umuntu: uhlobo-5, izinwele ezinhlophe
👱🏿	izinwele, izinwele ezinhlophe, mhlophe, uhlobo-6, umuntu onezinwele ezimhlophe, umuntu: izinwele ezinhlophe, umuntu: uhlobo-6, izinwele ezinhlophe
👨	indoda, owesilisa, ubaba
👨🏻	indoda, indoda: uhlobo-1-2, owesilisa, ubaba, uhlobo-1-2
👨🏼	indoda, indoda: uhlobo-3, owesilisa, ubaba, uhlobo-3
👨🏽	indoda, indoda: uhlobo-4, owesilisa, ubaba, uhlobo-4
👨🏾	indoda, indoda: uhlobo-5, owesilisa, ubaba, uhlobo-5
👨🏿	indoda, indoda: uhlobo-6, owesilisa, ubaba, uhlobo-6
🧔	indoda, indoda: intshebe, intshebe, umuntu
🧔🏻	indoda, indoda: intshebe, indoda: uhlobo-1-2, intshebe, intshebe, uhlobo-1-2, umuntu
🧔🏼	indoda, indoda: intshebe, indoda: uhlobo-3, intshebe, intshebe, uhlobo-3, umuntu
🧔🏽	indoda, indoda: intshebe, indoda: uhlobo-4, intshebe, intshebe, uhlobo-4, umuntu
🧔🏾	indoda, indoda: intshebe, indoda: uhlobo-5, intshebe, intshebe, uhlobo-5, umuntu
🧔🏿	indoda, indoda: intshebe, indoda: uhlobo-6, intshebe, intshebe, uhlobo-6, umuntu
👱‍♂	indoda, indoda enezinwele ezimhlophe, indoda: izinwele ezimhlophe, izinwele, mhlophe
👱🏻‍♂	indoda, indoda enezinwele ezimhlophe, indoda: izinwele ezimhlophe, indoda: uhlobo-1-2, izinwele ezimhlophe, izinwele, izinwele ezimhlophe, mhlophe, uhlobo-1-2
👱🏼‍♂	indoda, indoda enezinwele ezimhlophe, indoda: izinwele ezimhlophe, indoda: uhlobo-3, izinwele ezimhlophe, izinwele, izinwele ezimhlophe, mhlophe, uhlobo-3
👱🏽‍♂	indoda, indoda enezinwele ezimhlophe, indoda: izinwele ezimhlophe, indoda: uhlobo-4, izinwele ezimhlophe, izinwele, izinwele ezimhlophe, mhlophe, uhlobo-4
👱🏾‍♂	indoda, indoda enezinwele ezimhlophe, indoda: izinwele ezimhlophe, indoda: uhlobo-5, izinwele ezimhlophe, izinwele, izinwele ezimhlophe, mhlophe, uhlobo-5
👱🏿‍♂	indoda, indoda enezinwele ezimhlophe, indoda: izinwele ezimhlophe, indoda: uhlobo-6, izinwele ezimhlophe, izinwele, izinwele ezimhlophe, mhlophe, uhlobo-6
👨‍🦰	indoda, indoda: izinwele ezibomvu, izinwele ezibomvu, owesilisa, ubaba
👨🏻‍🦰	indoda, indoda: uhlobo-1-2, izinwele ezibomvu, izinwele ezibomvu, owesilisa, ubaba, uhlobo-1-2
👨🏼‍🦰	indoda, indoda: uhlobo-3, izinwele ezibomvu, izinwele ezibomvu, owesilisa, ubaba, uhlobo-3
👨🏽‍🦰	indoda, indoda: uhlobo-4, izinwele ezibomvu, izinwele ezibomvu, owesilisa, ubaba, uhlobo-4
👨🏾‍🦰	indoda, indoda: uhlobo-5, izinwele ezibomvu, izinwele ezibomvu, owesilisa, ubaba, uhlobo-5
👨🏿‍🦰	indoda, indoda: uhlobo-6, izinwele ezibomvu, izinwele ezibomvu, owesilisa, ubaba, uhlobo-6
👨‍🦱	curly hair, indoda, indoda: curly hair, owesilisa, ubaba
👨🏻‍🦱	curly hair, indoda, indoda: uhlobo-1-2, curly hair, owesilisa, ubaba, uhlobo-1-2
👨🏼‍🦱	curly hair, indoda, indoda: uhlobo-3, curly hair, owesilisa, ubaba, uhlobo-3
👨🏽‍🦱	curly hair, indoda, indoda: uhlobo-4, curly hair, owesilisa, ubaba, uhlobo-4
👨🏾‍🦱	curly hair, indoda, indoda: uhlobo-5, curly hair, owesilisa, ubaba, uhlobo-5
👨🏿‍🦱	curly hair, indoda, indoda: uhlobo-6, curly hair, owesilisa, ubaba, uhlobo-6
👨‍🦳	indoda, indoda: izinwele ezimpunga, izinwele ezimpunga, owesilisa, ubaba
👨🏻‍🦳	indoda, indoda: uhlobo-1-2, izinwele ezimpunga, izinwele ezimpunga, owesilisa, ubaba, uhlobo-1-2
👨🏼‍🦳	indoda, indoda: uhlobo-3, izinwele ezimpunga, izinwele ezimpunga, owesilisa, ubaba, uhlobo-3
👨🏽‍🦳	indoda, indoda: uhlobo-4, izinwele ezimpunga, izinwele ezimpunga, owesilisa, ubaba, uhlobo-4
👨🏾‍🦳	indoda, indoda: uhlobo-5, izinwele ezimpunga, izinwele ezimpunga, owesilisa, ubaba, uhlobo-5
👨🏿‍🦳	indoda, indoda: uhlobo-6, izinwele ezimpunga, izinwele ezimpunga, owesilisa, ubaba, uhlobo-6
👨‍🦲	imbungculu, indoda, indoda: imbungculu, owesilisa, ubaba
👨🏻‍🦲	imbungculu, indoda, indoda: uhlobo-1-2, imbungculu, owesilisa, ubaba, uhlobo-1-2
👨🏼‍🦲	imbungculu, indoda, indoda: uhlobo-3, imbungculu, owesilisa, ubaba, uhlobo-3
👨🏽‍🦲	imbungculu, indoda, indoda: uhlobo-4, imbungculu, owesilisa, ubaba, uhlobo-4
👨🏾‍🦲	imbungculu, indoda, indoda: uhlobo-5, imbungculu, owesilisa, ubaba, uhlobo-5
👨🏿‍🦲	imbungculu, indoda, indoda: uhlobo-6, imbungculu, owesilisa, ubaba, uhlobo-6
👩	owesimame, umama
👩🏻	owesimame, uhlobo-1-2, umama, umama: uhlobo-1-2
👩🏼	owesimame, uhlobo-3, umama, umama: uhlobo-3
👩🏽	owesimame, uhlobo-4, umama, umama: uhlobo-4
👩🏾	owesimame, uhlobo-5, umama, umama: uhlobo-5
👩🏿	owesimame, uhlobo-6, umama, umama: uhlobo-6
👱‍♀	izinwele, mhlophe, umama, umama onezinwele ezinhlophe, umama: izinwele ezimhlophe
👱🏻‍♀	izinwele, izinwele ezimhlophe, mhlophe, uhlobo-1-2, umama, umama onezinwele ezinhlophe, umama: izinwele ezimhlophe, umama: uhlobo-1-2, izinwele ezimhlophe
👱🏼‍♀	izinwele, izinwele ezimhlophe, mhlophe, uhlobo-3, umama, umama onezinwele ezinhlophe, umama: izinwele ezimhlophe, umama: uhlobo-3, izinwele ezimhlophe
👱🏽‍♀	izinwele, izinwele ezimhlophe, mhlophe, uhlobo-4, umama, umama onezinwele ezinhlophe, umama: izinwele ezimhlophe, umama: uhlobo-4, izinwele ezimhlophe
👱🏾‍♀	izinwele, izinwele ezimhlophe, mhlophe, uhlobo-5, umama, umama onezinwele ezinhlophe, umama: izinwele ezimhlophe, umama: uhlobo-5, izinwele ezimhlophe
👱🏿‍♀	izinwele, izinwele ezimhlophe, mhlophe, uhlobo-6, umama, umama onezinwele ezinhlophe, umama: izinwele ezimhlophe, umama: uhlobo-6, izinwele ezimhlophe
👩‍🦰	izinwele ezibomvu, owesimame, umama, umama: izinwele ezibomvu
👩🏻‍🦰	izinwele ezibomvu, owesimame, uhlobo-1-2, umama, umama: uhlobo-1-2, izinwele ezibomvu
👩🏼‍🦰	izinwele ezibomvu, owesimame, uhlobo-3, umama, umama: uhlobo-3, izinwele ezibomvu
👩🏽‍🦰	izinwele ezibomvu, owesimame, uhlobo-4, umama, umama: uhlobo-4, izinwele ezibomvu
👩🏾‍🦰	izinwele ezibomvu, owesimame, uhlobo-5, umama, umama: uhlobo-5, izinwele ezibomvu
👩🏿‍🦰	izinwele ezibomvu, owesimame, uhlobo-6, umama, umama: uhlobo-6, izinwele ezibomvu
👩‍🦱	curly hair, owesimame, umama, umama: curly hair
👩🏻‍🦱	curly hair, owesimame, uhlobo-1-2, umama, umama: uhlobo-1-2, curly hair
👩🏼‍🦱	curly hair, owesimame, uhlobo-3, umama, umama: uhlobo-3, curly hair
👩🏽‍🦱	curly hair, owesimame, uhlobo-4, umama, umama: uhlobo-4, curly hair
👩🏾‍🦱	curly hair, owesimame, uhlobo-5, umama, umama: uhlobo-5, curly hair
👩🏿‍🦱	curly hair, owesimame, uhlobo-6, umama, umama: uhlobo-6, curly hair
👩‍🦳	izinwele ezimpunga, owesimame, umama, umama: izinwele ezimpunga
👩🏻‍🦳	izinwele ezimpunga, owesimame, uhlobo-1-2, umama, umama: uhlobo-1-2, izinwele ezimpunga
👩🏼‍🦳	izinwele ezimpunga, owesimame, uhlobo-3, umama, umama: uhlobo-3, izinwele ezimpunga
👩🏽‍🦳	izinwele ezimpunga, owesimame, uhlobo-4, umama, umama: uhlobo-4, izinwele ezimpunga
👩🏾‍🦳	izinwele ezimpunga, owesimame, uhlobo-5, umama, umama: uhlobo-5, izinwele ezimpunga
👩🏿‍🦳	izinwele ezimpunga, owesimame, uhlobo-6, umama, umama: uhlobo-6, izinwele ezimpunga
👩‍🦲	imbungculu, owesimame, umama, umama: imbungculu
👩🏻‍🦲	imbungculu, owesimame, uhlobo-1-2, umama, umama: uhlobo-1-2, imbungculu
👩🏼‍🦲	imbungculu, owesimame, uhlobo-3, umama, umama: uhlobo-3, imbungculu
👩🏽‍🦲	imbungculu, owesimame, uhlobo-4, umama, umama: uhlobo-4, imbungculu
👩🏾‍🦲	imbungculu, owesimame, uhlobo-5, umama, umama: uhlobo-5, imbungculu
👩🏿‍🦲	imbungculu, owesimame, uhlobo-6, umama, umama: uhlobo-6, imbungculu
🧓	mdala, omdala omdala, ubulili-phakathi
🧓🏻	mdala, omdala omdala, omdala omdala: uhlobo-1-2, ubulili-phakathi, uhlobo-1-2
🧓🏼	mdala, omdala omdala, omdala omdala: uhlobo-3, ubulili-phakathi, uhlobo-3
🧓🏽	mdala, omdala omdala, omdala omdala: uhlobo-4, ubulili-phakathi, uhlobo-4
🧓🏾	mdala, omdala omdala, omdala omdala: uhlobo-5, ubulili-phakathi, uhlobo-5
🧓🏿	mdala, omdala omdala, omdala omdala: uhlobo-6, ubulili-phakathi, uhlobo-6
👴	ikhehla, ogugile, owesilisa
👴🏻	ikhehla, ikhehla: uhlobo-1-2, ogugile, owesilisa, uhlobo-1-2
👴🏼	ikhehla, ikhehla: uhlobo-3, ogugile, owesilisa, uhlobo-3
👴🏽	ikhehla, ikhehla: uhlobo-4, ogugile, owesilisa, uhlobo-4
👴🏾	ikhehla, ikhehla: uhlobo-5, ogugile, owesilisa, uhlobo-5
👴🏿	ikhehla, ikhehla: uhlobo-6, ogugile, owesilisa, uhlobo-6
👵	ogugile, owesimame, ugogo
👵🏻	ogugile, owesimame, ugogo, ugogo: uhlobo-1-2, uhlobo-1-2
👵🏼	ogugile, owesimame, ugogo, ugogo: uhlobo-3, uhlobo-3
👵🏽	ogugile, owesimame, ugogo, ugogo: uhlobo-4, uhlobo-4
👵🏾	ogugile, owesimame, ugogo, ugogo: uhlobo-5, uhlobo-5
👵🏿	ogugile, owesimame, ugogo, ugogo: uhlobo-6, uhlobo-6
🙍	ukuhwaqabala, umuntu ohwaqabele
🙍🏻	uhlobo-1-2, ukuhwaqabala, umuntu ohwaqabele, umuntu ohwaqabele: uhlobo-1-2
🙍🏼	uhlobo-3, ukuhwaqabala, umuntu ohwaqabele, umuntu ohwaqabele: uhlobo-3
🙍🏽	uhlobo-4, ukuhwaqabala, umuntu ohwaqabele, umuntu ohwaqabele: uhlobo-4
🙍🏾	uhlobo-5, ukuhwaqabala, umuntu ohwaqabele, umuntu ohwaqabele: uhlobo-5
🙍🏿	uhlobo-6, ukuhwaqabala, umuntu ohwaqabele, umuntu ohwaqabele: uhlobo-6
🙍‍♂	indoda, indoda ehwaqabele, ukuhwaqabala
🙍🏻‍♂	indoda, indoda ehwaqabele, indoda ehwaqabele: uhlobo-1-2, uhlobo-1-2, ukuhwaqabala
🙍🏼‍♂	indoda, indoda ehwaqabele, indoda ehwaqabele: uhlobo-3, uhlobo-3, ukuhwaqabala
🙍🏽‍♂	indoda, indoda ehwaqabele, indoda ehwaqabele: uhlobo-4, uhlobo-4, ukuhwaqabala
🙍🏾‍♂	indoda, indoda ehwaqabele, indoda ehwaqabele: uhlobo-5, uhlobo-5, ukuhwaqabala
🙍🏿‍♂	indoda, indoda ehwaqabele, indoda ehwaqabele: uhlobo-6, uhlobo-6, ukuhwaqabala
🙍‍♀	owesimame, owesimame ohwaqabele, ukuhwaqabala
🙍🏻‍♀	owesimame, owesimame ohwaqabele, owesimame ohwaqabele: uhlobo-1-2, uhlobo-1-2, ukuhwaqabala
🙍🏼‍♀	owesimame, owesimame ohwaqabele, owesimame ohwaqabele: uhlobo-3, uhlobo-3, ukuhwaqabala
🙍🏽‍♀	owesimame, owesimame ohwaqabele, owesimame ohwaqabele: uhlobo-4, uhlobo-4, ukuhwaqabala
🙍🏾‍♀	owesimame, owesimame ohwaqabele, owesimame ohwaqabele: uhlobo-5, uhlobo-5, ukuhwaqabala
🙍🏿‍♀	owesimame, owesimame ohwaqabele, owesimame ohwaqabele: uhlobo-6, uhlobo-6, ukuhwaqabala
🙎	ukudangala, umuntu odangele
🙎🏻	uhlobo-1-2, ukudangala, umuntu odangele, umuntu odangele: uhlobo-1-2
🙎🏼	uhlobo-3, ukudangala, umuntu odangele, umuntu odangele: uhlobo-3
🙎🏽	uhlobo-4, ukudangala, umuntu odangele, umuntu odangele: uhlobo-4
🙎🏾	uhlobo-5, ukudangala, umuntu odangele, umuntu odangele: uhlobo-5
🙎🏿	uhlobo-6, ukudangala, umuntu odangele, umuntu odangele: uhlobo-6
🙎‍♂	indoda, indoda edangele, ukudangala
🙎🏻‍♂	indoda, indoda edangele, indoda edangele: uhlobo-1-2, uhlobo-1-2, ukudangala
