😀	gülmək, gülən üz, üz
👏🏾	orqan, orta-tünd dəri tonu, əl, əl çalan əllər, əl çalan əllər: orta-tünd dəri tonu, əl çalmaq
👏🏿	orqan, tünd dəri tonu, əl, əl çalan əllər, əl çalan əllər: tünd dəri tonu, əl çalmaq
🙌	bayram, jest, orqan, qaldırılmış, ura, əl, əllərini qaldıran adam
🙌🏻	açıq dəri tonu, bayram, jest, orqan, qaldırılmış, ura, əl, əllərini qaldıran adam, əllərini qaldıran adam: açıq dəri tonu
🙌🏼	bayram, jest, orqan, orta-açıq dəri tonu, qaldırılmış, ura, əl, əllərini qaldıran adam, əllərini qaldıran adam: orta-açıq dəri tonu
🙌🏽	bayram, jest, orqan, orta dəri tonu, qaldırılmış, ura, əl, əllərini qaldıran adam, əllərini qaldıran adam: orta dəri tonu
🙌🏾	bayram, jest, orqan, orta-tünd dəri tonu, qaldırılmış, ura, əl, əllərini qaldıran adam, əllərini qaldıran adam: orta-tünd dəri tonu
🙌🏿	bayram, jest, orqan, qaldırılmış, tünd dəri tonu, ura, əl, əllərini qaldıran adam, əllərini qaldıran adam: tünd dəri tonu
👐	açıq, açıq əllər, orqan, əl
👐🏻	açıq, açıq dəri tonu, açıq əllər, açıq əllər: açıq dəri tonu, orqan, əl
👐🏼	açıq, açıq əllər, açıq əllər: orta-açıq dəri tonu, orqan, orta-açıq dəri tonu, əl
👐🏽	açıq, açıq əllər, açıq əllər: orta dəri tonu, orqan, orta dəri tonu, əl
👐🏾	açıq, açıq əllər, açıq əllər: orta-tünd dəri tonu, orqan, orta-tünd dəri tonu, əl
👐🏿	açıq, açıq əllər, açıq əllər: tünd dəri tonu, orqan, tünd dəri tonu, əl
🤲	dua, əllər yuxarı
🤲🏻	açıq dəri tonu, dua, əllər yuxarı, əllər yuxarı: açıq dəri tonu
🤲🏼	dua, orta-açıq dəri tonu, əllər yuxarı, əllər yuxarı: orta-açıq dəri tonu
🤲🏽	dua, orta dəri tonu, əllər yuxarı, əllər yuxarı: orta dəri tonu
🤲🏾	dua, orta-tünd dəri tonu, əllər yuxarı, əllər yuxarı: orta-tünd dəri tonu
🤲🏿	dua, tünd dəri tonu, əllər yuxarı, əllər yuxarı: tünd dəri tonu
🤝	görüşmək, salam, salamlaşmaq, əl sıxmaq
🙏	dua etmək, jest, orqan, qatlanmış, qatlanmış əllər, əl
🙏🏻	açıq dəri tonu, dua etmək, jest, orqan, qatlanmış, qatlanmış əllər, qatlanmış əllər: açıq dəri tonu, əl
🙏🏼	dua etmək, jest, orqan, orta-açıq dəri tonu, qatlanmış, qatlanmış əllər, qatlanmış əllər: orta-açıq dəri tonu, əl
🙏🏽	dua etmək, jest, orqan, orta dəri tonu, qatlanmış, qatlanmış əllər, qatlanmış əllər: orta dəri tonu, əl
🙏🏾	dua etmək, jest, orqan, orta-tünd dəri tonu, qatlanmış, qatlanmış əllər, qatlanmış əllər: orta-tünd dəri tonu, əl
🙏🏿	dua etmək, jest, orqan, qatlanmış, qatlanmış əllər, qatlanmış əllər: tünd dəri tonu, tünd dəri tonu, əl
✍️	orqan, yazmaq, yazı əli, əl
✍🏻	açıq dəri tonu, orqan, yazmaq, yazı əli, yazı əli: açıq dəri tonu, əl
✍🏼	orqan, orta-açıq dəri tonu, yazmaq, yazı əli, yazı əli: orta-açıq dəri tonu, əl
✍🏽	orqan, orta dəri tonu, yazmaq, yazı əli, yazı əli: orta dəri tonu, əl
✍🏾	orqan, orta-tünd dəri tonu, yazmaq, yazı əli, yazı əli: orta-tünd dəri tonu, əl
✍🏿	orqan, tünd dəri tonu, yazmaq, yazı əli, yazı əli: tünd dəri tonu, əl
💅	dırnaq, dırnaq laklamaq, kosmetika, lak, manikür, orqan, qulluq
💅🏻	açıq dəri tonu, dırnaq, dırnaq laklamaq, dırnaq laklamaq: açıq dəri tonu, kosmetika, lak, manikür, orqan, qulluq
💅🏼	dırnaq, dırnaq laklamaq, dırnaq laklamaq: orta-açıq dəri tonu, kosmetika, lak, manikür, orqan, orta-açıq dəri tonu, qulluq
💅🏽	dırnaq, dırnaq laklamaq, dırnaq laklamaq: orta dəri tonu, kosmetika, lak, manikür, orqan, orta dəri tonu, qulluq
💅🏾	dırnaq, dırnaq laklamaq, dırnaq laklamaq: orta-tünd dəri tonu, kosmetika, lak, manikür, orqan, orta-tünd dəri tonu, qulluq
💅🏿	dırnaq, dırnaq laklamaq, dırnaq laklamaq: tünd dəri tonu, kosmetika, lak, manikür, orqan, qulluq, tünd dəri tonu
🤳	foto, selfi, özçəkim, şəkil
🤳🏻	açıq dəri tonu, foto, selfi, özçəkim, özçəkim: açıq dəri tonu, şəkil
🤳🏼	foto, orta-açıq dəri tonu, selfi, özçəkim, özçəkim: orta-açıq dəri tonu, şəkil
🤳🏽	foto, orta dəri tonu, selfi, özçəkim, özçəkim: orta dəri tonu, şəkil
🤳🏾	foto, orta-tünd dəri tonu, selfi, özçəkim, özçəkim: orta-tünd dəri tonu, şəkil
🤳🏿	foto, selfi, tünd dəri tonu, özçəkim, özçəkim: tünd dəri tonu, şəkil
💪	biseps, komik, qatlanmış əzələ, əymək, əzələ
💪🏻	açıq dəri tonu, biseps, komik, qatlanmış əzələ, qatlanmış əzələ: açıq dəri tonu, əymək, əzələ
💪🏼	biseps, komik, orta-açıq dəri tonu, qatlanmış əzələ, qatlanmış əzələ: orta-açıq dəri tonu, əymək, əzələ
💪🏽	biseps, komik, orta dəri tonu, qatlanmış əzələ, qatlanmış əzələ: orta dəri tonu, əymək, əzələ
💪🏾	biseps, komik, orta-tünd dəri tonu, qatlanmış əzələ, qatlanmış əzələ: orta-tünd dəri tonu, əymək, əzələ
💪🏿	biseps, komik, qatlanmış əzələ, qatlanmış əzələ: tünd dəri tonu, tünd dəri tonu, əymək, əzələ
🦾	mexaniki əl, protez
🦿	mexaniki ayaq, protez
🦵	qıç, təpik, əza
🦵🏻	açıq dəri tonu, qıç, qıç: açıq dəri tonu, təpik, əza
🦵🏼	orta-açıq dəri tonu, qıç, qıç: orta-açıq dəri tonu, təpik, əza
🦵🏽	orta dəri tonu, qıç, qıç: orta dəri tonu, təpik, əza
🦵🏾	orta-tünd dəri tonu, qıç, qıç: orta-tünd dəri tonu, təpik, əza
🦵🏿	qıç, qıç: tünd dəri tonu, tünd dəri tonu, təpik, əza
🦶	ayaq, pəncə, təpik
🦶🏻	ayaq, ayaq: açıq dəri tonu, açıq dəri tonu, pəncə, təpik
🦶🏼	ayaq, ayaq: orta-açıq dəri tonu, orta-açıq dəri tonu, pəncə, təpik
🦶🏽	ayaq, ayaq: orta dəri tonu, orta dəri tonu, pəncə, təpik
🦶🏾	ayaq, ayaq: orta-tünd dəri tonu, orta-tünd dəri tonu, pəncə, təpik
🦶🏿	ayaq, ayaq: tünd dəri tonu, pəncə, tünd dəri tonu, təpik
👂️	bədən, qulaq
👂🏻	açıq dəri tonu, bədən, qulaq, qulaq: açıq dəri tonu
👂🏼	bədən, orta-açıq dəri tonu, qulaq, qulaq: orta-açıq dəri tonu
👂🏽	bədən, orta dəri tonu, qulaq, qulaq: orta dəri tonu
👂🏾	bədən, orta-tünd dəri tonu, qulaq, qulaq: orta-tünd dəri tonu
👂🏿	bədən, qulaq, qulaq: tünd dəri tonu, tünd dəri tonu
🦻	eşitmə cihazlı qulaq, eşitmə problemi
🦻🏻	açıq dəri tonu, eşitmə cihazlı qulaq, eşitmə cihazlı qulaq: açıq dəri tonu, eşitmə problemi
🦻🏼	eşitmə cihazlı qulaq, eşitmə cihazlı qulaq: orta-açıq dəri tonu, eşitmə problemi, orta-açıq dəri tonu
🦻🏽	eşitmə cihazlı qulaq, eşitmə cihazlı qulaq: orta dəri tonu, eşitmə problemi, orta dəri tonu
🦻🏾	eşitmə cihazlı qulaq, eşitmə cihazlı qulaq: orta-tünd dəri tonu, eşitmə problemi, orta-tünd dəri tonu
🦻🏿	eşitmə cihazlı qulaq, eşitmə cihazlı qulaq: tünd dəri tonu, eşitmə problemi, tünd dəri tonu
👃	burun, bədən
👃🏻	açıq dəri tonu, burun, burun: açıq dəri tonu, bədən
👃🏼	burun, burun: orta-açıq dəri tonu, bədən, orta-açıq dəri tonu
👃🏽	burun, burun: orta dəri tonu, bədən, orta dəri tonu
👃🏾	burun, burun: orta-tünd dəri tonu, bədən, orta-tünd dəri tonu
👃🏿	burun, burun: tünd dəri tonu, bədən, tünd dəri tonu
🧠	beyin, intelligent
🦷	dantist, diş
🦴	skelet, sümük
👀	göz, gözlər, üz
👁️	göz, orqan
👅	bədən, dil
👄	ağız, dodaqlar
👶	cavan, körpə
👶🏻	açıq dəri tonu, cavan, körpə, körpə: açıq dəri tonu
👶🏼	cavan, körpə, körpə: orta-açıq dəri tonu, orta-açıq dəri tonu
👶🏽	cavan, körpə, körpə: orta dəri tonu, orta dəri tonu
👶🏾	cavan, körpə, körpə: orta-tünd dəri tonu, orta-tünd dəri tonu
👶🏿	cavan, körpə, körpə: tünd dəri tonu, tünd dəri tonu
🧒	cavan, gender-neytral, uşaq
🧒🏻	açıq dəri tonu, cavan, gender-neytral, uşaq, uşaq: açıq dəri tonu
🧒🏼	cavan, gender-neytral, orta-açıq dəri tonu, uşaq, uşaq: orta-açıq dəri tonu
🧒🏽	cavan, gender-neytral, orta dəri tonu, uşaq, uşaq: orta dəri tonu
🧒🏾	cavan, gender-neytral, orta-tünd dəri tonu, uşaq, uşaq: orta-tünd dəri tonu
🧒🏿	cavan, gender-neytral, tünd dəri tonu, uşaq, uşaq: tünd dəri tonu
👦	kişi, oğlan
👦🏻	açıq dəri tonu, kişi, oğlan, oğlan: açıq dəri tonu
👦🏼	kişi, orta-açıq dəri tonu, oğlan, oğlan: orta-açıq dəri tonu
👦🏽	kişi, orta dəri tonu, oğlan, oğlan: orta dəri tonu
👦🏾	kişi, orta-tünd dəri tonu, oğlan, oğlan: orta-tünd dəri tonu
👦🏿	kişi, oğlan, oğlan: tünd dəri tonu, tünd dəri tonu
👧	cavan, qız bürcü, qız uşağı, zodiak
👧🏻	açıq dəri tonu, cavan, qız bürcü, qız uşağı, qız uşağı: açıq dəri tonu, zodiak
👧🏼	cavan, orta-açıq dəri tonu, qız bürcü, qız uşağı, qız uşağı: orta-açıq dəri tonu, zodiak
👧🏽	cavan, orta dəri tonu, qız bürcü, qız uşağı, qız uşağı: orta dəri tonu, zodiak
👧🏾	cavan, orta-tünd dəri tonu, qız bürcü, qız uşağı, qız uşağı: orta-tünd dəri tonu, zodiak
👧🏿	cavan, qız bürcü, qız uşağı, qız uşağı: tünd dəri tonu, tünd dəri tonu, zodiak
🧑	böyük, gender-neytral
🧑🏻	açıq dəri tonu, böyük, böyük: açıq dəri tonu, gender-neytral
🧑🏼	böyük, böyük: orta-açıq dəri tonu, gender-neytral, orta-açıq dəri tonu
🧑🏽	böyük, böyük: orta dəri tonu, gender-neytral, orta dəri tonu
🧑🏾	böyük, böyük: orta-tünd dəri tonu, gender-neytral, orta-tünd dəri tonu
🧑🏿	böyük, böyük: tünd dəri tonu, gender-neytral, tünd dəri tonu
👱	sarı saçlı adam, sarışın
👱🏻	açıq dəri tonu, sarı saçlı adam, sarı saçlı adam: açıq dəri tonu, sarışın
👱🏼	orta-açıq dəri tonu, sarı saçlı adam, sarı saçlı adam: orta-açıq dəri tonu, sarışın
👱🏽	orta dəri tonu, sarı saçlı adam, sarı saçlı adam: orta dəri tonu, sarışın
👱🏾	orta-tünd dəri tonu, sarı saçlı adam, sarı saçlı adam: orta-tünd dəri tonu, sarışın
👱🏿	sarı saçlı adam, sarı saçlı adam: tünd dəri tonu, sarışın, tünd dəri tonu
👨	kişi
👨🏻	açıq dəri tonu, kişi, kişi: açıq dəri tonu
👨🏼	kişi, kişi: orta-açıq dəri tonu, orta-açıq dəri tonu
👨🏽	kişi, kişi: orta dəri tonu, orta dəri tonu
👨🏾	kişi, kişi: orta-tünd dəri tonu, orta-tünd dəri tonu
👨🏿	kişi, kişi: tünd dəri tonu, tünd dəri tonu
🧔	saqqal, saqqallı şəxs
🧔🏻	açıq dəri tonu, saqqal, saqqallı şəxs, saqqallı şəxs: açıq dəri tonu
🧔🏼	orta-açıq dəri tonu, saqqal, saqqallı şəxs, saqqallı şəxs: orta-açıq dəri tonu
🧔🏽	orta dəri tonu, saqqal, saqqallı şəxs, saqqallı şəxs: orta dəri tonu
🧔🏾	orta-tünd dəri tonu, saqqal, saqqallı şəxs, saqqallı şəxs: orta-tünd dəri tonu
🧔🏿	saqqal, saqqallı şəxs, saqqallı şəxs: tünd dəri tonu, tünd dəri tonu
👱‍♂	kişi, sarışın, sarışın kişi
👱🏻‍♂	açıq dəri tonu, kişi, sarışın, sarışın kişi: açıq dəri tonu
👱🏼‍♂	kişi, orta-açıq dəri tonu, sarışın, sarışın kişi: orta-açıq dəri tonu
👱🏽‍♂	kişi, orta dəri tonu, sarışın, sarışın kişi: orta dəri tonu
👱🏾‍♂	kişi, orta-tünd dəri tonu, sarışın, sarışın kişi: orta-tünd dəri tonu
👱🏿‍♂	kişi, sarışın, sarışın kişi: tünd dəri tonu, tünd dəri tonu
👨‍🦰	kişi, kişi: qırmızı saç, qırmızı saç
👨🏻‍🦰	açıq dəri tonu, kişi, kişi: açıq dəri tonu, qırmızı saç, qırmızı saç
👨🏼‍🦰	kişi, kişi: orta-açıq dəri tonu, qırmızı saç, orta-açıq dəri tonu, qırmızı saç
👨🏽‍🦰	kişi, kişi: orta dəri tonu, qırmızı saç, orta dəri tonu, qırmızı saç
👨🏾‍🦰	kişi, kişi: orta-tünd dəri tonu, qırmızı saç, orta-tünd dəri tonu, qırmızı saç
👨🏿‍🦰	kişi, kişi: tünd dəri tonu, qırmızı saç, qırmızı saç, tünd dəri tonu
👨‍🦱	buruq saç, kişi, kişi: buruq saç
👨🏻‍🦱	açıq dəri tonu, buruq saç, kişi, kişi: açıq dəri tonu, buruq saç
👨🏼‍🦱	buruq saç, kişi, kişi: orta-açıq dəri tonu, buruq saç, orta-açıq dəri tonu
👨🏽‍🦱	buruq saç, kişi, kişi: orta dəri tonu, buruq saç, orta dəri tonu
👨🏾‍🦱	buruq saç, kişi, kişi: orta-tünd dəri tonu, buruq saç, orta-tünd dəri tonu
👨🏿‍🦱	buruq saç, kişi, kişi: tünd dəri tonu, buruq saç, tünd dəri tonu
👨‍🦳	ağ saç, kişi, kişi: ağ saç
👨🏻‍🦳	açıq dəri tonu, ağ saç, kişi, kişi: açıq dəri tonu, ağ saç
👨🏼‍🦳	ağ saç, kişi, kişi: orta-açıq dəri tonu, ağ saç, orta-açıq dəri tonu
👨🏽‍🦳	ağ saç, kişi, kişi: orta dəri tonu, ağ saç, orta dəri tonu
👨🏾‍🦳	ağ saç, kişi, kişi: orta-tünd dəri tonu, ağ saç, orta-tünd dəri tonu
👨🏿‍🦳	ağ saç, kişi, kişi: tünd dəri tonu, ağ saç, tünd dəri tonu
👨‍🦲	keçəl, kişi, kişi: keçəl
👨🏻‍🦲	açıq dəri tonu, keçəl, kişi, kişi: açıq dəri tonu, keçəl
👨🏼‍🦲	keçəl, kişi, kişi: orta-açıq dəri tonu, keçəl, orta-açıq dəri tonu
👨🏽‍🦲	keçəl, kişi, kişi: orta dəri tonu, keçəl, orta dəri tonu
👨🏾‍🦲	keçəl, kişi, kişi: orta-tünd dəri tonu, keçəl, orta-tünd dəri tonu
👨🏿‍🦲	keçəl, kişi, kişi: tünd dəri tonu, keçəl, tünd dəri tonu
👩	qadın
👩🏻	açıq dəri tonu, qadın, qadın: açıq dəri tonu
👩🏼	orta-açıq dəri tonu, qadın, qadın: orta-açıq dəri tonu
👩🏽	orta dəri tonu, qadın, qadın: orta dəri tonu
👩🏾	orta-tünd dəri tonu, qadın, qadın: orta-tünd dəri tonu
👩🏿	qadın, qadın: tünd dəri tonu, tünd dəri tonu
👱‍♀	qadın, sarışın, sarışın qadın
👱🏻‍♀	açıq dəri tonu, qadın, sarışın, sarışın qadın: açıq dəri tonu
👱🏼‍♀	orta-açıq dəri tonu, qadın, sarışın, sarışın qadın: orta-açıq dəri tonu
👱🏽‍♀	orta dəri tonu, qadın, sarışın, sarışın qadın: orta dəri tonu
👱🏾‍♀	orta-tünd dəri tonu, qadın, sarışın, sarışın qadın: orta-tünd dəri tonu
👱🏿‍♀	qadın, sarışın, sarışın qadın: tünd dəri tonu, tünd dəri tonu
👩‍🦰	qadın, qadın: qırmızı saç, qırmızı saç
👩🏻‍🦰	açıq dəri tonu, qadın, qadın: açıq dəri tonu, qırmızı saç, qırmızı saç
👩🏼‍🦰	orta-açıq dəri tonu, qadın, qadın: orta-açıq dəri tonu, qırmızı saç, qırmızı saç
👩🏽‍🦰	orta dəri tonu, qadın, qadın: orta dəri tonu, qırmızı saç, qırmızı saç
👩🏾‍🦰	orta-tünd dəri tonu, qadın, qadın: orta-tünd dəri tonu, qırmızı saç, qırmızı saç
👩🏿‍🦰	qadın, qadın: tünd dəri tonu, qırmızı saç, qırmızı saç, tünd dəri tonu
👩‍🦱	buruq saç, qadın, qadın: buruq saç
👩🏻‍🦱	açıq dəri tonu, buruq saç, qadın, qadın: açıq dəri tonu, buruq saç
👩🏼‍🦱	buruq saç, orta-açıq dəri tonu, qadın, qadın: orta-açıq dəri tonu, buruq saç
👩🏽‍🦱	buruq saç, orta dəri tonu, qadın, qadın: orta dəri tonu, buruq saç
👩🏾‍🦱	buruq saç, orta-tünd dəri tonu, qadın, qadın: orta-tünd dəri tonu, buruq saç
👩🏿‍🦱	buruq saç, qadın, qadın: tünd dəri tonu, buruq saç, tünd dəri tonu
👩‍🦳	ağ saç, qadın, qadın: ağ saç
👩🏻‍🦳	açıq dəri tonu, ağ saç, qadın, qadın: açıq dəri tonu, ağ saç
👩🏼‍🦳	ağ saç, orta-açıq dəri tonu, qadın, qadın: orta-açıq dəri tonu, ağ saç
👩🏽‍🦳	ağ saç, orta dəri tonu, qadın, qadın: orta dəri tonu, ağ saç
👩🏾‍🦳	ağ saç, orta-tünd dəri tonu, qadın, qadın: orta-tünd dəri tonu, ağ saç
👩🏿‍🦳	ağ saç, qadın, qadın: tünd dəri tonu, ağ saç, tünd dəri tonu
👩‍🦲	keçəl, qadın, qadın: keçəl
👩🏻‍🦲	açıq dəri tonu, keçəl, qadın, qadın: açıq dəri tonu, keçəl
👩🏼‍🦲	keçəl, orta-açıq dəri tonu, qadın, qadın: orta-açıq dəri tonu, keçəl
👩🏽‍🦲	keçəl, orta dəri tonu, qadın, qadın: orta dəri tonu, keçəl
👩🏾‍🦲	keçəl, orta-tünd dəri tonu, qadın, qadın: orta-tünd dəri tonu, keçəl
👩🏿‍🦲	keçəl, qadın, qadın: tünd dəri tonu, keçəl, tünd dəri tonu
🧓	gender-neytral, qoca, yaşlı böyük
🧓🏻	açıq dəri tonu, gender-neytral, qoca, yaşlı böyük, yaşlı böyük: açıq dəri tonu
🧓🏼	gender-neytral, orta-açıq dəri tonu, qoca, yaşlı böyük, yaşlı böyük: orta-açıq dəri tonu
🧓🏽	gender-neytral, orta dəri tonu, qoca, yaşlı böyük, yaşlı böyük: orta dəri tonu
🧓🏾	gender-neytral, orta-tünd dəri tonu, qoca, yaşlı böyük, yaşlı böyük: orta-tünd dəri tonu
🧓🏿	gender-neytral, qoca, tünd dəri tonu, yaşlı böyük, yaşlı böyük: tünd dəri tonu
👴	kişi, yaşlı, yaşlı kişi
👴🏻	açıq dəri tonu, kişi, yaşlı, yaşlı kişi: açıq dəri tonu
👴🏼	kişi, orta-açıq dəri tonu, yaşlı, yaşlı kişi: orta-açıq dəri tonu
👴🏽	kişi, orta dəri tonu, yaşlı, yaşlı kişi: orta dəri tonu
👴🏾	kişi, orta-tünd dəri tonu, yaşlı, yaşlı kişi: orta-tünd dəri tonu
👴🏿	kişi, tünd dəri tonu, yaşlı, yaşlı kişi: tünd dəri tonu
👵	qadın, yaşlı, yaşlı qadın
👵🏻	açıq dəri tonu, qadın, yaşlı, yaşlı qadın: açıq dəri tonu
👵🏼	orta-açıq dəri tonu, qadın, yaşlı, yaşlı qadın: orta-açıq dəri tonu
👵🏽	orta dəri tonu, qadın, yaşlı, yaşlı qadın: orta dəri tonu
👵🏾	orta-tünd dəri tonu, qadın, yaşlı, yaşlı qadın: orta-tünd dəri tonu
👵🏿	qadın, tünd dəri tonu, yaşlı, yaşlı qadın: tünd dəri tonu
🙍	jest, qaşqabaqlı, qaşqabaqlı adam
🙍🏻	açıq dəri tonu, jest, qaşqabaqlı, qaşqabaqlı adam, qaşqabaqlı adam: açıq dəri tonu
🙍🏼	jest, orta-açıq dəri tonu, qaşqabaqlı, qaşqabaqlı adam, qaşqabaqlı adam: orta-açıq dəri tonu
🙍🏽	jest, orta dəri tonu, qaşqabaqlı, qaşqabaqlı adam, qaşqabaqlı adam: orta dəri tonu
🙍🏾	jest, orta-tünd dəri tonu, qaşqabaqlı, qaşqabaqlı adam, qaşqabaqlı adam: orta-tünd dəri tonu
🙍🏿	jest, qaşqabaqlı, qaşqabaqlı adam, qaşqabaqlı adam: tünd dəri tonu, tünd dəri tonu
🙍‍♂	jest, kefsiz kişi, kişi, qaşqabaqlı
🙍🏻‍♂	açıq dəri tonu, jest, kefsiz kişi, kefsiz kişi: açıq dəri tonu, kişi, qaşqabaqlı
🙍🏼‍♂	jest, kefsiz kişi, kefsiz kişi: orta-açıq dəri tonu, kişi, orta-açıq dəri tonu, qaşqabaqlı
🙍🏽‍♂	jest, kefsiz kişi, kefsiz kişi: orta dəri tonu, kişi, orta dəri tonu, qaşqabaqlı
🙍🏾‍♂	jest, kefsiz kişi, kefsiz kişi: orta-tünd dəri tonu, kişi, orta-tünd dəri tonu, qaşqabaqlı
