😀	инээсэн царай, инээх, царай
🙏🏽	алга, гар, дунд зэргийн, хавсарсан гарын алга, хавсарсан гарын алга: дунд зэргийн, хавсрах
🙏🏾	алга, бордуу, гар, хавсарсан гарын алга, хавсарсан гарын алга: бордуу, хавсрах
🙏🏿	алга, бор, гар, хавсарсан гарын алга, хавсарсан гарын алга: бор, хавсрах
✍️	бичиж байгаа гар, бичих, гар, үзэг
✍🏻	бичиж байгаа гар, бичиж байгаа гар: цайвар, бичих, гар, цайвар, үзэг
✍🏼	бага зэргийн цайвар, бичиж байгаа гар, бичиж байгаа гар: бага зэргийн цайвар, бичих, гар, үзэг
✍🏽	бичиж байгаа гар, бичиж байгаа гар: дунд зэргийн, бичих, гар, дунд зэргийн, үзэг
✍🏾	бичиж байгаа гар, бичиж байгаа гар: бордуу, бичих, бордуу, гар, үзэг
✍🏿	бичиж байгаа гар, бичиж байгаа гар: бор, бичих, бор, гар, үзэг
💅	арчлах, косметик, маникур, хумс, хумсаа будах
💅🏻	арчлах, косметик, маникур, хумс, хумсаа будах, хумсаа будах: цайвар, цайвар
💅🏼	арчлах, бага зэргийн цайвар, косметик, маникур, хумс, хумсаа будах, хумсаа будах: бага зэргийн цайвар
💅🏽	арчлах, дунд зэргийн, косметик, маникур, хумс, хумсаа будах, хумсаа будах: дунд зэргийн
💅🏾	арчлах, бордуу, косметик, маникур, хумс, хумсаа будах, хумсаа будах: бордуу
💅🏿	арчлах, бор, косметик, маникур, хумс, хумсаа будах, хумсаа будах: бор
🤳	селфи
🤳🏻	селфи, селфи: цайвар, цайвар
🤳🏼	бага зэргийн цайвар, селфи, селфи: бага зэргийн цайвар
🤳🏽	дунд зэргийн, селфи, селфи: дунд зэргийн
🤳🏾	бордуу, селфи, селфи: бордуу
🤳🏿	бор, селфи, селфи: бор
💪	булчин, гар, гарын булчин
💪🏻	булчин, гар, гарын булчин, гарын булчин: цайвар, цайвар
💪🏼	бага зэргийн цайвар, булчин, гар, гарын булчин, гарын булчин: бага зэргийн цайвар
💪🏽	булчин, гар, гарын булчин, гарын булчин: дунд зэргийн, дунд зэргийн
💪🏾	бордуу, булчин, гар, гарын булчин, гарын булчин: бордуу
💪🏿	бор, булчин, гар, гарын булчин, гарын булчин: бор
🦾	протез, хиймэл механик гар, хиймэл эрхтэн, хөгжлийн бэрхшээл
🦿	протез, хиймэл механик хөл, хиймэл эрхтэн, хөгжлийн бэрхшээл
🦵	мөч, хөл, өшиглөх
🦵🏻	мөч, хөл, хөл: цайвар, цайвар, өшиглөх
🦵🏼	бага зэргийн цайвар, мөч, хөл, хөл: бага зэргийн цайвар, өшиглөх
🦵🏽	дунд зэргийн, мөч, хөл, хөл: дунд зэргийн, өшиглөх
🦵🏾	бордуу, мөч, хөл, хөл: бордуу, өшиглөх
🦵🏿	бор, мөч, хөл, хөл: бор, өшиглөх
🦶	тавхай, товших, өшиглөх
🦶🏻	тавхай, тавхай: цайвар, товших, цайвар, өшиглөх
🦶🏼	бага зэргийн цайвар, тавхай, тавхай: бага зэргийн цайвар, товших, өшиглөх
🦶🏽	дунд зэргийн, тавхай, тавхай: дунд зэргийн, товших, өшиглөх
🦶🏾	бордуу, тавхай, тавхай: бордуу, товших, өшиглөх
🦶🏿	бор, тавхай, тавхай: бор, товших, өшиглөх
👂️	бие, чих
👂🏻	бие, цайвар, чих, чих: цайвар
👂🏼	бага зэргийн цайвар, бие, чих, чих: бага зэргийн цайвар
👂🏽	бие, дунд зэргийн, чих, чих: дунд зэргийн
👂🏾	бие, бордуу, чих, чих: бордуу
👂🏿	бие, бор, чих, чих: бор
🦻	сонсголын аппараттай чих, сонсголын бэрхшээл, хөгжлийн бэрхшээл
🦻🏻	сонсголын аппараттай чих, сонсголын аппараттай чих: цайвар, сонсголын бэрхшээл, хөгжлийн бэрхшээл, цайвар
🦻🏼	бага зэргийн цайвар, сонсголын аппараттай чих, сонсголын аппараттай чих: бага зэргийн цайвар, сонсголын бэрхшээл, хөгжлийн бэрхшээл
🦻🏽	дунд зэргийн, сонсголын аппараттай чих, сонсголын аппараттай чих: дунд зэргийн, сонсголын бэрхшээл, хөгжлийн бэрхшээл
🦻🏾	бордуу, сонсголын аппараттай чих, сонсголын аппараттай чих: бордуу, сонсголын бэрхшээл, хөгжлийн бэрхшээл
🦻🏿	бор, сонсголын аппараттай чих, сонсголын аппараттай чих: бор, сонсголын бэрхшээл, хөгжлийн бэрхшээл
👃	бие, хамар
👃🏻	бие, хамар, хамар: цайвар, цайвар
👃🏼	бага зэргийн цайвар, бие, хамар, хамар: бага зэргийн цайвар
👃🏽	бие, дунд зэргийн, хамар, хамар: дунд зэргийн
👃🏾	бие, бордуу, хамар, хамар: бордуу
👃🏿	бие, бор, хамар, хамар: бор
🧠	тархи, ухаантай
🦷	шүд, шүдний эмч
🦴	араг яс, яс
👀	гайхах, нүд, хоёр, хоёр нүд
👁️	бие, нүд
👅	бие, хэл
👄	ам, уруул, шүд
👶	нялх, нялх хүүхэд, хүүхэд
👶🏻	нялх, нялх хүүхэд: цайвар, хүүхэд, цайвар
👶🏼	бага зэргийн цайвар, нялх, нялх хүүхэд: бага зэргийн цайвар, хүүхэд
👶🏽	дунд зэргийн, нялх, нялх хүүхэд: дунд зэргийн, хүүхэд
👶🏾	бордуу, нялх, нялх хүүхэд: бордуу, хүүхэд
👶🏿	бор, нялх, нялх хүүхэд: бор, хүүхэд
🧒	жендер-саармаг, залуу, хүүхэд
