😀	guyu, rai, rai ngguyu
🚣🏽‍♀	kulit kuning, prau, prau dhayung, wadon, wong wadon ndhayung, wong wadon ndhayung: kulit kuning
🚣🏾‍♀	kulit sawo mateng, prau, prau dhayung, wadon, wong wadon ndhayung, wong wadon ndhayung: kulit sawo mateng
🚣🏿‍♀	kulit ireng, prau, prau dhayung, wadon, wong wadon ndhayung, wong wadon ndhayung: kulit ireng
🏊️	langi, wong nglangi
🏊🏻	kulit putih, langi, wong nglangi, wong nglangi: kulit putih
🏊🏼	kulit putih langsep, langi, wong nglangi, wong nglangi: kulit putih langsep
🏊🏽	kulit kuning, langi, wong nglangi, wong nglangi: kulit kuning
🏊🏾	kulit sawo mateng, langi, wong nglangi, wong nglangi: kulit sawo mateng
🏊🏿	kulit ireng, langi, wong nglangi, wong nglangi: kulit ireng
🏊‍♂	lanang, langi, wong lanang nglangi
🏊🏻‍♂	kulit putih, lanang, langi, wong lanang nglangi, wong lanang nglangi: kulit putih
🏊🏼‍♂	kulit putih langsep, lanang, langi, wong lanang nglangi, wong lanang nglangi: kulit putih langsep
🏊🏽‍♂	kulit kuning, lanang, langi, wong lanang nglangi, wong lanang nglangi: kulit kuning
🏊🏾‍♂	kulit sawo mateng, lanang, langi, wong lanang nglangi, wong lanang nglangi: kulit sawo mateng
🏊🏿‍♂	kulit ireng, lanang, langi, wong lanang nglangi, wong lanang nglangi: kulit ireng
🏊‍♀	langi, wadon, wong wadon nglangi
🏊🏻‍♀	kulit putih, langi, wadon, wong wadon nglangi, wong wadon nglangi: kulit putih
🏊🏼‍♀	kulit putih langsep, langi, wadon, wong wadon nglangi, wong wadon nglangi: kulit putih langsep
🏊🏽‍♀	kulit kuning, langi, wadon, wong wadon nglangi, wong wadon nglangi: kulit kuning
🏊🏾‍♀	kulit sawo mateng, langi, wadon, wong wadon nglangi, wong wadon nglangi: kulit sawo mateng
🏊🏿‍♀	kulit ireng, langi, wadon, wong wadon nglangi, wong wadon nglangi: kulit ireng
⛹️	bal, wong mentulake bal
⛹🏻	bal, kulit putih, wong mentulake bal, wong mentulake bal: kulit putih
⛹🏼	bal, kulit putih langsep, wong mentulake bal, wong mentulake bal: kulit putih langsep
⛹🏽	bal, kulit kuning, wong mentulake bal, wong mentulake bal: kulit kuning
⛹🏾	bal, kulit sawo mateng, wong mentulake bal, wong mentulake bal: kulit sawo mateng
⛹🏿	bal, kulit ireng, wong mentulake bal, wong mentulake bal: kulit ireng
⛹‍♂	bal, lanang, wong lanang mentulake bal
⛹🏻‍♂	bal, kulit putih, lanang, wong lanang mentulake bal, wong lanang mentulake bal: kulit putih
⛹🏼‍♂	bal, kulit putih langsep, lanang, wong lanang mentulake bal, wong lanang mentulake bal: kulit putih langsep
⛹🏽‍♂	bal, kulit kuning, lanang, wong lanang mentulake bal, wong lanang mentulake bal: kulit kuning
⛹🏾‍♂	bal, kulit sawo mateng, lanang, wong lanang mentulake bal, wong lanang mentulake bal: kulit sawo mateng
⛹🏿‍♂	bal, kulit ireng, lanang, wong lanang mentulake bal, wong lanang mentulake bal: kulit ireng
⛹‍♀	bal, wadon, wong wadon mentulake bal
⛹🏻‍♀	bal, kulit putih, wadon, wong wadon mentulake bal, wong wadon mentulake bal: kulit putih
⛹🏼‍♀	bal, kulit putih langsep, wadon, wong wadon mentulake bal, wong wadon mentulake bal: kulit putih langsep
⛹🏽‍♀	bal, kulit kuning, wadon, wong wadon mentulake bal, wong wadon mentulake bal: kulit kuning
⛹🏾‍♀	bal, kulit sawo mateng, wadon, wong wadon mentulake bal, wong wadon mentulake bal: kulit sawo mateng
⛹🏿‍♀	bal, kulit ireng, wadon, wong wadon mentulake bal, wong wadon mentulake bal: kulit ireng
🏋️	atlit angkat barbel, barbel, wong ngangkat barbel
🏋🏻	atlit angkat barbel, barbel, kulit putih, wong ngangkat barbel, wong ngangkat barbel: kulit putih
🏋🏼	atlit angkat barbel, barbel, kulit putih langsep, wong ngangkat barbel, wong ngangkat barbel: kulit putih langsep
🏋🏽	atlit angkat barbel, barbel, kulit kuning, wong ngangkat barbel, wong ngangkat barbel: kulit kuning
🏋🏾	atlit angkat barbel, barbel, kulit sawo mateng, wong ngangkat barbel, wong ngangkat barbel: kulit sawo mateng
🏋🏿	atlit angkat barbel, barbel, kulit ireng, wong ngangkat barbel, wong ngangkat barbel: kulit ireng
🏋‍♂	atlit angkat barbel, lanang, wong lanang ngangkat barbel
🏋🏻‍♂	atlit angkat barbel, kulit putih, lanang, wong lanang ngangkat barbel, wong lanang ngangkat barbel: kulit putih
🏋🏼‍♂	atlit angkat barbel, kulit putih langsep, lanang, wong lanang ngangkat barbel, wong lanang ngangkat barbel: kulit putih langsep
🏋🏽‍♂	atlit angkat barbel, kulit kuning, lanang, wong lanang ngangkat barbel, wong lanang ngangkat barbel: kulit kuning
🏋🏾‍♂	atlit angkat barbel, kulit sawo mateng, lanang, wong lanang ngangkat barbel, wong lanang ngangkat barbel: kulit sawo mateng
🏋🏿‍♂	atlit angkat barbel, kulit ireng, lanang, wong lanang ngangkat barbel, wong lanang ngangkat barbel: kulit ireng
🏋‍♀	atlit angkat barbel, wadon, wong wadon ngangkat barbel
🏋🏻‍♀	atlit angkat barbel, kulit putih, wadon, wong wadon ngangkat barbel, wong wadon ngangkat barbel: kulit putih
🏋🏼‍♀	atlit angkat barbel, kulit putih langsep, wadon, wong wadon ngangkat barbel, wong wadon ngangkat barbel: kulit putih langsep
🏋🏽‍♀	atlit angkat barbel, kulit kuning, wadon, wong wadon ngangkat barbel, wong wadon ngangkat barbel: kulit kuning
🏋🏾‍♀	atlit angkat barbel, kulit sawo mateng, wadon, wong wadon ngangkat barbel, wong wadon ngangkat barbel: kulit sawo mateng
🏋🏿‍♀	atlit angkat barbel, kulit ireng, wadon, wong wadon ngangkat barbel, wong wadon ngangkat barbel: kulit ireng
🚴	atlit sepedha, pit, pit-pitan, wong numpak pit
🚴🏻	atlit sepedha, kulit putih, pit, pit-pitan, wong numpak pit, wong numpak pit: kulit putih
🚴🏼	atlit sepedha, kulit putih langsep, pit, pit-pitan, wong numpak pit, wong numpak pit: kulit putih langsep
🚴🏽	atlit sepedha, kulit kuning, pit, pit-pitan, wong numpak pit, wong numpak pit: kulit kuning
🚴🏾	atlit sepedha, kulit sawo mateng, pit, pit-pitan, wong numpak pit, wong numpak pit: kulit sawo mateng
🚴🏿	atlit sepedha, kulit ireng, pit, pit-pitan, wong numpak pit, wong numpak pit: kulit ireng
🚴‍♂	atlit sepedha, lanang, pit, pit-pitan, wong lanang numpak pit
🚴🏻‍♂	atlit sepedha, kulit putih, lanang, pit, pit-pitan, wong lanang numpak pit, wong lanang numpak pit: kulit putih
🚴🏼‍♂	atlit sepedha, kulit putih langsep, lanang, pit, pit-pitan, wong lanang numpak pit, wong lanang numpak pit: kulit putih langsep
🚴🏽‍♂	atlit sepedha, kulit kuning, lanang, pit, pit-pitan, wong lanang numpak pit, wong lanang numpak pit: kulit kuning
🚴🏾‍♂	atlit sepedha, kulit sawo mateng, lanang, pit, pit-pitan, wong lanang numpak pit, wong lanang numpak pit: kulit sawo mateng
🚴🏿‍♂	atlit sepedha, kulit ireng, lanang, pit, pit-pitan, wong lanang numpak pit, wong lanang numpak pit: kulit ireng
🚴‍♀	atlit sepedha, pit, pit-pitan, wadon, wong wadon numpak pit
🚴🏻‍♀	atlit sepedha, kulit putih, pit, pit-pitan, wadon, wong wadon numpak pit, wong wadon numpak pit: kulit putih
🚴🏼‍♀	atlit sepedha, kulit putih langsep, pit, pit-pitan, wadon, wong wadon numpak pit, wong wadon numpak pit: kulit putih langsep
🚴🏽‍♀	atlit sepedha, kulit kuning, pit, pit-pitan, wadon, wong wadon numpak pit, wong wadon numpak pit: kulit kuning
🚴🏾‍♀	atlit sepedha, kulit sawo mateng, pit, pit-pitan, wadon, wong wadon numpak pit, wong wadon numpak pit: kulit sawo mateng
🚴🏿‍♀	atlit sepedha, kulit ireng, pit, pit-pitan, wadon, wong wadon numpak pit, wong wadon numpak pit: kulit ireng
🚵	atlit sepedha, gunung, pit, sepedha, wong numpak sepedha gunung
🚵🏻	atlit sepedha, gunung, kulit putih, pit, sepedha, wong numpak sepedha gunung, wong numpak sepedha gunung: kulit putih
🚵🏼	atlit sepedha, gunung, kulit putih langsep, pit, sepedha, wong numpak sepedha gunung, wong numpak sepedha gunung: kulit putih langsep
🚵🏽	atlit sepedha, gunung, kulit kuning, pit, sepedha, wong numpak sepedha gunung, wong numpak sepedha gunung: kulit kuning
🚵🏾	atlit sepedha, gunung, kulit sawo mateng, pit, sepedha, wong numpak sepedha gunung, wong numpak sepedha gunung: kulit sawo mateng
🚵🏿	atlit sepedha, gunung, kulit ireng, pit, sepedha, wong numpak sepedha gunung, wong numpak sepedha gunung: kulit ireng
🚵‍♂	atlit sepedha, gunung, lanang, pit, sepedha, wong lanang numpak sepedha gunung
🚵🏻‍♂	atlit sepedha, gunung, kulit putih, lanang, pit, sepedha, wong lanang numpak sepedha gunung, wong lanang numpak sepedha gunung: kulit putih
🚵🏼‍♂	atlit sepedha, gunung, kulit putih langsep, lanang, pit, sepedha, wong lanang numpak sepedha gunung, wong lanang numpak sepedha gunung: kulit putih langsep
🚵🏽‍♂	atlit sepedha, gunung, kulit kuning, lanang, pit, sepedha, wong lanang numpak sepedha gunung, wong lanang numpak sepedha gunung: kulit kuning
🚵🏾‍♂	atlit sepedha, gunung, kulit sawo mateng, lanang, pit, sepedha, wong lanang numpak sepedha gunung, wong lanang numpak sepedha gunung: kulit sawo mateng
🚵🏿‍♂	atlit sepedha, gunung, kulit ireng, lanang, pit, sepedha, wong lanang numpak sepedha gunung, wong lanang numpak sepedha gunung: kulit ireng
🚵‍♀	atlit sepedha, gunung, pit, sepedha, wadon, wong wadon numpak sepedha gunung
🚵🏻‍♀	atlit sepedha, gunung, kulit putih, pit, sepedha, wadon, wong wadon numpak sepedha gunung, wong wadon numpak sepedha gunung: kulit putih
🚵🏼‍♀	atlit sepedha, gunung, kulit putih langsep, pit, sepedha, wadon, wong wadon numpak sepedha gunung, wong wadon numpak sepedha gunung: kulit putih langsep
🚵🏽‍♀	atlit sepedha, gunung, kulit kuning, pit, sepedha, wadon, wong wadon numpak sepedha gunung, wong wadon numpak sepedha gunung: kulit kuning
🚵🏾‍♀	atlit sepedha, gunung, kulit sawo mateng, pit, sepedha, wadon, wong wadon numpak sepedha gunung, wong wadon numpak sepedha gunung: kulit sawo mateng
🚵🏿‍♀	atlit sepedha, gunung, kulit ireng, pit, sepedha, wadon, wong wadon numpak sepedha gunung, wong wadon numpak sepedha gunung: kulit ireng
🤸	engkang, gimnastik, wong engkang
🤸🏻	engkang, gimnastik, kulit putih, wong engkang, wong engkang: kulit putih
🤸🏼	engkang, gimnastik, kulit putih langsep, wong engkang, wong engkang: kulit putih langsep
🤸🏽	engkang, gimnastik, kulit kuning, wong engkang, wong engkang: kulit kuning
🤸🏾	engkang, gimnastik, kulit sawo mateng, wong engkang, wong engkang: kulit sawo mateng
🤸🏿	engkang, gimnastik, kulit ireng, wong engkang, wong engkang: kulit ireng
🤸‍♂	engkang, gimnastik, lanang, wong lanang engkang
🤸🏻‍♂	engkang, gimnastik, kulit putih, lanang, wong lanang engkang, wong lanang engkang: kulit putih
🤸🏼‍♂	engkang, gimnastik, kulit putih langsep, lanang, wong lanang engkang, wong lanang engkang: kulit putih langsep
🤸🏽‍♂	engkang, gimnastik, kulit kuning, lanang, wong lanang engkang, wong lanang engkang: kulit kuning
🤸🏾‍♂	engkang, gimnastik, kulit sawo mateng, lanang, wong lanang engkang, wong lanang engkang: kulit sawo mateng
🤸🏿‍♂	engkang, gimnastik, kulit ireng, lanang, wong lanang engkang, wong lanang engkang: kulit ireng
🤸‍♀	engkang, gimnastik, wadon, wong wadon engkang
🤸🏻‍♀	engkang, gimnastik, kulit putih, wadon, wong wadon engkang, wong wadon engkang: kulit putih
🤸🏼‍♀	engkang, gimnastik, kulit putih langsep, wadon, wong wadon engkang, wong wadon engkang: kulit putih langsep
🤸🏽‍♀	engkang, gimnastik, kulit kuning, wadon, wong wadon engkang, wong wadon engkang: kulit kuning
🤸🏾‍♀	engkang, gimnastik, kulit sawo mateng, wadon, wong wadon engkang, wong wadon engkang: kulit sawo mateng
🤸🏿‍♀	engkang, gimnastik, kulit ireng, wadon, wong wadon engkang, wong wadon engkang: kulit ireng
🤼	gulat, pemain gulat, wong gulat
🤼‍♂	gulat, lanang, wong lanang gulat
🤼‍♀	gulat, wadon, wong wadon gulat
🤽	banyu, polo, wong main polo banyu
🤽🏻	banyu, kulit putih, polo, wong main polo banyu, wong main polo banyu: kulit putih
🤽🏼	banyu, kulit putih langsep, polo, wong main polo banyu, wong main polo banyu: kulit putih langsep
🤽🏽	banyu, kulit kuning, polo, wong main polo banyu, wong main polo banyu: kulit kuning
🤽🏾	banyu, kulit sawo mateng, polo, wong main polo banyu, wong main polo banyu: kulit sawo mateng
🤽🏿	banyu, kulit ireng, polo, wong main polo banyu, wong main polo banyu: kulit ireng
🤽‍♂	lanang, polo banyu, wong lanang main polo banyu
🤽🏻‍♂	kulit putih, lanang, polo banyu, wong lanang main polo banyu, wong lanang main polo banyu: kulit putih
🤽🏼‍♂	kulit putih langsep, lanang, polo banyu, wong lanang main polo banyu, wong lanang main polo banyu: kulit putih langsep
🤽🏽‍♂	kulit kuning, lanang, polo banyu, wong lanang main polo banyu, wong lanang main polo banyu: kulit kuning
🤽🏾‍♂	kulit sawo mateng, lanang, polo banyu, wong lanang main polo banyu, wong lanang main polo banyu: kulit sawo mateng
🤽🏿‍♂	kulit ireng, lanang, polo banyu, wong lanang main polo banyu, wong lanang main polo banyu: kulit ireng
🤽‍♀	polo banyu, wadon, wong wadon main polo banyu
🤽🏻‍♀	kulit putih, polo banyu, wadon, wong wadon main polo banyu, wong wadon main polo banyu: kulit putih
🤽🏼‍♀	kulit putih langsep, polo banyu, wadon, wong wadon main polo banyu, wong wadon main polo banyu: kulit putih langsep
🤽🏽‍♀	kulit kuning, polo banyu, wadon, wong wadon main polo banyu, wong wadon main polo banyu: kulit kuning
🤽🏾‍♀	kulit sawo mateng, polo banyu, wadon, wong wadon main polo banyu, wong wadon main polo banyu: kulit sawo mateng
🤽🏿‍♀	kulit ireng, polo banyu, wadon, wong wadon main polo banyu, wong wadon main polo banyu: kulit ireng
🤾	bal, bal tangan, wong main bal tangan
🤾🏻	bal, bal tangan, kulit putih, wong main bal tangan, wong main bal tangan: kulit putih
🤾🏼	bal, bal tangan, kulit putih langsep, wong main bal tangan, wong main bal tangan: kulit putih langsep
🤾🏽	bal, bal tangan, kulit kuning, wong main bal tangan, wong main bal tangan: kulit kuning
🤾🏾	bal, bal tangan, kulit sawo mateng, wong main bal tangan, wong main bal tangan: kulit sawo mateng
🤾🏿	bal, bal tangan, kulit ireng, wong main bal tangan, wong main bal tangan: kulit ireng
🤾‍♂	bal tangan, lanang, wong lanang main bal tangan
🤾🏻‍♂	bal tangan, kulit putih, lanang, wong lanang main bal tangan, wong lanang main bal tangan: kulit putih
🤾🏼‍♂	bal tangan, kulit putih langsep, lanang, wong lanang main bal tangan, wong lanang main bal tangan: kulit putih langsep
🤾🏽‍♂	bal tangan, kulit kuning, lanang, wong lanang main bal tangan, wong lanang main bal tangan: kulit kuning
🤾🏾‍♂	bal tangan, kulit sawo mateng, lanang, wong lanang main bal tangan, wong lanang main bal tangan: kulit sawo mateng
🤾🏿‍♂	bal tangan, kulit ireng, lanang, wong lanang main bal tangan, wong lanang main bal tangan: kulit ireng
🤾‍♀	bal tangan, wadon, wong wadon main bal tangan
🤾🏻‍♀	bal tangan, kulit putih, wadon, wong wadon main bal tangan, wong wadon main bal tangan: kulit putih
🤾🏼‍♀	bal tangan, kulit putih langsep, wadon, wong wadon main bal tangan, wong wadon main bal tangan: kulit putih langsep
🤾🏽‍♀	bal tangan, kulit kuning, wadon, wong wadon main bal tangan, wong wadon main bal tangan: kulit kuning
🤾🏾‍♀	bal tangan, kulit sawo mateng, wadon, wong wadon main bal tangan, wong wadon main bal tangan: kulit sawo mateng
🤾🏿‍♀	bal tangan, kulit ireng, wadon, wong wadon main bal tangan, wong wadon main bal tangan: kulit ireng
🤹	akrobat, imbang, katrampilan, tangan cukat, wong main akrobat bal
🤹🏻	akrobat, imbang, katrampilan, kulit putih, tangan cukat, wong main akrobat bal, wong main akrobat bal: kulit putih
🤹🏼	akrobat, imbang, katrampilan, kulit putih langsep, tangan cukat, wong main akrobat bal, wong main akrobat bal: kulit putih langsep
🤹🏽	akrobat, imbang, katrampilan, kulit kuning, tangan cukat, wong main akrobat bal, wong main akrobat bal: kulit kuning
🤹🏾	akrobat, imbang, katrampilan, kulit sawo mateng, tangan cukat, wong main akrobat bal, wong main akrobat bal: kulit sawo mateng
🤹🏿	akrobat, imbang, katrampilan, kulit ireng, tangan cukat, wong main akrobat bal, wong main akrobat bal: kulit ireng
🤹‍♂	akrobat, lanang, tangan cukat, wong lanang main akrobat bal
🤹🏻‍♂	akrobat, kulit putih, lanang, tangan cukat, wong lanang main akrobat bal, wong lanang main akrobat bal: kulit putih
🤹🏼‍♂	akrobat, kulit putih langsep, lanang, tangan cukat, wong lanang main akrobat bal, wong lanang main akrobat bal: kulit putih langsep
🤹🏽‍♂	akrobat, kulit kuning, lanang, tangan cukat, wong lanang main akrobat bal, wong lanang main akrobat bal: kulit kuning
🤹🏾‍♂	akrobat, kulit sawo mateng, lanang, tangan cukat, wong lanang main akrobat bal, wong lanang main akrobat bal: kulit sawo mateng
🤹🏿‍♂	akrobat, kulit ireng, lanang, tangan cukat, wong lanang main akrobat bal, wong lanang main akrobat bal: kulit ireng
🤹‍♀	akrobat, tangan cukat, wadon, wong wadon main akrobat bal
🤹🏻‍♀	akrobat, kulit putih, tangan cukat, wadon, wong wadon main akrobat bal, wong wadon main akrobat bal: kulit putih
🤹🏼‍♀	akrobat, kulit putih langsep, tangan cukat, wadon, wong wadon main akrobat bal, wong wadon main akrobat bal: kulit putih langsep
🤹🏽‍♀	akrobat, kulit kuning, tangan cukat, wadon, wong wadon main akrobat bal, wong wadon main akrobat bal: kulit kuning
🤹🏾‍♀	akrobat, kulit sawo mateng, tangan cukat, wadon, wong wadon main akrobat bal, wong wadon main akrobat bal: kulit sawo mateng
🤹🏿‍♀	akrobat, kulit ireng, tangan cukat, wadon, wong wadon main akrobat bal, wong wadon main akrobat bal: kulit ireng
🧘	medhitasi, wong njagong sila, yoga
🧘🏻	kulit putih, medhitasi, wong njagong sila, wong njagong sila: kulit putih, yoga
🧘🏼	kulit putih langsep, medhitasi, wong njagong sila, wong njagong sila: kulit putih langsep, yoga
🧘🏽	kulit kuning, medhitasi, wong njagong sila, wong njagong sila: kulit kuning, yoga
🧘🏾	kulit sawo mateng, medhitasi, wong njagong sila, wong njagong sila: kulit sawo mateng, yoga
🧘🏿	kulit ireng, medhitasi, wong njagong sila, wong njagong sila: kulit ireng, yoga
🧘‍♂	medhitasi, wong lanang njagong sila, yoga
🧘🏻‍♂	kulit putih, medhitasi, wong lanang njagong sila, wong lanang njagong sila: kulit putih, yoga
🧘🏼‍♂	kulit putih langsep, medhitasi, wong lanang njagong sila, wong lanang njagong sila: kulit putih langsep, yoga
