😀	dareenka wajiga, gariir, wajiga
👊🏿	feer soo socoto, feer soo socoto: jidh madaw, feer tuuris, gacan, jidh madaw, tantoonyo, tantoonyo soo socota, xanniban
🤛	dhanka bidix, feerka, feerka tilmaamaya bidix, feerka tilmaamaysa bidix
🤛🏻	dhanka bidix, feerka, feerka tilmaamaya bidix, feerka tilmaamaysa bidix, feerka tilmaamaysa bidix: jidh fudud, jidh fudud
🤛🏼	dhanka bidix, feerka, feerka tilmaamaya bidix, feerka tilmaamaysa bidix, feerka tilmaamaysa bidix: jidh fudud oo dhexe, jidh fudud oo dhexe
🤛🏽	dhanka bidix, feerka, feerka tilmaamaya bidix, feerka tilmaamaysa bidix, feerka tilmaamaysa bidix: jidh nooc dhexe, jidh nooc dhexe
🤛🏾	dhanka bidix, feerka, feerka tilmaamaya bidix, feerka tilmaamaysa bidix, feerka tilmaamaysa bidix: jidh nooc madaw oo dhexe, jidh nooc madaw oo dhexe
🤛🏿	dhanka bidix, feerka, feerka tilmaamaya bidix, feerka tilmaamaysa bidix, feerka tilmaamaysa bidix: jidh madaw, jidh madaw
🤜	dhanka midig, feerka, feerka tilmaamaya midig
🤜🏻	dhanka midig, feerka, feerka tilmaamaya midig, feerka tilmaamaya midig: jidh fudud, jidh fudud
🤜🏼	dhanka midig, feerka, feerka tilmaamaya midig, feerka tilmaamaya midig: jidh fudud oo dhexe, jidh fudud oo dhexe
🤜🏽	dhanka midig, feerka, feerka tilmaamaya midig, feerka tilmaamaya midig: jidh nooc dhexe, jidh nooc dhexe
🤜🏾	dhanka midig, feerka, feerka tilmaamaya midig, feerka tilmaamaya midig: jidh nooc madaw oo dhexe, jidh nooc madaw oo dhexe
🤜🏿	dhanka midig, feerka, feerka tilmaamaya midig, feerka tilmaamaya midig: jidh madaw, jidh madaw
👏	gacan, sacab, sacabinta gacmaha
👏🏻	gacan, jidh fudud, sacab, sacabinta gacmaha, sacabinta gacmaha: jidh fudud
👏🏼	gacan, jidh fudud oo dhexe, sacab, sacabinta gacmaha, sacabinta gacmaha: jidh fudud oo dhexe
👏🏽	gacan, jidh nooc dhexe, sacab, sacabinta gacmaha, sacabinta gacmaha: jidh nooc dhexe
👏🏾	gacan, jidh nooc madaw oo dhexe, sacab, sacabinta gacmaha, sacabinta gacmaha: jidh nooc madaw oo dhexe
👏🏿	gacan, jidh madaw, sacab, sacabinta gacmaha, sacabinta gacmaha: jidh madaw
🙌	baraawo, dabbaaldeg, gacan, gacmo kor u taagid, kor u taagid, meedaar
🙌🏻	baraawo, dabbaaldeg, gacan, gacmo kor u taagid, gacmo kor u taagid: jidh fudud, jidh fudud, kor u taagid, meedaar
🙌🏼	baraawo, dabbaaldeg, gacan, gacmo kor u taagid, gacmo kor u taagid: jidh fudud oo dhexe, jidh fudud oo dhexe, kor u taagid, meedaar
🙌🏽	baraawo, dabbaaldeg, gacan, gacmo kor u taagid, gacmo kor u taagid: jidh nooc dhexe, jidh nooc dhexe, kor u taagid, meedaar
🙌🏾	baraawo, dabbaaldeg, gacan, gacmo kor u taagid, gacmo kor u taagid: jidh nooc madaw oo dhexe, jidh nooc madaw oo dhexe, kor u taagid, meedaar
🙌🏿	baraawo, dabbaaldeg, gacan, gacmo kor u taagid, gacmo kor u taagid: jidh madaw, jidh madaw, kor u taagid, meedaar
👐	furan, gacan, gacmo furan
👐🏻	furan, gacan, gacmo furan, gacmo furan: jidh fudud, jidh fudud
👐🏼	furan, gacan, gacmo furan, gacmo furan: jidh fudud oo dhexe, jidh fudud oo dhexe
👐🏽	furan, gacan, gacmo furan, gacmo furan: jidh nooc dhexe, jidh nooc dhexe
👐🏾	furan, gacan, gacmo furan, gacmo furan: jidh nooc madaw oo dhexe, jidh nooc madaw oo dhexe
👐🏿	furan, gacan, gacmo furan, gacmo furan: jidh madaw, jidh madaw
🤲	calaacalaha si wadajir ah kor loo taaggo, calaacalaha si wadajir ah kor loogu taaggo, duco
🤲🏻	calaacalaha si wadajir ah kor loo taaggo, calaacalaha si wadajir ah kor loogu taaggo, calaacalaha si wadajir ah kor loogu taaggo: jidh fudud, duco, jidh fudud
🤲🏼	calaacalaha si wadajir ah kor loo taaggo, calaacalaha si wadajir ah kor loogu taaggo, calaacalaha si wadajir ah kor loogu taaggo: jidh fudud oo dhexe, duco, jidh fudud oo dhexe
🤲🏽	calaacalaha si wadajir ah kor loo taaggo, calaacalaha si wadajir ah kor loogu taaggo, calaacalaha si wadajir ah kor loogu taaggo: jidh nooc dhexe, duco, jidh nooc dhexe
🤲🏾	calaacalaha si wadajir ah kor loo taaggo, calaacalaha si wadajir ah kor loogu taaggo, calaacalaha si wadajir ah kor loogu taaggo: jidh nooc madaw oo dhexe, duco, jidh nooc madaw oo dhexe
🤲🏿	calaacalaha si wadajir ah kor loo taaggo, calaacalaha si wadajir ah kor loogu taaggo, calaacalaha si wadajir ah kor loogu taaggo: jidh madaw, duco, jidh madaw
🤝	gacan, gacan-qaadka salaanta, heshiiska, kulan, salan
🙏	duco, fadlan, gacan, gacmo laaban, mahadsanid, weydiin
🙏🏻	duco, fadlan, gacan, gacmo laaban, gacmo laaban: jidh fudud, jidh fudud, mahadsanid, weydiin
🙏🏼	duco, fadlan, gacan, gacmo laaban, gacmo laaban: jidh fudud oo dhexe, jidh fudud oo dhexe, mahadsanid, weydiin
🙏🏽	duco, fadlan, gacan, gacmo laaban, gacmo laaban: jidh nooc dhexe, jidh nooc dhexe, mahadsanid, weydiin
🙏🏾	duco, fadlan, gacan, gacmo laaban, gacmo laaban: jidh nooc madaw oo dhexe, jidh nooc madaw oo dhexe, mahadsanid, weydiin
🙏🏿	duco, fadlan, gacan, gacmo laaban, gacmo laaban: jidh madaw, jidh madaw, mahadsanid, weydiin
✍️	gacan, gacan wax qoraysa, qor
✍🏻	gacan, gacan wax qoraysa, gacan wax qoraysa: jidh fudud, jidh fudud, qor
✍🏼	gacan, gacan wax qoraysa, gacan wax qoraysa: jidh fudud oo dhexe, jidh fudud oo dhexe, qor
✍🏽	gacan, gacan wax qoraysa, gacan wax qoraysa: jidh nooc dhexe, jidh nooc dhexe, qor
✍🏾	gacan, gacan wax qoraysa, gacan wax qoraysa: jidh nooc madaw oo dhexe, jidh nooc madaw oo dhexe, qor
✍🏿	gacan, gacan wax qoraysa, gacan wax qoraysa: jidh madaw, jidh madaw, qor
💅	ciddi, daryeel, dhalaalinta, dhalaalinta ciddiyaha, qurxinta, qurxinta ciddiyaha
💅🏻	ciddi, daryeel, dhalaalinta, dhalaalinta ciddiyaha, dhalaalinta ciddiyaha: jidh fudud, jidh fudud, qurxinta, qurxinta ciddiyaha
💅🏼	ciddi, daryeel, dhalaalinta, dhalaalinta ciddiyaha, dhalaalinta ciddiyaha: jidh fudud oo dhexe, jidh fudud oo dhexe, qurxinta, qurxinta ciddiyaha
💅🏽	ciddi, daryeel, dhalaalinta, dhalaalinta ciddiyaha, dhalaalinta ciddiyaha: jidh nooc dhexe, jidh nooc dhexe, qurxinta, qurxinta ciddiyaha
💅🏾	ciddi, daryeel, dhalaalinta, dhalaalinta ciddiyaha, dhalaalinta ciddiyaha: jidh nooc madaw oo dhexe, jidh nooc madaw oo dhexe, qurxinta, qurxinta ciddiyaha
💅🏿	ciddi, daryeel, dhalaalinta, dhalaalinta ciddiyaha, dhalaalinta ciddiyaha: jidh madaw, jidh madaw, qurxinta, qurxinta ciddiyaha
🤳	kamarad, sawir iska-qaadis, taleefoon
🤳🏻	jidh fudud, kamarad, sawir iska-qaadis, sawir iska-qaadis: jidh fudud, taleefoon
🤳🏼	jidh fudud oo dhexe, kamarad, sawir iska-qaadis, sawir iska-qaadis: jidh fudud oo dhexe, taleefoon
🤳🏽	jidh nooc dhexe, kamarad, sawir iska-qaadis, sawir iska-qaadis: jidh nooc dhexe, taleefoon
🤳🏾	jidh nooc madaw oo dhexe, kamarad, sawir iska-qaadis, sawir iska-qaadis: jidh nooc madaw oo dhexe, taleefoon
🤳🏿	jidh madaw, kamarad, sawir iska-qaadis, sawir iska-qaadis: jidh madaw, taleefoon
💪	kalagoyska suxulka, kalagoyska suxulka laaban, laab, majaajilada, muruq, suxulka oo laaban
💪🏻	jidh fudud, kalagoyska suxulka, kalagoyska suxulka laaban, laab, majaajilada, muruq, suxulka oo laaban, suxulka oo laaban: jidh fudud
💪🏼	jidh fudud oo dhexe, kalagoyska suxulka, kalagoyska suxulka laaban, laab, majaajilada, muruq, suxulka oo laaban, suxulka oo laaban: jidh fudud oo dhexe
💪🏽	jidh nooc dhexe, kalagoyska suxulka, kalagoyska suxulka laaban, laab, majaajilada, muruq, suxulka oo laaban, suxulka oo laaban: jidh nooc dhexe
💪🏾	jidh nooc madaw oo dhexe, kalagoyska suxulka, kalagoyska suxulka laaban, laab, majaajilada, muruq, suxulka oo laaban, suxulka oo laaban: jidh nooc madaw oo dhexe
💪🏿	jidh madaw, kalagoyska suxulka, kalagoyska suxulka laaban, laab, majaajilada, muruq, suxulka oo laaban, suxulka oo laaban: jidh madaw
🦾	awood leh, gacan mashiin ah, lug bir galis ah
🦿	la heli karo, lug bir galis ah, lug mashiin ah
🦵	addinka, laad, lug
🦵🏻	addinka, jidh fudud, laad, lug, lug: jidh fudud
🦵🏼	addinka, jidh fudud oo dhexe, laad, lug, lug: jidh fudud oo dhexe
🦵🏽	addinka, jidh nooc dhexe, laad, lug, lug: jidh nooc dhexe
🦵🏾	addinka, jidh nooc madaw oo dhexe, laad, lug, lug: jidh nooc madaw oo dhexe
🦵🏿	addinka, jidh madaw, laad, lug, lug: jidh madaw
🦶	cagta, laad, tallaabo xooggan
🦶🏻	cagta, cagta: jidh fudud, jidh fudud, laad, tallaabo xooggan
🦶🏼	cagta, cagta: jidh fudud oo dhexe, jidh fudud oo dhexe, laad, tallaabo xooggan
🦶🏽	cagta, cagta: jidh nooc dhexe, jidh nooc dhexe, laad, tallaabo xooggan
🦶🏾	cagta, cagta: jidh nooc madaw oo dhexe, jidh nooc madaw oo dhexe, laad, tallaabo xooggan
🦶🏿	cagta, cagta: jidh madaw, jidh madaw, laad, tallaabo xooggan
👂️	dhagta, jirka
👂🏻	dhagta, dhagta: jidh fudud, jidh fudud, jirka
👂🏼	dhagta, dhagta: jidh fudud oo dhexe, jidh fudud oo dhexe, jirka
👂🏽	dhagta, dhagta: jidh nooc dhexe, jidh nooc dhexe, jirka
👂🏾	dhagta, dhagta: jidh nooc madaw oo dhexe, jidh nooc madaw oo dhexe, jirka
👂🏿	dhagta, dhagta: jidh madaw, jidh madaw, jirka
🦻	dhag leh gargaarka maqalka, la heli karo, maqalka adag
🦻🏻	dhag leh gargaarka maqalka, dhag leh gargaarka maqalka: jidh fudud, jidh fudud, la heli karo, maqalka adag
🦻🏼	dhag leh gargaarka maqalka, dhag leh gargaarka maqalka: jidh fudud oo dhexe, jidh fudud oo dhexe, la heli karo, maqalka adag
🦻🏽	dhag leh gargaarka maqalka, dhag leh gargaarka maqalka: jidh nooc dhexe, jidh nooc dhexe, la heli karo, maqalka adag
🦻🏾	dhag leh gargaarka maqalka, dhag leh gargaarka maqalka: jidh nooc madaw oo dhexe, jidh nooc madaw oo dhexe, la heli karo, maqalka adag
🦻🏿	dhag leh gargaarka maqalka, dhag leh gargaarka maqalka: jidh madaw, jidh madaw, la heli karo, maqalka adag
👃	jirka, sanka
👃🏻	jidh fudud, jirka, sanka, sanka: jidh fudud
👃🏼	jidh fudud oo dhexe, jirka, sanka, sanka: jidh fudud oo dhexe
👃🏽	jidh nooc dhexe, jirka, sanka, sanka: jidh nooc dhexe
👃🏾	jidh nooc madaw oo dhexe, jirka, sanka, sanka: jidh nooc madaw oo dhexe
👃🏿	jidh madaw, jirka, sanka, sanka: jidh madaw
🧠	caqli badan, maskax, maskaxda
🦷	dhakhtarka ilkaha, ilig
🦴	laf, qalfoof
👀	il, indhaha, waji
👁️	il, jir
👅	carab, jir
👄	af, bishimo
👶	cunug, yar
👶🏻	cunug, cunug: jidh fudud, jidh fudud, yar
👶🏼	cunug, cunug: jidh fudud oo dhexe, jidh fudud oo dhexe, yar
👶🏽	cunug, cunug: jidh nooc dhexe, jidh nooc dhexe, yar
👶🏾	cunug, cunug: jidh nooc madaw oo dhexe, jidh nooc madaw oo dhexe, yar
👶🏿	cunug, cunug: jidh madaw, jidh madaw, yar
🧒	dhexdhexaadnimada jinsiga, ilmo, jinsiga aan la sheegin, yar
🧒🏻	dhexdhexaadnimada jinsiga, ilmo, ilmo: jidh fudud, jidh fudud, jinsiga aan la sheegin, yar
🧒🏼	dhexdhexaadnimada jinsiga, ilmo, ilmo: jidh fudud oo dhexe, jidh fudud oo dhexe, jinsiga aan la sheegin, yar
🧒🏽	dhexdhexaadnimada jinsiga, ilmo, ilmo: jidh nooc dhexe, jidh nooc dhexe, jinsiga aan la sheegin, yar
🧒🏾	dhexdhexaadnimada jinsiga, ilmo, ilmo: jidh nooc madaw oo dhexe, jidh nooc madaw oo dhexe, jinsiga aan la sheegin, yar
🧒🏿	dhexdhexaadnimada jinsiga, ilmo, ilmo: jidh madaw, jidh madaw, jinsiga aan la sheegin, yar
👦	wiil, yar
👦🏻	jidh fudud, wiil, wiil: jidh fudud, yar
👦🏼	jidh fudud oo dhexe, wiil, wiil: jidh fudud oo dhexe, yar
👦🏽	jidh nooc dhexe, wiil, wiil: jidh nooc dhexe, yar
👦🏾	jidh nooc madaw oo dhexe, wiil, wiil: jidh nooc madaw oo dhexe, yar
👦🏿	jidh madaw, wiil, wiil: jidh madaw, yar
👧	gabar, waalidka, yar, zodiac
👧🏻	gabar, gabar: jidh fudud, jidh fudud, waalidka, yar, zodiac
👧🏼	gabar, gabar: jidh fudud oo dhexe, jidh fudud oo dhexe, waalidka, yar, zodiac
👧🏽	gabar, gabar: jidh nooc dhexe, jidh nooc dhexe, waalidka, yar, zodiac
👧🏾	gabar, gabar: jidh nooc madaw oo dhexe, jidh nooc madaw oo dhexe, waalidka, yar, zodiac
👧🏿	gabar, gabar: jidh madaw, jidh madaw, waalidka, yar, zodiac
🧑	dhexdhexaadnimada jinsiga, jinsiga aan la sheegin, qof, qof weyn
🧑🏻	dhexdhexaadnimada jinsiga, jidh fudud, jinsiga aan la sheegin, qof, qof weyn, qof: jidh fudud
🧑🏼	dhexdhexaadnimada jinsiga, jidh fudud oo dhexe, jinsiga aan la sheegin, qof, qof weyn, qof: jidh fudud oo dhexe
🧑🏽	dhexdhexaadnimada jinsiga, jidh nooc dhexe, jinsiga aan la sheegin, qof, qof weyn, qof: jidh nooc dhexe
🧑🏾	dhexdhexaadnimada jinsiga, jidh nooc madaw oo dhexe, jinsiga aan la sheegin, qof, qof weyn, qof: jidh nooc madaw oo dhexe
🧑🏿	dhexdhexaadnimada jinsiga, jidh madaw, jinsiga aan la sheegin, qof, qof weyn, qof: jidh madaw
👱	qof timo cad leh, qof: timo cad, timo, timo cad
👱🏻	jidh fudud, qof timo cad leh, qof: jidh fudud, timo cad, qof: timo cad, timo, timo cad
👱🏼	jidh fudud oo dhexe, qof timo cad leh, qof: jidh fudud oo dhexe, timo cad, qof: timo cad, timo, timo cad
👱🏽	jidh nooc dhexe, qof timo cad leh, qof: jidh nooc dhexe, timo cad, qof: timo cad, timo, timo cad
👱🏾	jidh nooc madaw oo dhexe, qof timo cad leh, qof: jidh nooc madaw oo dhexe, timo cad, qof: timo cad, timo, timo cad
👱🏿	jidh madaw, qof timo cad leh, qof: jidh madaw, timo cad, qof: timo cad, timo, timo cad
👨	nin, ninka, qof weyn
👨🏻	jidh fudud, nin, ninka, ninka: jidh fudud, qof weyn
👨🏼	jidh fudud oo dhexe, nin, ninka, ninka: jidh fudud oo dhexe, qof weyn
👨🏽	jidh nooc dhexe, nin, ninka, ninka: jidh nooc dhexe, qof weyn
👨🏾	jidh nooc madaw oo dhexe, nin, ninka, ninka: jidh nooc madaw oo dhexe, qof weyn
👨🏿	jidh madaw, nin, ninka, ninka: jidh madaw, qof weyn
🧔	gar, nin, nin: gar, qof
🧔🏻	gar, jidh fudud, nin, nin: gar, nin: jidh fudud, gar, qof
🧔🏼	gar, jidh fudud oo dhexe, nin, nin: gar, nin: jidh fudud oo dhexe, gar, qof
🧔🏽	gar, jidh nooc dhexe, nin, nin: gar, nin: jidh nooc dhexe, gar, qof
🧔🏾	gar, jidh nooc madaw oo dhexe, nin, nin: gar, nin: jidh nooc madaw oo dhexe, gar, qof
🧔🏿	gar, jidh madaw, nin, nin: gar, nin: jidh madaw, gar, qof
👱‍♂	nin, nin timo cad, nin: timo cad, timo, timo cad
👱🏻‍♂	jidh fudud, nin, nin timo cad, nin: jidh fudud, timo cad, nin: timo cad, timo, timo cad
👱🏼‍♂	jidh fudud oo dhexe, nin, nin timo cad, nin: jidh fudud oo dhexe, timo cad, nin: timo cad, timo, timo cad
👱🏽‍♂	jidh nooc dhexe, nin, nin timo cad, nin: jidh nooc dhexe, timo cad, nin: timo cad, timo, timo cad
👱🏾‍♂	jidh nooc madaw oo dhexe, nin, nin timo cad, nin: jidh nooc madaw oo dhexe, timo cad, nin: timo cad, timo, timo cad
👱🏿‍♂	jidh madaw, nin, nin timo cad, nin: jidh madaw, timo cad, nin: timo cad, timo, timo cad
👨‍🦰	nin, ninka, ninka: timo cas, qof weyn, timo cas
👨🏻‍🦰	jidh fudud, nin, ninka, ninka: jidh fudud, timo cas, qof weyn, timo cas
👨🏼‍🦰	jidh fudud oo dhexe, nin, ninka, ninka: jidh fudud oo dhexe, timo cas, qof weyn, timo cas
👨🏽‍🦰	jidh nooc dhexe, nin, ninka, ninka: jidh nooc dhexe, timo cas, qof weyn, timo cas
👨🏾‍🦰	jidh nooc madaw oo dhexe, nin, ninka, ninka: jidh nooc madaw oo dhexe, timo cas, qof weyn, timo cas
👨🏿‍🦰	jidh madaw, nin, ninka, ninka: jidh madaw, timo cas, qof weyn, timo cas
👨‍🦱	nin, ninka, ninka: timo walaaqan, qof weyn, timo walaaqan
👨🏻‍🦱	jidh fudud, nin, ninka, ninka: jidh fudud, timo walaaqan, qof weyn, timo walaaqan
👨🏼‍🦱	jidh fudud oo dhexe, nin, ninka, ninka: jidh fudud oo dhexe, timo walaaqan, qof weyn, timo walaaqan
👨🏽‍🦱	jidh nooc dhexe, nin, ninka, ninka: jidh nooc dhexe, timo walaaqan, qof weyn, timo walaaqan
👨🏾‍🦱	jidh nooc madaw oo dhexe, nin, ninka, ninka: jidh nooc madaw oo dhexe, timo walaaqan, qof weyn, timo walaaqan
👨🏿‍🦱	jidh madaw, nin, ninka, ninka: jidh madaw, timo walaaqan, qof weyn, timo walaaqan
👨‍🦳	caddaan, nin, ninka, ninka: caddaan, qof weyn
👨🏻‍🦳	caddaan, jidh fudud, nin, ninka, ninka: jidh fudud, caddaan, qof weyn
👨🏼‍🦳	caddaan, jidh fudud oo dhexe, nin, ninka, ninka: jidh fudud oo dhexe, caddaan, qof weyn
👨🏽‍🦳	caddaan, jidh nooc dhexe, nin, ninka, ninka: jidh nooc dhexe, caddaan, qof weyn
👨🏾‍🦳	caddaan, jidh nooc madaw oo dhexe, nin, ninka, ninka: jidh nooc madaw oo dhexe, caddaan, qof weyn
👨🏿‍🦳	caddaan, jidh madaw, nin, ninka, ninka: jidh madaw, caddaan, qof weyn
👨‍🦲	bidaar, nin, ninka, ninka: bidaar, qof weyn
👨🏻‍🦲	bidaar, jidh fudud, nin, ninka, ninka: jidh fudud, bidaar, qof weyn
👨🏼‍🦲	bidaar, jidh fudud oo dhexe, nin, ninka, ninka: jidh fudud oo dhexe, bidaar, qof weyn
👨🏽‍🦲	bidaar, jidh nooc dhexe, nin, ninka, ninka: jidh nooc dhexe, bidaar, qof weyn
👨🏾‍🦲	bidaar, jidh nooc madaw oo dhexe, nin, ninka, ninka: jidh nooc madaw oo dhexe, bidaar, qof weyn
👨🏿‍🦲	bidaar, jidh madaw, nin, ninka, ninka: jidh madaw, bidaar, qof weyn
👩	naag, qof weyn
👩🏻	jidh fudud, naag, naag: jidh fudud, qof weyn
👩🏼	jidh fudud oo dhexe, naag, naag: jidh fudud oo dhexe, qof weyn
👩🏽	jidh nooc dhexe, naag, naag: jidh nooc dhexe, qof weyn
👩🏾	jidh nooc madaw oo dhexe, naag, naag: jidh nooc madaw oo dhexe, qof weyn
👩🏿	jidh madaw, naag, naag: jidh madaw, qof weyn
👱‍♀	naag, naag timo cad, naag: timo cad, timo, timo cad
👱🏻‍♀	jidh fudud, naag, naag timo cad, naag: jidh fudud, timo cad, naag: timo cad, timo, timo cad
👱🏼‍♀	jidh fudud oo dhexe, naag, naag timo cad, naag: jidh fudud oo dhexe, timo cad, naag: timo cad, timo, timo cad
👱🏽‍♀	jidh nooc dhexe, naag, naag timo cad, naag: jidh nooc dhexe, timo cad, naag: timo cad, timo, timo cad
👱🏾‍♀	jidh nooc madaw oo dhexe, naag, naag timo cad, naag: jidh nooc madaw oo dhexe, timo cad, naag: timo cad, timo, timo cad
👱🏿‍♀	jidh madaw, naag, naag timo cad, naag: jidh madaw, timo cad, naag: timo cad, timo, timo cad
👩‍🦰	naag, naag: timo cas, qof weyn, timo cas
👩🏻‍🦰	jidh fudud, naag, naag: jidh fudud, timo cas, qof weyn, timo cas
👩🏼‍🦰	jidh fudud oo dhexe, naag, naag: jidh fudud oo dhexe, timo cas, qof weyn, timo cas
👩🏽‍🦰	jidh nooc dhexe, naag, naag: jidh nooc dhexe, timo cas, qof weyn, timo cas
👩🏾‍🦰	jidh nooc madaw oo dhexe, naag, naag: jidh nooc madaw oo dhexe, timo cas, qof weyn, timo cas
👩🏿‍🦰	jidh madaw, naag, naag: jidh madaw, timo cas, qof weyn, timo cas
👩‍🦱	naag, naag: timo walaaqan, qof weyn, timo walaaqan
👩🏻‍🦱	jidh fudud, naag, naag: jidh fudud, timo walaaqan, qof weyn, timo walaaqan
👩🏼‍🦱	jidh fudud oo dhexe, naag, naag: jidh fudud oo dhexe, timo walaaqan, qof weyn, timo walaaqan
👩🏽‍🦱	jidh nooc dhexe, naag, naag: jidh nooc dhexe, timo walaaqan, qof weyn, timo walaaqan
👩🏾‍🦱	jidh nooc madaw oo dhexe, naag, naag: jidh nooc madaw oo dhexe, timo walaaqan, qof weyn, timo walaaqan
👩🏿‍🦱	jidh madaw, naag, naag: jidh madaw, timo walaaqan, qof weyn, timo walaaqan
👩‍🦳	caddaan, naag, naag: caddaan, qof weyn
👩🏻‍🦳	caddaan, jidh fudud, naag, naag: jidh fudud, caddaan, qof weyn
👩🏼‍🦳	caddaan, jidh fudud oo dhexe, naag, naag: jidh fudud oo dhexe, caddaan, qof weyn
👩🏽‍🦳	caddaan, jidh nooc dhexe, naag, naag: jidh nooc dhexe, caddaan, qof weyn
👩🏾‍🦳	caddaan, jidh nooc madaw oo dhexe, naag, naag: jidh nooc madaw oo dhexe, caddaan, qof weyn
👩🏿‍🦳	caddaan, jidh madaw, naag, naag: jidh madaw, caddaan, qof weyn
👩‍🦲	bidaar, naag, naag: bidaar, qof weyn
👩🏻‍🦲	bidaar, jidh fudud, naag, naag: jidh fudud, bidaar, qof weyn
👩🏼‍🦲	bidaar, jidh fudud oo dhexe, naag, naag: jidh fudud oo dhexe, bidaar, qof weyn
👩🏽‍🦲	bidaar, jidh nooc dhexe, naag, naag: jidh nooc dhexe, bidaar, qof weyn
👩🏾‍🦲	bidaar, jidh nooc madaw oo dhexe, naag, naag: jidh nooc madaw oo dhexe, bidaar, qof weyn
👩🏿‍🦲	bidaar, jidh madaw, naag, naag: jidh madaw, bidaar, qof weyn
🧓	dhexdehexaadnimada jinsiga, jansiga aan la sheegin, qof weyn, weyn
🧓🏻	dhexdehexaadnimada jinsiga, jansiga aan la sheegin, jidh fudud, qof weyn, qof weyn: jidh fudud, weyn
🧓🏼	dhexdehexaadnimada jinsiga, jansiga aan la sheegin, jidh fudud oo dhexe, qof weyn, qof weyn: jidh fudud oo dhexe, weyn
🧓🏽	dhexdehexaadnimada jinsiga, jansiga aan la sheegin, jidh nooc dhexe, qof weyn, qof weyn: jidh nooc dhexe, weyn
🧓🏾	dhexdehexaadnimada jinsiga, jansiga aan la sheegin, jidh nooc madaw oo dhexe, qof weyn, qof weyn: jidh nooc madaw oo dhexe, weyn
🧓🏿	dhexdehexaadnimada jinsiga, jansiga aan la sheegin, jidh madaw, qof weyn, qof weyn: jidh madaw, weyn
👴	nin, nin da’ weyn, qof weyn, weyn
👴🏻	jidh fudud, nin, nin da’ weyn, nin da’ weyn: jidh fudud, qof weyn, weyn
👴🏼	jidh fudud oo dhexe, nin, nin da’ weyn, nin da’ weyn: jidh fudud oo dhexe, qof weyn, weyn
👴🏽	jidh nooc dhexe, nin, nin da’ weyn, nin da’ weyn: jidh nooc dhexe, qof weyn, weyn
👴🏾	jidh nooc madaw oo dhexe, nin, nin da’ weyn, nin da’ weyn: jidh nooc madaw oo dhexe, qof weyn, weyn
