😀	muka, muka tersengih, sengih
🚣🏿	bot, kenderaan, orang mendayung sampan, orang mendayung sampan: ton kulit gelap, ton kulit gelap
🚣‍♂	dayung sampan, lelaki, lelaki mendayung sampan, sampan
🚣🏻‍♂	dayung sampan, lelaki, lelaki mendayung sampan, lelaki mendayung sampan: ton kulit cerah, sampan, ton kulit cerah
🚣🏼‍♂	dayung sampan, lelaki, lelaki mendayung sampan, lelaki mendayung sampan: ton kulit sederhana cerah, sampan, ton kulit sederhana cerah
🚣🏽‍♂	dayung sampan, lelaki, lelaki mendayung sampan, lelaki mendayung sampan: ton kulit sederhana, sampan, ton kulit sederhana
🚣🏾‍♂	dayung sampan, lelaki, lelaki mendayung sampan, lelaki mendayung sampan: ton kulit sederhana gelap, sampan, ton kulit sederhana gelap
🚣🏿‍♂	dayung sampan, lelaki, lelaki mendayung sampan, lelaki mendayung sampan: ton kulit gelap, sampan, ton kulit gelap
🚣‍♀	dayung sampan, perempuan, sampan, wanita, wanita mendayung sampan
🚣🏻‍♀	dayung sampan, perempuan, sampan, ton kulit cerah, wanita, wanita mendayung sampan, wanita mendayung sampan: ton kulit cerah
🚣🏼‍♀	dayung sampan, perempuan, sampan, ton kulit sederhana cerah, wanita, wanita mendayung sampan, wanita mendayung sampan: ton kulit sederhana cerah
🚣🏽‍♀	dayung sampan, perempuan, sampan, ton kulit sederhana, wanita, wanita mendayung sampan, wanita mendayung sampan: ton kulit sederhana
🚣🏾‍♀	dayung sampan, perempuan, sampan, ton kulit sederhana gelap, wanita, wanita mendayung sampan, wanita mendayung sampan: ton kulit sederhana gelap
🚣🏿‍♀	dayung sampan, perempuan, sampan, ton kulit gelap, wanita, wanita mendayung sampan, wanita mendayung sampan: ton kulit gelap
🏊️	berenang, perenang
🏊🏻	berenang, perenang, perenang: ton kulit cerah, ton kulit cerah
🏊🏼	berenang, perenang, perenang: ton kulit sederhana cerah, ton kulit sederhana cerah
🏊🏽	berenang, perenang, perenang: ton kulit sederhana, ton kulit sederhana
🏊🏾	berenang, perenang, perenang: ton kulit sederhana gelap, ton kulit sederhana gelap
🏊🏿	berenang, perenang, perenang: ton kulit gelap, ton kulit gelap
🏊‍♂	berenang, lelaki, lelaki berenang
🏊🏻‍♂	berenang, lelaki, lelaki berenang: ton kulit cerah, ton kulit cerah
🏊🏼‍♂	berenang, lelaki, lelaki berenang: ton kulit sederhana cerah, ton kulit sederhana cerah
🏊🏽‍♂	berenang, lelaki, lelaki berenang: ton kulit sederhana, ton kulit sederhana
🏊🏾‍♂	berenang, lelaki, lelaki berenang: ton kulit sederhana gelap, ton kulit sederhana gelap
🏊🏿‍♂	berenang, lelaki, lelaki berenang: ton kulit gelap, ton kulit gelap
🏊‍♀	berenang, perempuan, wanita, wanita berenang
🏊🏻‍♀	berenang, perempuan, ton kulit cerah, wanita, wanita berenang: ton kulit cerah
🏊🏼‍♀	berenang, perempuan, ton kulit sederhana cerah, wanita, wanita berenang: ton kulit sederhana cerah
🏊🏽‍♀	berenang, perempuan, ton kulit sederhana, wanita, wanita berenang: ton kulit sederhana
🏊🏾‍♀	berenang, perempuan, ton kulit sederhana gelap, wanita, wanita berenang: ton kulit sederhana gelap
🏊🏿‍♀	berenang, perempuan, ton kulit gelap, wanita, wanita berenang: ton kulit gelap
⛹️	bola, orang melantun bola
⛹🏻	bola, orang melantun bola, orang melantun bola: ton kulit cerah, ton kulit cerah
⛹🏼	bola, orang melantun bola, orang melantun bola: ton kulit sederhana cerah, ton kulit sederhana cerah
⛹🏽	bola, orang melantun bola, orang melantun bola: ton kulit sederhana, ton kulit sederhana
⛹🏾	bola, orang melantun bola, orang melantun bola: ton kulit sederhana gelap, ton kulit sederhana gelap
⛹🏿	bola, orang melantun bola, orang melantun bola: ton kulit gelap, ton kulit gelap
⛹‍♂	bola, lelaki, lelaki melantun bola
⛹🏻‍♂	bola, lelaki, lelaki melantun bola, lelaki melantun bola: ton kulit cerah, ton kulit cerah
⛹🏼‍♂	bola, lelaki, lelaki melantun bola, lelaki melantun bola: ton kulit sederhana cerah, ton kulit sederhana cerah
⛹🏽‍♂	bola, lelaki, lelaki melantun bola, lelaki melantun bola: ton kulit sederhana, ton kulit sederhana
⛹🏾‍♂	bola, lelaki, lelaki melantun bola, lelaki melantun bola: ton kulit sederhana gelap, ton kulit sederhana gelap
⛹🏿‍♂	bola, lelaki, lelaki melantun bola, lelaki melantun bola: ton kulit gelap, ton kulit gelap
⛹‍♀	bola, perempuan, wanita, wanita melantun bola
⛹🏻‍♀	bola, perempuan, ton kulit cerah, wanita, wanita melantun bola, wanita melantun bola: ton kulit cerah
⛹🏼‍♀	bola, perempuan, ton kulit sederhana cerah, wanita, wanita melantun bola, wanita melantun bola: ton kulit sederhana cerah
⛹🏽‍♀	bola, perempuan, ton kulit sederhana, wanita, wanita melantun bola, wanita melantun bola: ton kulit sederhana
⛹🏾‍♀	bola, perempuan, ton kulit sederhana gelap, wanita, wanita melantun bola, wanita melantun bola: ton kulit sederhana gelap
⛹🏿‍♀	bola, perempuan, ton kulit gelap, wanita, wanita melantun bola, wanita melantun bola: ton kulit gelap
🏋️	ahli angkat berat, berat, pengangkat
🏋🏻	ahli angkat berat, ahli angkat berat: ton kulit cerah, berat, pengangkat, ton kulit cerah
🏋🏼	ahli angkat berat, ahli angkat berat: ton kulit sederhana cerah, berat, pengangkat, ton kulit sederhana cerah
🏋🏽	ahli angkat berat, ahli angkat berat: ton kulit sederhana, berat, pengangkat, ton kulit sederhana
🏋🏾	ahli angkat berat, ahli angkat berat: ton kulit sederhana gelap, berat, pengangkat, ton kulit sederhana gelap
🏋🏿	ahli angkat berat, ahli angkat berat: ton kulit gelap, berat, pengangkat, ton kulit gelap
🏋‍♂	lelaki, lelaki mengangkat berat, pengangkat berat
🏋🏻‍♂	lelaki, lelaki mengangkat berat, lelaki mengangkat berat: ton kulit cerah, pengangkat berat, ton kulit cerah
🏋🏼‍♂	lelaki, lelaki mengangkat berat, lelaki mengangkat berat: ton kulit sederhana cerah, pengangkat berat, ton kulit sederhana cerah
🏋🏽‍♂	lelaki, lelaki mengangkat berat, lelaki mengangkat berat: ton kulit sederhana, pengangkat berat, ton kulit sederhana
🏋🏾‍♂	lelaki, lelaki mengangkat berat, lelaki mengangkat berat: ton kulit sederhana gelap, pengangkat berat, ton kulit sederhana gelap
🏋🏿‍♂	lelaki, lelaki mengangkat berat, lelaki mengangkat berat: ton kulit gelap, pengangkat berat, ton kulit gelap
🏋‍♀	pengangkat berat, perempuan, wanita, wanita mengangkat berat
🏋🏻‍♀	pengangkat berat, perempuan, ton kulit cerah, wanita, wanita mengangkat berat, wanita mengangkat berat: ton kulit cerah
🏋🏼‍♀	pengangkat berat, perempuan, ton kulit sederhana cerah, wanita, wanita mengangkat berat, wanita mengangkat berat: ton kulit sederhana cerah
🏋🏽‍♀	pengangkat berat, perempuan, ton kulit sederhana, wanita, wanita mengangkat berat, wanita mengangkat berat: ton kulit sederhana
🏋🏾‍♀	pengangkat berat, perempuan, ton kulit sederhana gelap, wanita, wanita mengangkat berat, wanita mengangkat berat: ton kulit sederhana gelap
🏋🏿‍♀	pengangkat berat, perempuan, ton kulit gelap, wanita, wanita mengangkat berat, wanita mengangkat berat: ton kulit gelap
🚴	basikal, menunggang basikal, sepeda
🚴🏻	basikal, menunggang basikal, menunggang basikal: ton kulit cerah, sepeda, ton kulit cerah
🚴🏼	basikal, menunggang basikal, menunggang basikal: ton kulit sederhana cerah, sepeda, ton kulit sederhana cerah
🚴🏽	basikal, menunggang basikal, menunggang basikal: ton kulit sederhana, sepeda, ton kulit sederhana
🚴🏾	basikal, menunggang basikal, menunggang basikal: ton kulit sederhana gelap, sepeda, ton kulit sederhana gelap
🚴🏿	basikal, menunggang basikal, menunggang basikal: ton kulit gelap, sepeda, ton kulit gelap
🚴‍♂	basikal, berbasikal, lelaki, lelaki berbasikal, penunggang basikal
🚴🏻‍♂	basikal, berbasikal, lelaki, lelaki berbasikal: ton kulit cerah, penunggang basikal, ton kulit cerah
🚴🏼‍♂	basikal, berbasikal, lelaki, lelaki berbasikal: ton kulit sederhana cerah, penunggang basikal, ton kulit sederhana cerah
🚴🏽‍♂	basikal, berbasikal, lelaki, lelaki berbasikal: ton kulit sederhana, penunggang basikal, ton kulit sederhana
🚴🏾‍♂	basikal, berbasikal, lelaki, lelaki berbasikal: ton kulit sederhana gelap, penunggang basikal, ton kulit sederhana gelap
🚴🏿‍♂	basikal, berbasikal, lelaki, lelaki berbasikal: ton kulit gelap, penunggang basikal, ton kulit gelap
🚴‍♀	basikal, berbasikal, penunggang basikal, perempuan, wanita, wanita berbasikal
🚴🏻‍♀	basikal, berbasikal, penunggang basikal, perempuan, ton kulit cerah, wanita, wanita berbasikal: ton kulit cerah
🚴🏼‍♀	basikal, berbasikal, penunggang basikal, perempuan, ton kulit sederhana cerah, wanita, wanita berbasikal: ton kulit sederhana cerah
🚴🏽‍♀	basikal, berbasikal, penunggang basikal, perempuan, ton kulit sederhana, wanita, wanita berbasikal: ton kulit sederhana
🚴🏾‍♀	basikal, berbasikal, penunggang basikal, perempuan, ton kulit sederhana gelap, wanita, wanita berbasikal: ton kulit sederhana gelap
🚴🏿‍♀	basikal, berbasikal, penunggang basikal, perempuan, ton kulit gelap, wanita, wanita berbasikal: ton kulit gelap
🚵	basikal, bukit, penunggang, penunggang basikal bukit, sepeda
🚵🏻	basikal, bukit, penunggang, penunggang basikal bukit: ton kulit cerah, sepeda, ton kulit cerah
🚵🏼	basikal, bukit, penunggang, penunggang basikal bukit: ton kulit sederhana cerah, sepeda, ton kulit sederhana cerah
🚵🏽	basikal, bukit, penunggang, penunggang basikal bukit: ton kulit sederhana, sepeda, ton kulit sederhana
🚵🏾	basikal, bukit, penunggang, penunggang basikal bukit: ton kulit sederhana gelap, sepeda, ton kulit sederhana gelap
🚵🏿	basikal, bukit, penunggang, penunggang basikal bukit: ton kulit gelap, sepeda, ton kulit gelap
🚵‍♂	basikal, berbasikal, gunung, lelaki, lelaki berbasikal gunung, penunggang basikal
🚵🏻‍♂	basikal, berbasikal, gunung, lelaki, lelaki berbasikal gunung: ton kulit cerah, penunggang basikal, ton kulit cerah
🚵🏼‍♂	basikal, berbasikal, gunung, lelaki, lelaki berbasikal gunung: ton kulit sederhana cerah, penunggang basikal, ton kulit sederhana cerah
🚵🏽‍♂	basikal, berbasikal, gunung, lelaki, lelaki berbasikal gunung: ton kulit sederhana, penunggang basikal, ton kulit sederhana
🚵🏾‍♂	basikal, berbasikal, gunung, lelaki, lelaki berbasikal gunung: ton kulit sederhana gelap, penunggang basikal, ton kulit sederhana gelap
🚵🏿‍♂	basikal, berbasikal, gunung, lelaki, lelaki berbasikal gunung: ton kulit gelap, penunggang basikal, ton kulit gelap
🚵‍♀	basikal, berbasikal, gunung, penunggang basikal, perempuan, wanita, wanita berbasikal gunung
🚵🏻‍♀	basikal, berbasikal, gunung, penunggang basikal, perempuan, ton kulit cerah, wanita, wanita berbasikal gunung: ton kulit cerah
🚵🏼‍♀	basikal, berbasikal, gunung, penunggang basikal, perempuan, ton kulit sederhana cerah, wanita, wanita berbasikal gunung: ton kulit sederhana cerah
🚵🏽‍♀	basikal, berbasikal, gunung, penunggang basikal, perempuan, ton kulit sederhana, wanita, wanita berbasikal gunung: ton kulit sederhana
🚵🏾‍♀	basikal, berbasikal, gunung, penunggang basikal, perempuan, ton kulit sederhana gelap, wanita, wanita berbasikal gunung: ton kulit sederhana gelap
🚵🏿‍♀	basikal, berbasikal, gunung, penunggang basikal, perempuan, ton kulit gelap, wanita, wanita berbasikal gunung: ton kulit gelap
🤸	gimnastik, orang, putar roda, sukan
🤸🏻	gimnastik, orang, putar roda, putar roda: ton kulit cerah, sukan, ton kulit cerah
🤸🏼	gimnastik, orang, putar roda, putar roda: ton kulit sederhana cerah, sukan, ton kulit sederhana cerah
🤸🏽	gimnastik, orang, putar roda, putar roda: ton kulit sederhana, sukan, ton kulit sederhana
🤸🏾	gimnastik, orang, putar roda, putar roda: ton kulit sederhana gelap, sukan, ton kulit sederhana gelap
🤸🏿	gimnastik, orang, putar roda, putar roda: ton kulit gelap, sukan, ton kulit gelap
🤸‍♂	gimnastik, lelaki, lelaki buat putar roda, lelaki membuat putar roda, putar roda
🤸🏻‍♂	gimnastik, lelaki, lelaki buat putar roda, lelaki membuat putar roda, lelaki membuat putar roda: ton kulit cerah, putar roda, ton kulit cerah
🤸🏼‍♂	gimnastik, lelaki, lelaki buat putar roda, lelaki membuat putar roda, lelaki membuat putar roda: ton kulit sederhana cerah, putar roda, ton kulit sederhana cerah
🤸🏽‍♂	gimnastik, lelaki, lelaki buat putar roda, lelaki membuat putar roda, lelaki membuat putar roda: ton kulit sederhana, putar roda, ton kulit sederhana
🤸🏾‍♂	gimnastik, lelaki, lelaki buat putar roda, lelaki membuat putar roda, lelaki membuat putar roda: ton kulit sederhana gelap, putar roda, ton kulit sederhana gelap
🤸🏿‍♂	gimnastik, lelaki, lelaki buat putar roda, lelaki membuat putar roda, lelaki membuat putar roda: ton kulit gelap, putar roda, ton kulit gelap
🤸‍♀	gimnastik, putar roda, wanita, wanita buat putar roda, wanita membuat putar roda
🤸🏻‍♀	gimnastik, putar roda, ton kulit cerah, wanita, wanita buat putar roda, wanita membuat putar roda, wanita membuat putar roda: ton kulit cerah
🤸🏼‍♀	gimnastik, putar roda, ton kulit sederhana cerah, wanita, wanita buat putar roda, wanita membuat putar roda, wanita membuat putar roda: ton kulit sederhana cerah
🤸🏽‍♀	gimnastik, putar roda, ton kulit sederhana, wanita, wanita buat putar roda, wanita membuat putar roda, wanita membuat putar roda: ton kulit sederhana
🤸🏾‍♀	gimnastik, putar roda, ton kulit sederhana gelap, wanita, wanita buat putar roda, wanita membuat putar roda, wanita membuat putar roda: ton kulit sederhana gelap
🤸🏿‍♀	gimnastik, putar roda, ton kulit gelap, wanita, wanita buat putar roda, wanita membuat putar roda, wanita membuat putar roda: ton kulit gelap
🤼	ahli gusti, bergusti, orang, sukan
🤼‍♂	gusti, lelaki, lelaki bergusti, orang, sukan
🤼‍♀	gusti, wanita, wanita bergusti
🤽	air, orang, polo, polo air, sukan
🤽🏻	air, orang, polo, polo air: ton kulit cerah, sukan, ton kulit cerah
🤽🏼	air, orang, polo, polo air: ton kulit sederhana cerah, sukan, ton kulit sederhana cerah
🤽🏽	air, orang, polo, polo air: ton kulit sederhana, sukan, ton kulit sederhana
🤽🏾	air, orang, polo, polo air: ton kulit sederhana gelap, sukan, ton kulit sederhana gelap
🤽🏿	air, orang, polo, polo air: ton kulit gelap, sukan, ton kulit gelap
🤽‍♂	lelaki, lelaki bermain polo air, polo air, sukan
🤽🏻‍♂	lelaki, lelaki bermain polo air, lelaki bermain polo air: ton kulit cerah, polo air, sukan, ton kulit cerah
🤽🏼‍♂	lelaki, lelaki bermain polo air, lelaki bermain polo air: ton kulit sederhana cerah, polo air, sukan, ton kulit sederhana cerah
🤽🏽‍♂	lelaki, lelaki bermain polo air, lelaki bermain polo air: ton kulit sederhana, polo air, sukan, ton kulit sederhana
🤽🏾‍♂	lelaki, lelaki bermain polo air, lelaki bermain polo air: ton kulit sederhana gelap, polo air, sukan, ton kulit sederhana gelap
🤽🏿‍♂	lelaki, lelaki bermain polo air, lelaki bermain polo air: ton kulit gelap, polo air, sukan, ton kulit gelap
🤽‍♀	perempuan, polo air, sukan, wanita, wanita bermain polo air
🤽🏻‍♀	perempuan, polo air, sukan, ton kulit cerah, wanita, wanita bermain polo air, wanita bermain polo air: ton kulit cerah
🤽🏼‍♀	perempuan, polo air, sukan, ton kulit sederhana cerah, wanita, wanita bermain polo air, wanita bermain polo air: ton kulit sederhana cerah
🤽🏽‍♀	perempuan, polo air, sukan, ton kulit sederhana, wanita, wanita bermain polo air, wanita bermain polo air: ton kulit sederhana
🤽🏾‍♀	perempuan, polo air, sukan, ton kulit sederhana gelap, wanita, wanita bermain polo air, wanita bermain polo air: ton kulit sederhana gelap
🤽🏿‍♀	perempuan, polo air, sukan, ton kulit gelap, wanita, wanita bermain polo air, wanita bermain polo air: ton kulit gelap
🤾	bola, main bola baling, orang, orang main bola baling, sukan
🤾🏻	bola, main bola baling, main bola baling: ton kulit cerah, orang, orang main bola baling, sukan, ton kulit cerah
🤾🏼	bola, main bola baling, main bola baling: ton kulit sederhana cerah, orang, orang main bola baling, sukan, ton kulit sederhana cerah
🤾🏽	bola, main bola baling, main bola baling: ton kulit sederhana, orang, orang main bola baling, sukan, ton kulit sederhana
🤾🏾	bola, main bola baling, main bola baling: ton kulit sederhana gelap, orang, orang main bola baling, sukan, ton kulit sederhana gelap
🤾🏿	bola, main bola baling, main bola baling: ton kulit gelap, orang, orang main bola baling, sukan, ton kulit gelap
🤾‍♂	bola baling, lelaki, lelaki bermain bola baling, sukan
🤾🏻‍♂	bola baling, lelaki, lelaki bermain bola baling, lelaki bermain bola baling: ton kulit cerah, sukan, ton kulit cerah
🤾🏼‍♂	bola baling, lelaki, lelaki bermain bola baling, lelaki bermain bola baling: ton kulit sederhana cerah, sukan, ton kulit sederhana cerah
🤾🏽‍♂	bola baling, lelaki, lelaki bermain bola baling, lelaki bermain bola baling: ton kulit sederhana, sukan, ton kulit sederhana
🤾🏾‍♂	bola baling, lelaki, lelaki bermain bola baling, lelaki bermain bola baling: ton kulit sederhana gelap, sukan, ton kulit sederhana gelap
🤾🏿‍♂	bola baling, lelaki, lelaki bermain bola baling, lelaki bermain bola baling: ton kulit gelap, sukan, ton kulit gelap
🤾‍♀	bola baling, perempuan, sukan, wanita, wanita bermain bola baling
🤾🏻‍♀	bola baling, perempuan, sukan, ton kulit cerah, wanita, wanita bermain bola baling, wanita bermain bola baling: ton kulit cerah
🤾🏼‍♀	bola baling, perempuan, sukan, ton kulit sederhana cerah, wanita, wanita bermain bola baling, wanita bermain bola baling: ton kulit sederhana cerah
🤾🏽‍♀	bola baling, perempuan, sukan, ton kulit sederhana, wanita, wanita bermain bola baling, wanita bermain bola baling: ton kulit sederhana
🤾🏾‍♀	bola baling, perempuan, sukan, ton kulit sederhana gelap, wanita, wanita bermain bola baling, wanita bermain bola baling: ton kulit sederhana gelap
🤾🏿‍♀	bola baling, perempuan, sukan, ton kulit gelap, wanita, wanita bermain bola baling, wanita bermain bola baling: ton kulit gelap
