😀	tirjaygan yuz, tirjayish, yuz
👍🏿	+1, 6-teri turi, bosh barmoq, qo‘l, tana, tepaga, tepaga qaragan bosh barmoq, tepaga qaragan bosh barmoq: 6-teri turi
👎️	-1, bosh barmoq, pastga, pastga qaragan bosh barmoq, qo‘l, tana
👎🏻	-1, 1–2-teri turi, bosh barmoq, pastga, pastga qaragan bosh barmoq, pastga qaragan bosh barmoq: 1–2-teri turi, qo‘l, tana
👎🏼	-1, 3-teri turi, bosh barmoq, pastga, pastga qaragan bosh barmoq, pastga qaragan bosh barmoq: 3-teri turi, qo‘l, tana
👎🏽	-1, 4-teri turi, bosh barmoq, pastga, pastga qaragan bosh barmoq, pastga qaragan bosh barmoq: 4-teri turi, qo‘l, tana
👎🏾	-1, 5-teri turi, bosh barmoq, pastga, pastga qaragan bosh barmoq, pastga qaragan bosh barmoq: 5-teri turi, qo‘l, tana
👎🏿	-1, 6-teri turi, bosh barmoq, pastga, pastga qaragan bosh barmoq, pastga qaragan bosh barmoq: 6-teri turi, qo‘l, tana
✊	ko‘tarilgan musht, musht, qo‘l, tana, tugilgan
✊🏻	1–2-teri turi, ko‘tarilgan musht, ko‘tarilgan musht: 1–2-teri turi, musht, qo‘l, tana, tugilgan
✊🏼	3-teri turi, ko‘tarilgan musht, ko‘tarilgan musht: 3-teri turi, musht, qo‘l, tana, tugilgan
✊🏽	4-teri turi, ko‘tarilgan musht, ko‘tarilgan musht: 4-teri turi, musht, qo‘l, tana, tugilgan
✊🏾	5-teri turi, ko‘tarilgan musht, ko‘tarilgan musht: 5-teri turi, musht, qo‘l, tana, tugilgan
✊🏿	6-teri turi, ko‘tarilgan musht, ko‘tarilgan musht: 6-teri turi, musht, qo‘l, tana, tugilgan
👊	musht, tana, tugilgan, yaqinlashayotgan musht
👊🏻	1–2-teri turi, musht, tana, tugilgan, yaqinlashayotgan musht, yaqinlashayotgan musht: 1–2-teri turi
👊🏼	3-teri turi, musht, tana, tugilgan, yaqinlashayotgan musht, yaqinlashayotgan musht: 3-teri turi
👊🏽	4-teri turi, musht, tana, tugilgan, yaqinlashayotgan musht, yaqinlashayotgan musht: 4-teri turi
👊🏾	5-teri turi, musht, tana, tugilgan, yaqinlashayotgan musht, yaqinlashayotgan musht: 5-teri turi
👊🏿	6-teri turi, musht, tana, tugilgan, yaqinlashayotgan musht, yaqinlashayotgan musht: 6-teri turi
🤛	chap, chapga qaragan musht, musht
🤛🏻	1–2-teri turi, chap, chapga qaragan musht, chapga qaragan musht: 1–2-teri turi, musht
🤛🏼	3-teri turi, chap, chapga qaragan musht, chapga qaragan musht: 3-teri turi, musht
🤛🏽	4-teri turi, chap, chapga qaragan musht, chapga qaragan musht: 4-teri turi, musht
🤛🏾	5-teri turi, chap, chapga qaragan musht, chapga qaragan musht: 5-teri turi, musht
🤛🏿	6-teri turi, chap, chapga qaragan musht, chapga qaragan musht: 6-teri turi, musht
🤜	musht, o‘ng, o‘ngga qaragan musht
🤜🏻	1–2-teri turi, musht, o‘ng, o‘ngga qaragan musht, o‘ngga qaragan musht: 1–2-teri turi
🤜🏼	3-teri turi, musht, o‘ng, o‘ngga qaragan musht, o‘ngga qaragan musht: 3-teri turi
🤜🏽	4-teri turi, musht, o‘ng, o‘ngga qaragan musht, o‘ngga qaragan musht: 4-teri turi
🤜🏾	5-teri turi, musht, o‘ng, o‘ngga qaragan musht, o‘ngga qaragan musht: 5-teri turi
🤜🏿	6-teri turi, musht, o‘ng, o‘ngga qaragan musht, o‘ngga qaragan musht: 6-teri turi
👏	chapak, qo‘l, tana
👏🏻	1–2-teri turi, chapak, chapak: 1–2-teri turi, qo‘l, tana
👏🏼	3-teri turi, chapak, chapak: 3-teri turi, qo‘l, tana
👏🏽	4-teri turi, chapak, chapak: 4-teri turi, qo‘l, tana
👏🏾	5-teri turi, chapak, chapak: 5-teri turi, qo‘l, tana
👏🏿	6-teri turi, chapak, chapak: 6-teri turi, qo‘l, tana
🙌	imo-ishora, ko‘tarilgan, nishonlash, qo‘l, qo‘llarini ko‘targan odam, tan, urra
🙌🏻	1–2-teri turi, imo-ishora, ko‘tarilgan, nishonlash, qo‘l, qo‘llarini ko‘targan odam, qo‘llarini ko‘targan odam: 1–2-teri turi, tan, urra
🙌🏼	3-teri turi, imo-ishora, ko‘tarilgan, nishonlash, qo‘l, qo‘llarini ko‘targan odam, qo‘llarini ko‘targan odam: 3-teri turi, tan, urra
🙌🏽	4-teri turi, imo-ishora, ko‘tarilgan, nishonlash, qo‘l, qo‘llarini ko‘targan odam, qo‘llarini ko‘targan odam: 4-teri turi, tan, urra
🙌🏾	5-teri turi, imo-ishora, ko‘tarilgan, nishonlash, qo‘l, qo‘llarini ko‘targan odam, qo‘llarini ko‘targan odam: 5-teri turi, tan, urra
🙌🏿	6-teri turi, imo-ishora, ko‘tarilgan, nishonlash, qo‘l, qo‘llarini ko‘targan odam, qo‘llarini ko‘targan odam: 6-teri turi, tan, urra
👐	ochiq, ochiq qo‘llar, qo‘l, tana
👐🏻	1–2-teri turi, ochiq, ochiq qo‘llar, ochiq qo‘llar: 1–2-teri turi, qo‘l, tana
👐🏼	3-teri turi, ochiq, ochiq qo‘llar, ochiq qo‘llar: 3-teri turi, qo‘l, tana
👐🏽	4-teri turi, ochiq, ochiq qo‘llar, ochiq qo‘llar: 4-teri turi, qo‘l, tana
👐🏾	5-teri turi, ochiq, ochiq qo‘llar, ochiq qo‘llar: 5-teri turi, qo‘l, tana
👐🏿	6-teri turi, ochiq, ochiq qo‘llar, ochiq qo‘llar: 6-teri turi, qo‘l, tana
🤲	kaftlar ochiq
🤲🏻	1–2-teri turi, kaftlar ochiq, kaftlar ochiq: 1–2-teri turi
🤲🏼	3-teri turi, kaftlar ochiq, kaftlar ochiq: 3-teri turi
🤲🏽	4-teri turi, kaftlar ochiq, kaftlar ochiq: 4-teri turi
🤲🏾	5-teri turi, kaftlar ochiq, kaftlar ochiq: 5-teri turi
🤲🏿	6-teri turi, kaftlar ochiq, kaftlar ochiq: 6-teri turi
🤝	kelishuv, qo‘l siqish, uchrashuv
🙏	ibodat, iltimos, imo-ishora, qovushgan, qovushtirilgan qo‘llar, qo‘l, rahmat, so‘rash, tana, ta’zim
🙏🏻	1–2-teri turi, ibodat, iltimos, imo-ishora, qovushgan, qovushtirilgan qo‘llar, qovushtirilgan qo‘llar: 1–2-teri turi, qo‘l, rahmat, so‘rash, tana, ta’zim
🙏🏼	3-teri turi, ibodat, iltimos, imo-ishora, qovushgan, qovushtirilgan qo‘llar, qovushtirilgan qo‘llar: 3-teri turi, qo‘l, rahmat, so‘rash, tana, ta’zim
🙏🏽	4-teri turi, ibodat, iltimos, imo-ishora, qovushgan, qovushtirilgan qo‘llar, qovushtirilgan qo‘llar: 4-teri turi, qo‘l, rahmat, so‘rash, tana, ta’zim
🙏🏾	5-teri turi, ibodat, iltimos, imo-ishora, qovushgan, qovushtirilgan qo‘llar, qovushtirilgan qo‘llar: 5-teri turi, qo‘l, rahmat, so‘rash, tana, ta’zim
🙏🏿	6-teri turi, ibodat, iltimos, imo-ishora, qovushgan, qovushtirilgan qo‘llar, qovushtirilgan qo‘llar: 6-teri turi, qo‘l, rahmat, so‘rash, tana, ta’zim
✍️	qo‘l, tana, yozayotgan qo‘l, yozish
✍🏻	1–2-teri turi, qo‘l, tana, yozayotgan qo‘l, yozayotgan qo‘l: 1–2-teri turi, yozish
✍🏼	3-teri turi, qo‘l, tana, yozayotgan qo‘l, yozayotgan qo‘l: 3-teri turi, yozish
✍🏽	4-teri turi, qo‘l, tana, yozayotgan qo‘l, yozayotgan qo‘l: 4-teri turi, yozish
✍🏾	5-teri turi, qo‘l, tana, yozayotgan qo‘l, yozayotgan qo‘l: 5-teri turi, yozish
✍🏿	6-teri turi, qo‘l, tana, yozayotgan qo‘l, yozayotgan qo‘l: 6-teri turi, yozish
💅	kosmetika, lok, manikyur, parvarish, tana, tirnoq, tirnoq uchun lok
💅🏻	1–2-teri turi, kosmetika, lok, manikyur, parvarish, tana, tirnoq, tirnoq uchun lok, tirnoq uchun lok: 1–2-teri turi
💅🏼	3-teri turi, kosmetika, lok, manikyur, parvarish, tana, tirnoq, tirnoq uchun lok, tirnoq uchun lok: 3-teri turi
💅🏽	4-teri turi, kosmetika, lok, manikyur, parvarish, tana, tirnoq, tirnoq uchun lok, tirnoq uchun lok: 4-teri turi
💅🏾	5-teri turi, kosmetika, lok, manikyur, parvarish, tana, tirnoq, tirnoq uchun lok, tirnoq uchun lok: 5-teri turi
💅🏿	6-teri turi, kosmetika, lok, manikyur, parvarish, tana, tirnoq, tirnoq uchun lok, tirnoq uchun lok: 6-teri turi
🤳	selfi, surat, telefon
🤳🏻	1–2-teri turi, selfi, selfi: 1–2-teri turi, surat, telefon
🤳🏼	3-teri turi, selfi, selfi: 3-teri turi, surat, telefon
🤳🏽	4-teri turi, selfi, selfi: 4-teri turi, surat, telefon
🤳🏾	5-teri turi, selfi, selfi: 5-teri turi, surat, telefon
🤳🏿	6-teri turi, selfi, selfi: 6-teri turi, surat, telefon
💪	baquvvat muskullar, latifa, moslashuvchan, muskul, muskullar, tana
💪🏻	1–2-teri turi, baquvvat muskullar, baquvvat muskullar: 1–2-teri turi, latifa, moslashuvchan, muskul, muskullar, tana
💪🏼	3-teri turi, baquvvat muskullar, baquvvat muskullar: 3-teri turi, latifa, moslashuvchan, muskul, muskullar, tana
💪🏽	4-teri turi, baquvvat muskullar, baquvvat muskullar: 4-teri turi, latifa, moslashuvchan, muskul, muskullar, tana
💪🏾	5-teri turi, baquvvat muskullar, baquvvat muskullar: 5-teri turi, latifa, moslashuvchan, muskul, muskullar, tana
💪🏿	6-teri turi, baquvvat muskullar, baquvvat muskullar: 6-teri turi, latifa, moslashuvchan, muskul, muskullar, tana
🦾	mexanik qoʻl, nogironlik, protez
🦿	mexanik oyoq, nogironlik, protez
🦵	oyoq, son, tepish
🦵🏻	1–2-teri turi, oyoq, oyoq: 1–2-teri turi, son, tepish
🦵🏼	3-teri turi, oyoq, oyoq: 3-teri turi, son, tepish
🦵🏽	4-teri turi, oyoq, oyoq: 4-teri turi, son, tepish
🦵🏾	5-teri turi, oyoq, oyoq: 5-teri turi, son, tepish
🦵🏿	6-teri turi, oyoq, oyoq: 6-teri turi, son, tepish
🦶	boldir, oyoq, tepish, tizza, tizzagacha, toʼpiq
🦶🏻	1–2-teri turi, boldir, oyoq, tepish, tizza, tizzagacha, toʼpiq, toʼpiq: 1–2-teri turi
🦶🏼	3-teri turi, boldir, oyoq, tepish, tizza, tizzagacha, toʼpiq, toʼpiq: 3-teri turi
🦶🏽	4-teri turi, boldir, oyoq, tepish, tizza, tizzagacha, toʼpiq, toʼpiq: 4-teri turi
🦶🏾	5-teri turi, boldir, oyoq, tepish, tizza, tizzagacha, toʼpiq, toʼpiq: 5-teri turi
🦶🏿	6-teri turi, boldir, oyoq, tepish, tizza, tizzagacha, toʼpiq, toʼpiq: 6-teri turi
👂️	quloq, tana
👂🏻	1–2-teri turi, quloq, quloq: 1–2-teri turi, tana
👂🏼	3-teri turi, quloq, quloq: 3-teri turi, tana
👂🏽	4-teri turi, quloq, quloq: 4-teri turi, tana
👂🏾	5-teri turi, quloq, quloq: 5-teri turi, tana
👂🏿	6-teri turi, quloq, quloq: 6-teri turi, tana
🦻	eshitish qobiliyati past, eshitish qurilmasi taqilgan quloq, nogironlik
🦻🏻	1–2-teri turi, eshitish qobiliyati past, eshitish qurilmasi taqilgan quloq, eshitish qurilmasi taqilgan quloq: 1–2-teri turi, nogironlik
🦻🏼	3-teri turi, eshitish qobiliyati past, eshitish qurilmasi taqilgan quloq, eshitish qurilmasi taqilgan quloq: 3-teri turi, nogironlik
🦻🏽	4-teri turi, eshitish qobiliyati past, eshitish qurilmasi taqilgan quloq, eshitish qurilmasi taqilgan quloq: 4-teri turi, nogironlik
🦻🏾	5-teri turi, eshitish qobiliyati past, eshitish qurilmasi taqilgan quloq, eshitish qurilmasi taqilgan quloq: 5-teri turi, nogironlik
🦻🏿	6-teri turi, eshitish qobiliyati past, eshitish qurilmasi taqilgan quloq, eshitish qurilmasi taqilgan quloq: 6-teri turi, nogironlik
👃	burun, tana
👃🏻	1–2-teri turi, burun, burun: 1–2-teri turi, tana
👃🏼	3-teri turi, burun, burun: 3-teri turi, tana
👃🏽	4-teri turi, burun, burun: 4-teri turi, tana
👃🏾	5-teri turi, burun, burun: 5-teri turi, tana
👃🏿	6-teri turi, burun, burun: 6-teri turi, tana
🧠	miya
🦷	dantist, stomatolog, tish, tish doktori, tishlar
🦴	skelet, suyak, ustixon
👀	ko‘z, ko‘zlar, tana, yuz
👁️	ko‘z, tana
👅	tana, til
👄	lablar, og‘iz, tana
👶	chaqaloq
👶🏻	1–2-teri turi, chaqaloq, chaqaloq: 1–2-teri turi
👶🏼	3-teri turi, chaqaloq, chaqaloq: 3-teri turi
👶🏽	4-teri turi, chaqaloq, chaqaloq: 4-teri turi
👶🏾	5-teri turi, chaqaloq, chaqaloq: 5-teri turi
👶🏿	6-teri turi, chaqaloq, chaqaloq: 6-teri turi
🧒	bola, bolakay, farzand, neytral jins
🧒🏻	1–2-teri turi, bola, bola: 1–2-teri turi, bolakay, farzand, neytral jins
🧒🏼	3-teri turi, bola, bola: 3-teri turi, bolakay, farzand, neytral jins
🧒🏽	4-teri turi, bola, bola: 4-teri turi, bolakay, farzand, neytral jins
🧒🏾	5-teri turi, bola, bola: 5-teri turi, bolakay, farzand, neytral jins
🧒🏿	6-teri turi, bola, bola: 6-teri turi, bolakay, farzand, neytral jins
👦	bola, erkak, o‘g‘il bola
👦🏻	1–2-teri turi, bola, erkak, o‘g‘il bola, o‘g‘il bola: 1–2-teri turi
👦🏼	3-teri turi, bola, erkak, o‘g‘il bola, o‘g‘il bola: 3-teri turi
👦🏽	4-teri turi, bola, erkak, o‘g‘il bola, o‘g‘il bola: 4-teri turi
👦🏾	5-teri turi, bola, erkak, o‘g‘il bola, o‘g‘il bola: 5-teri turi
👦🏿	6-teri turi, bola, erkak, o‘g‘il bola, o‘g‘il bola: 6-teri turi
👧	bokira, bo‘yi yetgan, burj, qiz bola, sunbula
👧🏻	1–2-teri turi, bokira, bo‘yi yetgan, burj, qiz bola, qiz bola: 1–2-teri turi, sunbula
👧🏼	3-teri turi, bokira, bo‘yi yetgan, burj, qiz bola, qiz bola: 3-teri turi, sunbula
👧🏽	4-teri turi, bokira, bo‘yi yetgan, burj, qiz bola, qiz bola: 4-teri turi, sunbula
👧🏾	5-teri turi, bokira, bo‘yi yetgan, burj, qiz bola, qiz bola: 5-teri turi, sunbula
👧🏿	6-teri turi, bokira, bo‘yi yetgan, burj, qiz bola, qiz bola: 6-teri turi, sunbula
🧑	katta, neytral jins, voyaga yetgan
🧑🏻	1–2-teri turi, katta, neytral jins, voyaga yetgan, voyaga yetgan: 1–2-teri turi
🧑🏼	3-teri turi, katta, neytral jins, voyaga yetgan, voyaga yetgan: 3-teri turi
🧑🏽	4-teri turi, katta, neytral jins, voyaga yetgan, voyaga yetgan: 4-teri turi
🧑🏾	5-teri turi, katta, neytral jins, voyaga yetgan, voyaga yetgan: 5-teri turi
🧑🏿	6-teri turi, katta, neytral jins, voyaga yetgan, voyaga yetgan: 6-teri turi
👱	mallasoch, sariq sochli odam, shaxs: mallasoch, soch
👱🏻	1–2-teri turi, mallasoch, sariq sochli odam, shaxs: 1–2-teri turi mallasoch, shaxs: mallasoch, soch
👱🏼	3-teri turi, mallasoch, sariq sochli odam, shaxs: 3-teri turi mallasoch, shaxs: mallasoch, soch
👱🏽	4-teri turi, mallasoch, sariq sochli odam, shaxs: 4-teri turi mallasoch, shaxs: mallasoch, soch
👱🏾	5-teri turi, mallasoch, sariq sochli odam, shaxs: 5-teri turi mallasoch, shaxs: mallasoch, soch
👱🏿	6-teri turi, mallasoch, sariq sochli odam, shaxs: 6-teri turi mallasoch, shaxs: mallasoch, soch
👨	erkak, kishi
👨🏻	1–2-teri turi, erkak, erkak: 1–2-teri turi, kishi
👨🏼	3-teri turi, erkak, erkak: 3-teri turi, kishi
👨🏽	4-teri turi, erkak, erkak: 4-teri turi, kishi
👨🏾	5-teri turi, erkak, erkak: 5-teri turi, kishi
👨🏿	6-teri turi, erkak, erkak: 6-teri turi, kishi
🧔	erkak, erkak: soqolli, shaxs, soqol, soqolli
🧔🏻	1–2-teri turi, erkak, erkak: 1–2-teri turi soqolli, erkak: soqolli, shaxs, soqol, soqolli
🧔🏼	3-teri turi, erkak, erkak: 3-teri turi soqolli, erkak: soqolli, shaxs, soqol, soqolli
🧔🏽	4-teri turi, erkak, erkak: 4-teri turi soqolli, erkak: soqolli, shaxs, soqol, soqolli
🧔🏾	5-teri turi, erkak, erkak: 5-teri turi soqolli, erkak: soqolli, shaxs, soqol, soqolli
🧔🏿	6-teri turi, erkak, erkak: 6-teri turi soqolli, erkak: soqolli, shaxs, soqol, soqolli
👱‍♂	erkak, erkak: mallasoch, mallasoch, sariq sochli erkak, soch
👱🏻‍♂	1–2-teri turi, erkak, erkak: 1–2-teri turi mallasoch, erkak: mallasoch, mallasoch, sariq sochli erkak, soch
👱🏼‍♂	3-teri turi, erkak, erkak: 3-teri turi mallasoch, erkak: mallasoch, mallasoch, sariq sochli erkak, soch
👱🏽‍♂	4-teri turi, erkak, erkak: 4-teri turi mallasoch, erkak: mallasoch, mallasoch, sariq sochli erkak, soch
👱🏾‍♂	5-teri turi, erkak, erkak: 5-teri turi mallasoch, erkak: mallasoch, mallasoch, sariq sochli erkak, soch
👱🏿‍♂	6-teri turi, erkak, erkak: 6-teri turi mallasoch, erkak: mallasoch, mallasoch, sariq sochli erkak, soch
👨‍🦰	erkak, erkak: malla soch, kishi, malla soch
👨🏻‍🦰	1–2-teri turi, erkak, erkak: 1–2-teri turi malla soch, kishi, malla soch
👨🏼‍🦰	3-teri turi, erkak, erkak: 3-teri turi malla soch, kishi, malla soch
👨🏽‍🦰	4-teri turi, erkak, erkak: 4-teri turi malla soch, kishi, malla soch
👨🏾‍🦰	5-teri turi, erkak, erkak: 5-teri turi malla soch, kishi, malla soch
👨🏿‍🦰	6-teri turi, erkak, erkak: 6-teri turi malla soch, kishi, malla soch
👨‍🦱	erkak, erkak: jingalak soch, jingalak soch, kishi
👨🏻‍🦱	1–2-teri turi, erkak, erkak: 1–2-teri turi jingalak soch, jingalak soch, kishi
👨🏼‍🦱	3-teri turi, erkak, erkak: 3-teri turi jingalak soch, jingalak soch, kishi
👨🏽‍🦱	4-teri turi, erkak, erkak: 4-teri turi jingalak soch, jingalak soch, kishi
👨🏾‍🦱	5-teri turi, erkak, erkak: 5-teri turi jingalak soch, jingalak soch, kishi
👨🏿‍🦱	6-teri turi, erkak, erkak: 6-teri turi jingalak soch, jingalak soch, kishi
👨‍🦳	erkak, erkak: oqargan soch, kishi, oqargan soch
👨🏻‍🦳	1–2-teri turi, erkak, erkak: 1–2-teri turi oqargan soch, kishi, oqargan soch
👨🏼‍🦳	3-teri turi, erkak, erkak: 3-teri turi oqargan soch, kishi, oqargan soch
👨🏽‍🦳	4-teri turi, erkak, erkak: 4-teri turi oqargan soch, kishi, oqargan soch
👨🏾‍🦳	5-teri turi, erkak, erkak: 5-teri turi oqargan soch, kishi, oqargan soch
👨🏿‍🦳	6-teri turi, erkak, erkak: 6-teri turi oqargan soch, kishi, oqargan soch
👨‍🦲	erkak, erkak: kal, kal, kishi
👨🏻‍🦲	1–2-teri turi, erkak, erkak: 1–2-teri turi kal, kal, kishi
👨🏼‍🦲	3-teri turi, erkak, erkak: 3-teri turi kal, kal, kishi
👨🏽‍🦲	4-teri turi, erkak, erkak: 4-teri turi kal, kal, kishi
👨🏾‍🦲	5-teri turi, erkak, erkak: 5-teri turi kal, kal, kishi
👨🏿‍🦲	6-teri turi, erkak, erkak: 6-teri turi kal, kal, kishi
👩	ayol, xotin
👩🏻	1–2-teri turi, ayol, ayol: 1–2-teri turi, xotin
👩🏼	3-teri turi, ayol, ayol: 3-teri turi, xotin
👩🏽	4-teri turi, ayol, ayol: 4-teri turi, xotin
👩🏾	5-teri turi, ayol, ayol: 5-teri turi, xotin
👩🏿	6-teri turi, ayol, ayol: 6-teri turi, xotin
👱‍♀	ayol, ayol: mallasoch, mallasoch, soch
👱🏻‍♀	1–2-teri turi, ayol, ayol: 1–2-teri turi mallasoch, ayol: mallasoch, mallasoch, soch
👱🏼‍♀	3-teri turi, ayol, ayol: 3-teri turi mallasoch, ayol: mallasoch, mallasoch, soch
👱🏽‍♀	4-teri turi, ayol, ayol: 4-teri turi mallasoch, ayol: mallasoch, mallasoch, soch
👱🏾‍♀	5-teri turi, ayol, ayol: 5-teri turi mallasoch, ayol: mallasoch, mallasoch, soch
👱🏿‍♀	6-teri turi, ayol, ayol: 6-teri turi mallasoch, ayol: mallasoch, mallasoch, soch
👩‍🦰	ayol, ayol: malla soch, malla soch, xotin
👩🏻‍🦰	1–2-teri turi, ayol, ayol: 1–2-teri turi malla soch, malla soch, xotin
👩🏼‍🦰	3-teri turi, ayol, ayol: 3-teri turi malla soch, malla soch, xotin
👩🏽‍🦰	4-teri turi, ayol, ayol: 4-teri turi malla soch, malla soch, xotin
👩🏾‍🦰	5-teri turi, ayol, ayol: 5-teri turi malla soch, malla soch, xotin
👩🏿‍🦰	6-teri turi, ayol, ayol: 6-teri turi malla soch, malla soch, xotin
👩‍🦱	ayol, ayol: jingalak soch, jingalak soch, xotin
👩🏻‍🦱	1–2-teri turi, ayol, ayol: 1–2-teri turi jingalak soch, jingalak soch, xotin
👩🏼‍🦱	3-teri turi, ayol, ayol: 3-teri turi jingalak soch, jingalak soch, xotin
👩🏽‍🦱	4-teri turi, ayol, ayol: 4-teri turi jingalak soch, jingalak soch, xotin
👩🏾‍🦱	5-teri turi, ayol, ayol: 5-teri turi jingalak soch, jingalak soch, xotin
👩🏿‍🦱	6-teri turi, ayol, ayol: 6-teri turi jingalak soch, jingalak soch, xotin
👩‍🦳	ayol, ayol: oqargan soch, oqargan soch, xotin
👩🏻‍🦳	1–2-teri turi, ayol, ayol: 1–2-teri turi oqargan soch, oqargan soch, xotin
👩🏼‍🦳	3-teri turi, ayol, ayol: 3-teri turi oqargan soch, oqargan soch, xotin
👩🏽‍🦳	4-teri turi, ayol, ayol: 4-teri turi oqargan soch, oqargan soch, xotin
👩🏾‍🦳	5-teri turi, ayol, ayol: 5-teri turi oqargan soch, oqargan soch, xotin
👩🏿‍🦳	6-teri turi, ayol, ayol: 6-teri turi oqargan soch, oqargan soch, xotin
👩‍🦲	ayol, ayol: kal, kal, xotin
👩🏻‍🦲	1–2-teri turi, ayol, ayol: 1–2-teri turi kal, kal, xotin
👩🏼‍🦲	3-teri turi, ayol, ayol: 3-teri turi kal, kal, xotin
👩🏽‍🦲	4-teri turi, ayol, ayol: 4-teri turi kal, kal, xotin
👩🏾‍🦲	5-teri turi, ayol, ayol: 5-teri turi kal, kal, xotin
👩🏿‍🦲	6-teri turi, ayol, ayol: 6-teri turi kal, kal, xotin
🧓	keksa, neytral jins, qari odam, qariya
🧓🏻	1–2-teri turi, keksa, neytral jins, qari odam, qari odam: 1–2-teri turi, qariya
🧓🏼	3-teri turi, keksa, neytral jins, qari odam, qari odam: 3-teri turi, qariya
🧓🏽	4-teri turi, keksa, neytral jins, qari odam, qari odam: 4-teri turi, qariya
🧓🏾	5-teri turi, keksa, neytral jins, qari odam, qari odam: 5-teri turi, qariya
🧓🏿	6-teri turi, keksa, neytral jins, qari odam, qari odam: 6-teri turi, qariya
👴	chol, erkak kishi, qari
👴🏻	1–2-teri turi, chol, chol: 1–2-teri turi, erkak kishi, qari
👴🏼	3-teri turi, chol, chol: 3-teri turi, erkak kishi, qari
👴🏽	4-teri turi, chol, chol: 4-teri turi, erkak kishi, qari
👴🏾	5-teri turi, chol, chol: 5-teri turi, erkak kishi, qari
👴🏿	6-teri turi, chol, chol: 6-teri turi, erkak kishi, qari
👵	ayol, kampir, qari
👵🏻	1–2-teri turi, ayol, kampir, kampir: 1–2-teri turi, qari
👵🏼	3-teri turi, ayol, kampir, kampir: 3-teri turi, qari
👵🏽	4-teri turi, ayol, kampir, kampir: 4-teri turi, qari
👵🏾	5-teri turi, ayol, kampir, kampir: 5-teri turi, qari
👵🏿	6-teri turi, ayol, kampir, kampir: 6-teri turi, qari
🙍	imo-ishora, qovog‘ini solish, xo‘mraygan odam
🙍🏻	1–2-teri turi, imo-ishora, qovog‘ini solish, xo‘mraygan odam, xo‘mraygan odam: 1–2-teri turi
🙍🏼	3-teri turi, imo-ishora, qovog‘ini solish, xo‘mraygan odam, xo‘mraygan odam: 3-teri turi
🙍🏽	4-teri turi, imo-ishora, qovog‘ini solish, xo‘mraygan odam, xo‘mraygan odam: 4-teri turi
🙍🏾	5-teri turi, imo-ishora, qovog‘ini solish, xo‘mraygan odam, xo‘mraygan odam: 5-teri turi
🙍🏿	6-teri turi, imo-ishora, qovog‘ini solish, xo‘mraygan odam, xo‘mraygan odam: 6-teri turi
🙍‍♂	erkak, xo‘mraygan erkak, xo‘mrayish, yuz ifodasi
🙍🏻‍♂	1–2-teri turi, erkak, xo‘mraygan erkak, xo‘mraygan erkak: 1–2-teri turi, xo‘mrayish, yuz ifodasi
🙍🏼‍♂	3-teri turi, erkak, xo‘mraygan erkak, xo‘mraygan erkak: 3-teri turi, xo‘mrayish, yuz ifodasi
🙍🏽‍♂	4-teri turi, erkak, xo‘mraygan erkak, xo‘mraygan erkak: 4-teri turi, xo‘mrayish, yuz ifodasi
