😀	arc, nevetés, nevető arc
🤝	kézfogás, megállapodás, találkozás, üdvözlés
🙏	ima, kérés, köszönet, test, összetett kéz
🙏🏻	ima, kérés, köszönet, test, világos bőrtónus, összetett kéz, összetett kéz: világos bőrtónus
🙏🏼	ima, kérés, köszönet, közepesen világos bőrtónus, test, összetett kéz, összetett kéz: közepesen világos bőrtónus
🙏🏽	ima, kérés, köszönet, közepes bőrtónus, test, összetett kéz, összetett kéz: közepes bőrtónus
🙏🏾	ima, kérés, köszönet, közepesen sötét bőrtónus, test, összetett kéz, összetett kéz: közepesen sötét bőrtónus
🙏🏿	ima, kérés, köszönet, sötét bőrtónus, test, összetett kéz, összetett kéz: sötét bőrtónus
✍️	kéz, test, írás, író kéz
✍🏻	kéz, test, világos bőrtónus, írás, író kéz, író kéz: világos bőrtónus
✍🏼	kéz, közepesen világos bőrtónus, test, írás, író kéz, író kéz: közepesen világos bőrtónus
✍🏽	kéz, közepes bőrtónus, test, írás, író kéz, író kéz: közepes bőrtónus
✍🏾	kéz, közepesen sötét bőrtónus, test, írás, író kéz, író kéz: közepesen sötét bőrtónus
✍🏿	kéz, sötét bőrtónus, test, írás, író kéz, író kéz: sötét bőrtónus
💅	kifestés, köröm, körömlakk, lakk, manikűr
💅🏻	kifestés, köröm, körömlakk, körömlakk: világos bőrtónus, lakk, manikűr, világos bőrtónus
💅🏼	kifestés, köröm, körömlakk, körömlakk: közepesen világos bőrtónus, közepesen világos bőrtónus, lakk, manikűr
💅🏽	kifestés, köröm, körömlakk, körömlakk: közepes bőrtónus, közepes bőrtónus, lakk, manikűr
💅🏾	kifestés, köröm, körömlakk, körömlakk: közepesen sötét bőrtónus, közepesen sötét bőrtónus, lakk, manikűr
💅🏿	kifestés, köröm, körömlakk, körömlakk: sötét bőrtónus, lakk, manikűr, sötét bőrtónus
🤳	fényképező, szelfi, telefon
🤳🏻	fényképező, szelfi, szelfi: világos bőrtónus, telefon, világos bőrtónus
🤳🏼	fényképező, közepesen világos bőrtónus, szelfi, szelfi: közepesen világos bőrtónus, telefon
🤳🏽	fényképező, közepes bőrtónus, szelfi, szelfi: közepes bőrtónus, telefon
🤳🏾	fényképező, közepesen sötét bőrtónus, szelfi, szelfi: közepesen sötét bőrtónus, telefon
🤳🏿	fényképező, szelfi, szelfi: sötét bőrtónus, sötét bőrtónus, telefon
💪	befeszített bicepsz, bicepsz, izom, karizom, képregény
💪🏻	befeszített bicepsz, befeszített bicepsz: világos bőrtónus, bicepsz, izom, karizom, képregény, világos bőrtónus
💪🏼	befeszített bicepsz, befeszített bicepsz: közepesen világos bőrtónus, bicepsz, izom, karizom, képregény, közepesen világos bőrtónus
💪🏽	befeszített bicepsz, befeszített bicepsz: közepes bőrtónus, bicepsz, izom, karizom, képregény, közepes bőrtónus
💪🏾	befeszített bicepsz, befeszített bicepsz: közepesen sötét bőrtónus, bicepsz, izom, karizom, képregény, közepesen sötét bőrtónus
💪🏿	befeszített bicepsz, befeszített bicepsz: sötét bőrtónus, bicepsz, izom, karizom, képregény, sötét bőrtónus
🦾	akadálymentesség, mechanikus kar, protézis
🦿	akadálymentesség, mechanikus láb, protézis
🦵	comb, lábszár, rúgás
🦵🏻	comb, lábszár, lábszár: világos bőrtónus, rúgás, világos bőrtónus
🦵🏼	comb, közepesen világos bőrtónus, lábszár, lábszár: közepesen világos bőrtónus, rúgás
🦵🏽	comb, közepes bőrtónus, lábszár, lábszár: közepes bőrtónus, rúgás
🦵🏾	comb, közepesen sötét bőrtónus, lábszár, lábszár: közepesen sötét bőrtónus, rúgás
🦵🏿	comb, lábszár, lábszár: sötét bőrtónus, rúgás, sötét bőrtónus
🦶	dobogás, lábfej, rúgás
🦶🏻	dobogás, lábfej, lábfej: világos bőrtónus, rúgás, világos bőrtónus
🦶🏼	dobogás, közepesen világos bőrtónus, lábfej, lábfej: közepesen világos bőrtónus, rúgás
🦶🏽	dobogás, közepes bőrtónus, lábfej, lábfej: közepes bőrtónus, rúgás
🦶🏾	dobogás, közepesen sötét bőrtónus, lábfej, lábfej: közepesen sötét bőrtónus, rúgás
🦶🏿	dobogás, lábfej, lábfej: sötét bőrtónus, rúgás, sötét bőrtónus
👂️	fej, fül, test, testrész
👂🏻	fej, fül, fül: világos bőrtónus, test, testrész, világos bőrtónus
👂🏼	fej, fül, fül: közepesen világos bőrtónus, közepesen világos bőrtónus, test, testrész
👂🏽	fej, fül, fül: közepes bőrtónus, közepes bőrtónus, test, testrész
👂🏾	fej, fül, fül: közepesen sötét bőrtónus, közepesen sötét bőrtónus, test, testrész
👂🏿	fej, fül, fül: sötét bőrtónus, sötét bőrtónus, test, testrész
🦻	akadálymentesség, fül hallókészülékkel, nagyothalló
🦻🏻	akadálymentesség, fül hallókészülékkel, fül hallókészülékkel: világos bőrtónus, nagyothalló, világos bőrtónus
🦻🏼	akadálymentesség, fül hallókészülékkel, fül hallókészülékkel: közepesen világos bőrtónus, közepesen világos bőrtónus, nagyothalló
🦻🏽	akadálymentesség, fül hallókészülékkel, fül hallókészülékkel: közepes bőrtónus, közepes bőrtónus, nagyothalló
🦻🏾	akadálymentesség, fül hallókészülékkel, fül hallókészülékkel: közepesen sötét bőrtónus, közepesen sötét bőrtónus, nagyothalló
🦻🏿	akadálymentesség, fül hallókészülékkel, fül hallókészülékkel: sötét bőrtónus, nagyothalló, sötét bőrtónus
👃	fej, orr, test, testrész
👃🏻	fej, orr, orr: világos bőrtónus, test, testrész, világos bőrtónus
👃🏼	fej, közepesen világos bőrtónus, orr, orr: közepesen világos bőrtónus, test, testrész
👃🏽	fej, közepes bőrtónus, orr, orr: közepes bőrtónus, test, testrész
👃🏾	fej, közepesen sötét bőrtónus, orr, orr: közepesen sötét bőrtónus, test, testrész
👃🏿	fej, orr, orr: sötét bőrtónus, sötét bőrtónus, test, testrész
🧠	agy, intelligens
🦷	fog, fogorvos
🦴	csont, csontváz
👀	arc, szem, szemek, test
👁️	szem, test
👅	nyelv, test
👄	ajkak, száj, test
👶	baba, kisbaba
👶🏻	baba, baba: világos bőrtónus, kisbaba, világos bőrtónus
👶🏼	baba, baba: közepesen világos bőrtónus, kisbaba, közepesen világos bőrtónus
👶🏽	baba, baba: közepes bőrtónus, kisbaba, közepes bőrtónus
👶🏾	baba, baba: közepesen sötét bőrtónus, kisbaba, közepesen sötét bőrtónus
👶🏿	baba, baba: sötét bőrtónus, kisbaba, sötét bőrtónus
🧒	gyerek, gyermek
🧒🏻	gyerek, gyerek: világos bőrtónus, gyermek, világos bőrtónus
🧒🏼	gyerek, gyerek: közepesen világos bőrtónus, gyermek, közepesen világos bőrtónus
🧒🏽	gyerek, gyerek: közepes bőrtónus, gyermek, közepes bőrtónus
🧒🏾	gyerek, gyerek: közepesen sötét bőrtónus, gyermek, közepesen sötét bőrtónus
🧒🏿	gyerek, gyerek: sötét bőrtónus, gyermek, sötét bőrtónus
👦	fiú, kisfiú, srác
👦🏻	fiú, fiú: világos bőrtónus, kisfiú, srác, világos bőrtónus
👦🏼	fiú, fiú: közepesen világos bőrtónus, kisfiú, közepesen világos bőrtónus, srác
👦🏽	fiú, fiú: közepes bőrtónus, kisfiú, közepes bőrtónus, srác
👦🏾	fiú, fiú: közepesen sötét bőrtónus, kisfiú, közepesen sötét bőrtónus, srác
👦🏿	fiú, fiú: sötét bőrtónus, kisfiú, srác, sötét bőrtónus
👧	kislány, lány, lányka
👧🏻	kislány, lány, lány: világos bőrtónus, lányka, világos bőrtónus
👧🏼	kislány, közepesen világos bőrtónus, lány, lány: közepesen világos bőrtónus, lányka
👧🏽	kislány, közepes bőrtónus, lány, lány: közepes bőrtónus, lányka
👧🏾	kislány, közepesen sötét bőrtónus, lány, lány: közepesen sötét bőrtónus, lányka
👧🏿	kislány, lány, lány: sötét bőrtónus, lányka, sötét bőrtónus
🧑	felnőtt
🧑🏻	felnőtt, felnőtt: világos bőrtónus, világos bőrtónus
🧑🏼	felnőtt, felnőtt: közepesen világos bőrtónus, közepesen világos bőrtónus
🧑🏽	felnőtt, felnőtt: közepes bőrtónus, közepes bőrtónus
🧑🏾	felnőtt, felnőtt: közepesen sötét bőrtónus, közepesen sötét bőrtónus
🧑🏿	felnőtt, felnőtt: sötét bőrtónus, sötét bőrtónus
👱	szőke, szőke hajú ember
👱🏻	szőke, szőke hajú ember, szőke hajú ember: világos bőrtónus, világos bőrtónus
👱🏼	közepesen világos bőrtónus, szőke, szőke hajú ember, szőke hajú ember: közepesen világos bőrtónus
👱🏽	közepes bőrtónus, szőke, szőke hajú ember, szőke hajú ember: közepes bőrtónus
👱🏾	közepesen sötét bőrtónus, szőke, szőke hajú ember, szőke hajú ember: közepesen sötét bőrtónus
👱🏿	szőke, szőke hajú ember, szőke hajú ember: sötét bőrtónus, sötét bőrtónus
👨	férfi
👨🏻	férfi, férfi: világos bőrtónus, világos bőrtónus
👨🏼	férfi, férfi: közepesen világos bőrtónus, közepesen világos bőrtónus
👨🏽	férfi, férfi: közepes bőrtónus, közepes bőrtónus
👨🏾	férfi, férfi: közepesen sötét bőrtónus, közepesen sötét bőrtónus
👨🏿	férfi, férfi: sötét bőrtónus, sötét bőrtónus
🧔	szakáll, szakállas ember
🧔🏻	szakáll, szakállas ember, szakállas ember: világos bőrtónus, világos bőrtónus
🧔🏼	közepesen világos bőrtónus, szakáll, szakállas ember, szakállas ember: közepesen világos bőrtónus
🧔🏽	közepes bőrtónus, szakáll, szakállas ember, szakállas ember: közepes bőrtónus
🧔🏾	közepesen sötét bőrtónus, szakáll, szakállas ember, szakállas ember: közepesen sötét bőrtónus
🧔🏿	szakáll, szakállas ember, szakállas ember: sötét bőrtónus, sötét bőrtónus
👱‍♂	férfi, szőke, szőke férfi
👱🏻‍♂	férfi, szőke, szőke férfi: világos bőrtónus, világos bőrtónus
👱🏼‍♂	férfi, közepesen világos bőrtónus, szőke, szőke férfi: közepesen világos bőrtónus
👱🏽‍♂	férfi, közepes bőrtónus, szőke, szőke férfi: közepes bőrtónus
👱🏾‍♂	férfi, közepesen sötét bőrtónus, szőke, szőke férfi: közepesen sötét bőrtónus
👱🏿‍♂	férfi, szőke, szőke férfi: sötét bőrtónus, sötét bőrtónus
👨‍🦰	férfi, férfi: vörös haj, vörös haj
👨🏻‍🦰	férfi, férfi: világos bőrtónus és vörös haj, világos bőrtónus, vörös haj
👨🏼‍🦰	férfi, férfi: közepesen világos bőrtónus és vörös haj, közepesen világos bőrtónus, vörös haj
👨🏽‍🦰	férfi, férfi: közepes bőrtónus és vörös haj, közepes bőrtónus, vörös haj
👨🏾‍🦰	férfi, férfi: közepesen sötét bőrtónus és vörös haj, közepesen sötét bőrtónus, vörös haj
👨🏿‍🦰	férfi, férfi: sötét bőrtónus és vörös haj, sötét bőrtónus, vörös haj
👨‍🦱	férfi, férfi: göndör haj, göndör haj
👨🏻‍🦱	férfi, férfi: világos bőrtónus és göndör haj, göndör haj, világos bőrtónus
👨🏼‍🦱	férfi, férfi: közepesen világos bőrtónus és göndör haj, göndör haj, közepesen világos bőrtónus
👨🏽‍🦱	férfi, férfi: közepes bőrtónus és göndör haj, göndör haj, közepes bőrtónus
👨🏾‍🦱	férfi, férfi: közepesen sötét bőrtónus és göndör haj, göndör haj, közepesen sötét bőrtónus
👨🏿‍🦱	férfi, férfi: sötét bőrtónus és göndör haj, göndör haj, sötét bőrtónus
👨‍🦳	férfi, férfi: ősz haj, ősz haj
👨🏻‍🦳	férfi, férfi: világos bőrtónus és ősz haj, világos bőrtónus, ősz haj
👨🏼‍🦳	férfi, férfi: közepesen világos bőrtónus és ősz haj, közepesen világos bőrtónus, ősz haj
👨🏽‍🦳	férfi, férfi: közepes bőrtónus és ősz haj, közepes bőrtónus, ősz haj
👨🏾‍🦳	férfi, férfi: közepesen sötét bőrtónus és ősz haj, közepesen sötét bőrtónus, ősz haj
👨🏿‍🦳	férfi, férfi: sötét bőrtónus és ősz haj, sötét bőrtónus, ősz haj
👨‍🦲	férfi, férfi: kopasz, kopasz
👨🏻‍🦲	férfi, férfi: világos bőrtónus és kopasz, kopasz, világos bőrtónus
👨🏼‍🦲	férfi, férfi: közepesen világos bőrtónus és kopasz, kopasz, közepesen világos bőrtónus
👨🏽‍🦲	férfi, férfi: közepes bőrtónus és kopasz, kopasz, közepes bőrtónus
👨🏾‍🦲	férfi, férfi: közepesen sötét bőrtónus és kopasz, kopasz, közepesen sötét bőrtónus
👨🏿‍🦲	férfi, férfi: sötét bőrtónus és kopasz, kopasz, sötét bőrtónus
👩	nő
👩🏻	nő, nő: világos bőrtónus, világos bőrtónus
👩🏼	közepesen világos bőrtónus, nő, nő: közepesen világos bőrtónus
👩🏽	közepes bőrtónus, nő, nő: közepes bőrtónus
👩🏾	közepesen sötét bőrtónus, nő, nő: közepesen sötét bőrtónus
👩🏿	nő, nő: sötét bőrtónus, sötét bőrtónus
👱‍♀	nő, szőke, szőke nő
👱🏻‍♀	nő, szőke, szőke nő: világos bőrtónus, világos bőrtónus
👱🏼‍♀	közepesen világos bőrtónus, nő, szőke, szőke nő: közepesen világos bőrtónus
👱🏽‍♀	közepes bőrtónus, nő, szőke, szőke nő: közepes bőrtónus
👱🏾‍♀	közepesen sötét bőrtónus, nő, szőke, szőke nő: közepesen sötét bőrtónus
👱🏿‍♀	nő, szőke, szőke nő: sötét bőrtónus, sötét bőrtónus
👩‍🦰	nő, nő: vörös haj, vörös haj
👩🏻‍🦰	nő, nő: világos bőrtónus és vörös haj, világos bőrtónus, vörös haj
👩🏼‍🦰	közepesen világos bőrtónus, nő, nő: közepesen világos bőrtónus és vörös haj, vörös haj
👩🏽‍🦰	közepes bőrtónus, nő, nő: közepes bőrtónus és vörös haj, vörös haj
👩🏾‍🦰	közepesen sötét bőrtónus, nő, nő: közepesen sötét bőrtónus és vörös haj, vörös haj
👩🏿‍🦰	nő, nő: sötét bőrtónus és vörös haj, sötét bőrtónus, vörös haj
👩‍🦱	göndör haj, nő, nő: göndör haj
👩🏻‍🦱	göndör haj, nő, nő: világos bőrtónus és göndör haj, világos bőrtónus
👩🏼‍🦱	göndör haj, közepesen világos bőrtónus, nő, nő: közepesen világos bőrtónus és göndör haj
👩🏽‍🦱	göndör haj, közepes bőrtónus, nő, nő: közepes bőrtónus és göndör haj
👩🏾‍🦱	göndör haj, közepesen sötét bőrtónus, nő, nő: közepesen sötét bőrtónus és göndör haj
👩🏿‍🦱	göndör haj, nő, nő: sötét bőrtónus és göndör haj, sötét bőrtónus
👩‍🦳	nő, nő: ősz haj, ősz haj
👩🏻‍🦳	nő, nő: világos bőrtónus és ősz haj, világos bőrtónus, ősz haj
👩🏼‍🦳	közepesen világos bőrtónus, nő, nő: közepesen világos bőrtónus és ősz haj, ősz haj
👩🏽‍🦳	közepes bőrtónus, nő, nő: közepes bőrtónus és ősz haj, ősz haj
👩🏾‍🦳	közepesen sötét bőrtónus, nő, nő: közepesen sötét bőrtónus és ősz haj, ősz haj
👩🏿‍🦳	nő, nő: sötét bőrtónus és ősz haj, sötét bőrtónus, ősz haj
👩‍🦲	kopasz, nő, nő: kopasz
👩🏻‍🦲	kopasz, nő, nő: világos bőrtónus és kopasz, világos bőrtónus
👩🏼‍🦲	kopasz, közepesen világos bőrtónus, nő, nő: közepesen világos bőrtónus és kopasz
👩🏽‍🦲	kopasz, közepes bőrtónus, nő, nő: közepes bőrtónus és kopasz
👩🏾‍🦲	kopasz, közepesen sötét bőrtónus, nő, nő: közepesen sötét bőrtónus és kopasz
👩🏿‍🦲	kopasz, nő, nő: sötét bőrtónus és kopasz, sötét bőrtónus
🧓	idős, idősebb felnőtt, nemi szempontból semleges
🧓🏻	idős, idősebb felnőtt, idősebb felnőtt: világos bőrtónus, nemi szempontból semleges, világos bőrtónus
🧓🏼	idős, idősebb felnőtt, idősebb felnőtt: közepesen világos bőrtónus, közepesen világos bőrtónus, nemi szempontból semleges
🧓🏽	idős, idősebb felnőtt, idősebb felnőtt: közepes bőrtónus, közepes bőrtónus, nemi szempontból semleges
🧓🏾	idős, idősebb felnőtt, idősebb felnőtt: közepesen sötét bőrtónus, közepesen sötét bőrtónus, nemi szempontból semleges
🧓🏿	idős, idősebb felnőtt, idősebb felnőtt: sötét bőrtónus, nemi szempontból semleges, sötét bőrtónus
👴	idős férfi, öregember
👴🏻	idős férfi, idős férfi: világos bőrtónus, világos bőrtónus, öregember
👴🏼	idős férfi, idős férfi: közepesen világos bőrtónus, közepesen világos bőrtónus, öregember
👴🏽	idős férfi, idős férfi: közepes bőrtónus, közepes bőrtónus, öregember
👴🏾	idős férfi, idős férfi: közepesen sötét bőrtónus, közepesen sötét bőrtónus, öregember
👴🏿	idős férfi, idős férfi: sötét bőrtónus, sötét bőrtónus, öregember
👵	idős nő, öreg néni
👵🏻	idős nő, idős nő: világos bőrtónus, világos bőrtónus, öreg néni
👵🏼	idős nő, idős nő: közepesen világos bőrtónus, közepesen világos bőrtónus, öreg néni
👵🏽	idős nő, idős nő: közepes bőrtónus, közepes bőrtónus, öreg néni
