😀	sourire, visage rieur
⛹🏽	peau légèrement mate, personne avec ballon, personne avec ballon : peau légèrement mate, sport
⛹🏾	peau mate, personne avec ballon, personne avec ballon : peau mate, sport
⛹🏿	peau foncée, personne avec ballon, personne avec ballon : peau foncée, sport
⛹‍♂	ballon, homme, homme avec ballon
⛹🏻‍♂	ballon, homme, homme avec ballon, homme avec ballon : peau claire, peau claire
⛹🏼‍♂	ballon, homme, homme avec ballon, homme avec ballon : peau moyennement claire, peau moyennement claire
⛹🏽‍♂	ballon, homme, homme avec ballon, homme avec ballon : peau légèrement mate, peau légèrement mate
⛹🏾‍♂	ballon, homme, homme avec ballon, homme avec ballon : peau mate, peau mate
⛹🏿‍♂	ballon, homme, homme avec ballon, homme avec ballon : peau foncée, peau foncée
⛹‍♀	ballon, femme, femme avec ballon
⛹🏻‍♀	ballon, femme, femme avec ballon, femme avec ballon : peau claire, peau claire
⛹🏼‍♀	ballon, femme, femme avec ballon, femme avec ballon : peau moyennement claire, peau moyennement claire
⛹🏽‍♀	ballon, femme, femme avec ballon, femme avec ballon : peau légèrement mate, peau légèrement mate
⛹🏾‍♀	ballon, femme, femme avec ballon, femme avec ballon : peau mate, peau mate
⛹🏿‍♀	ballon, femme, femme avec ballon, femme avec ballon : peau foncée, peau foncée
🏋️	haltérophile, sport
🏋🏻	haltérophile, haltérophile : peau claire, peau claire, sport
🏋🏼	haltérophile, haltérophile : peau moyennement claire, peau moyennement claire, sport
🏋🏽	haltérophile, haltérophile : peau légèrement mate, peau légèrement mate, sport
🏋🏾	haltérophile, haltérophile : peau mate, peau mate, sport
🏋🏿	haltérophile, haltérophile : peau foncée, peau foncée, sport
🏋‍♂	haltérophile, homme, homme haltérophile
🏋🏻‍♂	haltérophile, homme, homme haltérophile : peau claire, peau claire
🏋🏼‍♂	haltérophile, homme, homme haltérophile : peau moyennement claire, peau moyennement claire
🏋🏽‍♂	haltérophile, homme, homme haltérophile : peau légèrement mate, peau légèrement mate
🏋🏾‍♂	haltérophile, homme, homme haltérophile : peau mate, peau mate
🏋🏿‍♂	haltérophile, homme, homme haltérophile : peau foncée, peau foncée
🏋‍♀	femme, femme haltérophile, haltérophile
🏋🏻‍♀	femme, femme haltérophile : peau claire, haltérophile, peau claire
🏋🏼‍♀	femme, femme haltérophile : peau moyennement claire, haltérophile, peau moyennement claire
🏋🏽‍♀	femme, femme haltérophile : peau légèrement mate, haltérophile, peau légèrement mate
🏋🏾‍♀	femme, femme haltérophile : peau mate, haltérophile, peau mate
🏋🏿‍♀	femme, femme haltérophile : peau foncée, haltérophile, peau foncée
🚴	cycliste, vélo
🚴🏻	cycliste, cycliste : peau claire, peau claire, vélo
🚴🏼	cycliste, cycliste : peau moyennement claire, peau moyennement claire, vélo
🚴🏽	cycliste, cycliste : peau légèrement mate, peau légèrement mate, vélo
🚴🏾	cycliste, cycliste : peau mate, peau mate, vélo
🚴🏿	cycliste, cycliste : peau foncée, peau foncée, vélo
🚴‍♂	cyclisme, cycliste, cycliste homme, homme, vélo
🚴🏻‍♂	cyclisme, cycliste, cycliste homme : peau claire, homme, peau claire, vélo
🚴🏼‍♂	cyclisme, cycliste, cycliste homme : peau moyennement claire, homme, peau moyennement claire, vélo
🚴🏽‍♂	cyclisme, cycliste, cycliste homme : peau légèrement mate, homme, peau légèrement mate, vélo
🚴🏾‍♂	cyclisme, cycliste, cycliste homme : peau mate, homme, peau mate, vélo
🚴🏿‍♂	cyclisme, cycliste, cycliste homme : peau foncée, homme, peau foncée, vélo
🚴‍♀	cyclisme, cycliste, cycliste femme, femme, vélo
🚴🏻‍♀	cyclisme, cycliste, cycliste femme : peau claire, femme, peau claire, vélo
🚴🏼‍♀	cyclisme, cycliste, cycliste femme : peau moyennement claire, femme, peau moyennement claire, vélo
🚴🏽‍♀	cyclisme, cycliste, cycliste femme : peau légèrement mate, femme, peau légèrement mate, vélo
🚴🏾‍♀	cyclisme, cycliste, cycliste femme : peau mate, femme, peau mate, vélo
🚴🏿‍♀	cyclisme, cycliste, cycliste femme : peau foncée, femme, peau foncée, vélo
🚵	montagne, personne en VTT, vélo
🚵🏻	montagne, peau claire, personne en VTT, personne en VTT : peau claire, vélo
🚵🏼	montagne, peau moyennement claire, personne en VTT, personne en VTT : peau moyennement claire, vélo
🚵🏽	montagne, peau légèrement mate, personne en VTT, personne en VTT : peau légèrement mate, vélo
🚵🏾	montagne, peau mate, personne en VTT, personne en VTT : peau mate, vélo
🚵🏿	montagne, peau foncée, personne en VTT, personne en VTT : peau foncée, vélo
🚵‍♂	VTT, cycliste, homme, homme en VTT, vélo
🚵🏻‍♂	VTT, cycliste, homme, homme en VTT, homme en VTT : peau claire, peau claire, vélo
🚵🏼‍♂	VTT, cycliste, homme, homme en VTT, homme en VTT : peau moyennement claire, peau moyennement claire, vélo
🚵🏽‍♂	VTT, cycliste, homme, homme en VTT, homme en VTT : peau légèrement mate, peau légèrement mate, vélo
🚵🏾‍♂	VTT, cycliste, homme, homme en VTT, homme en VTT : peau mate, peau mate, vélo
🚵🏿‍♂	VTT, cycliste, homme, homme en VTT, homme en VTT : peau foncée, peau foncée, vélo
🚵‍♀	VTT, cycliste, femme, femme en VTT, vélo
🚵🏻‍♀	VTT, cycliste, femme, femme en VTT, femme en VTT : peau claire, peau claire, vélo
🚵🏼‍♀	VTT, cycliste, femme, femme en VTT, femme en VTT : peau moyennement claire, peau moyennement claire, vélo
🚵🏽‍♀	VTT, cycliste, femme, femme en VTT, femme en VTT : peau légèrement mate, peau légèrement mate, vélo
🚵🏾‍♀	VTT, cycliste, femme, femme en VTT, femme en VTT : peau mate, peau mate, vélo
🚵🏿‍♀	VTT, cycliste, femme, femme en VTT, femme en VTT : peau foncée, peau foncée, vélo
🤸	gymnastique, personne, personne faisant la roue, roue, sport
🤸🏻	gymnastique, peau claire, personne, personne faisant la roue, personne faisant la roue : peau claire, roue, sport
🤸🏼	gymnastique, peau moyennement claire, personne, personne faisant la roue, personne faisant la roue : peau moyennement claire, roue, sport
🤸🏽	gymnastique, peau légèrement mate, personne, personne faisant la roue, personne faisant la roue : peau légèrement mate, roue, sport
🤸🏾	gymnastique, peau mate, personne, personne faisant la roue, personne faisant la roue : peau mate, roue, sport
🤸🏿	gymnastique, peau foncée, personne, personne faisant la roue, personne faisant la roue : peau foncée, roue, sport
🤸‍♂	gymnastique, homme, homme faisant la roue, roue
🤸🏻‍♂	gymnastique, homme, homme faisant la roue, homme faisant la roue : peau claire, peau claire, roue
🤸🏼‍♂	gymnastique, homme, homme faisant la roue, homme faisant la roue : peau moyennement claire, peau moyennement claire, roue
🤸🏽‍♂	gymnastique, homme, homme faisant la roue, homme faisant la roue : peau légèrement mate, peau légèrement mate, roue
🤸🏾‍♂	gymnastique, homme, homme faisant la roue, homme faisant la roue : peau mate, peau mate, roue
🤸🏿‍♂	gymnastique, homme, homme faisant la roue, homme faisant la roue : peau foncée, peau foncée, roue
🤸‍♀	femme, femme faisant la roue, gymnastique, roue
🤸🏻‍♀	femme, femme faisant la roue, femme faisant la roue : peau claire, gymnastique, peau claire, roue
🤸🏼‍♀	femme, femme faisant la roue, femme faisant la roue : peau moyennement claire, gymnastique, peau moyennement claire, roue
🤸🏽‍♀	femme, femme faisant la roue, femme faisant la roue : peau légèrement mate, gymnastique, peau légèrement mate, roue
🤸🏾‍♀	femme, femme faisant la roue, femme faisant la roue : peau mate, gymnastique, peau mate, roue
🤸🏿‍♀	femme, femme faisant la roue, femme faisant la roue : peau foncée, gymnastique, peau foncée, roue
🤼	lutte, lutteur, personnes, personnes faisant de la lutte, sport
🤼‍♂	hommes, lutte, lutteurs, personne, sport
🤼‍♀	femmes, lutte, lutteuses, sport
🤽	personne jouant au water-polo, sport, water-polo
🤽🏻	peau claire, personne jouant au water-polo, personne jouant au water-polo : peau claire, sport, water-polo
🤽🏼	peau moyennement claire, personne jouant au water-polo, personne jouant au water-polo : peau moyennement claire, sport, water-polo
🤽🏽	peau légèrement mate, personne jouant au water-polo, personne jouant au water-polo : peau légèrement mate, sport, water-polo
🤽🏾	peau mate, personne jouant au water-polo, personne jouant au water-polo : peau mate, sport, water-polo
🤽🏿	peau foncée, personne jouant au water-polo, personne jouant au water-polo : peau foncée, sport, water-polo
🤽‍♂	homme, joueur de water-polo, sport, water-polo
🤽🏻‍♂	homme, joueur de water-polo, joueur de water-polo : peau claire, peau claire, sport, water-polo
🤽🏼‍♂	homme, joueur de water-polo, joueur de water-polo : peau moyennement claire, peau moyennement claire, sport, water-polo
🤽🏽‍♂	homme, joueur de water-polo, joueur de water-polo : peau légèrement mate, peau légèrement mate, sport, water-polo
🤽🏾‍♂	homme, joueur de water-polo, joueur de water-polo : peau mate, peau mate, sport, water-polo
🤽🏿‍♂	homme, joueur de water-polo, joueur de water-polo : peau foncée, peau foncée, sport, water-polo
🤽‍♀	femme, joueuse de water-polo, sport, water-polo
🤽🏻‍♀	femme, joueuse de water-polo, joueuse de water-polo : peau claire, peau claire, sport, water-polo
🤽🏼‍♀	femme, joueuse de water-polo, joueuse de water-polo : peau moyennement claire, peau moyennement claire, sport, water-polo
🤽🏽‍♀	femme, joueuse de water-polo, joueuse de water-polo : peau légèrement mate, peau légèrement mate, sport, water-polo
🤽🏾‍♀	femme, joueuse de water-polo, joueuse de water-polo : peau mate, peau mate, sport, water-polo
🤽🏿‍♀	femme, joueuse de water-polo, joueuse de water-polo : peau foncée, peau foncée, sport, water-polo
🤾	handball, personne, personne jouant au handball, sport
🤾🏻	handball, peau claire, personne, personne jouant au handball, personne jouant au handball : peau claire, sport
🤾🏼	handball, peau moyennement claire, personne, personne jouant au handball, personne jouant au handball : peau moyennement claire, sport
🤾🏽	handball, peau légèrement mate, personne, personne jouant au handball, personne jouant au handball : peau légèrement mate, sport
🤾🏾	handball, peau mate, personne, personne jouant au handball, personne jouant au handball : peau mate, sport
🤾🏿	handball, peau foncée, personne, personne jouant au handball, personne jouant au handball : peau foncée, sport
🤾‍♂	handball, handballeur, homme, sport
🤾🏻‍♂	handball, handballeur, handballeur : peau claire, homme, peau claire, sport
🤾🏼‍♂	handball, handballeur, handballeur : peau moyennement claire, homme, peau moyennement claire, sport
🤾🏽‍♂	handball, handballeur, handballeur : peau légèrement mate, homme, peau légèrement mate, sport
🤾🏾‍♂	handball, handballeur, handballeur : peau mate, homme, peau mate, sport
🤾🏿‍♂	handball, handballeur, handballeur : peau foncée, homme, peau foncée, sport
🤾‍♀	femme, handball, handballeuse, sport
🤾🏻‍♀	femme, handball, handballeuse, handballeuse : peau claire, peau claire, sport
🤾🏼‍♀	femme, handball, handballeuse, handballeuse : peau moyennement claire, peau moyennement claire, sport
🤾🏽‍♀	femme, handball, handballeuse, handballeuse : peau légèrement mate, peau légèrement mate, sport
🤾🏾‍♀	femme, handball, handballeuse, handballeuse : peau mate, peau mate, sport
🤾🏿‍♀	femme, handball, handballeuse, handballeuse : peau foncée, peau foncée, sport
🤹	jongler, jongleur, multitâche, personne qui jongle
🤹🏻	jongler, jongleur, multitâche, peau claire, personne qui jongle, personne qui jongle : peau claire
🤹🏼	jongler, jongleur, multitâche, peau moyennement claire, personne qui jongle, personne qui jongle : peau moyennement claire
🤹🏽	jongler, jongleur, multitâche, peau légèrement mate, personne qui jongle, personne qui jongle : peau légèrement mate
🤹🏾	jongler, jongleur, multitâche, peau mate, personne qui jongle, personne qui jongle : peau mate
🤹🏿	jongler, jongleur, multitâche, peau foncée, personne qui jongle, personne qui jongle : peau foncée
🤹‍♂	homme, jonglage, jongleur, multitâche
🤹🏻‍♂	homme, jonglage, jongleur, jongleur : peau claire, multitâche, peau claire
🤹🏼‍♂	homme, jonglage, jongleur, jongleur : peau moyennement claire, multitâche, peau moyennement claire
🤹🏽‍♂	homme, jonglage, jongleur, jongleur : peau légèrement mate, multitâche, peau légèrement mate
🤹🏾‍♂	homme, jonglage, jongleur, jongleur : peau mate, multitâche, peau mate
🤹🏿‍♂	homme, jonglage, jongleur, jongleur : peau foncée, multitâche, peau foncée
