😀	face, grin, grinning face
🚴🏻‍♂	bicycle, biking, cyclist, light skin tone, man, man biking: light skin tone
🚴🏼‍♂	bicycle, biking, cyclist, man, man biking: medium-light skin tone, medium-light skin tone
🚴🏽‍♂	bicycle, biking, cyclist, man, man biking: medium skin tone, medium skin tone
🚴🏾‍♂	bicycle, biking, cyclist, man, man biking: medium-dark skin tone, medium-dark skin tone
🚴🏿‍♂	bicycle, biking, cyclist, dark skin tone, man, man biking: dark skin tone
🚴‍♀	bicycle, biking, cyclist, woman, woman biking
🚴🏻‍♀	bicycle, biking, cyclist, light skin tone, woman, woman biking: light skin tone
🚴🏼‍♀	bicycle, biking, cyclist, medium-light skin tone, woman, woman biking: medium-light skin tone
🚴🏽‍♀	bicycle, biking, cyclist, medium skin tone, woman, woman biking: medium skin tone
🚴🏾‍♀	bicycle, biking, cyclist, medium-dark skin tone, woman, woman biking: medium-dark skin tone
🚴🏿‍♀	bicycle, biking, cyclist, dark skin tone, woman, woman biking: dark skin tone
🚵	bicycle, bicyclist, bike, cyclist, mountain, person mountain biking
🚵🏻	bicycle, bicyclist, bike, cyclist, light skin tone, mountain, person mountain biking, person mountain biking: light skin tone
🚵🏼	bicycle, bicyclist, bike, cyclist, medium-light skin tone, mountain, person mountain biking, person mountain biking: medium-light skin tone
🚵🏽	bicycle, bicyclist, bike, cyclist, medium skin tone, mountain, person mountain biking, person mountain biking: medium skin tone
🚵🏾	bicycle, bicyclist, bike, cyclist, medium-dark skin tone, mountain, person mountain biking, person mountain biking: medium-dark skin tone
🚵🏿	bicycle, bicyclist, bike, cyclist, dark skin tone, mountain, person mountain biking, person mountain biking: dark skin tone
🚵‍♂	bicycle, bike, cyclist, man, man mountain biking, mountain
🚵🏻‍♂	bicycle, bike, cyclist, light skin tone, man, man mountain biking, man mountain biking: light skin tone, mountain
🚵🏼‍♂	bicycle, bike, cyclist, man, man mountain biking, man mountain biking: medium-light skin tone, medium-light skin tone, mountain
🚵🏽‍♂	bicycle, bike, cyclist, man, man mountain biking, man mountain biking: medium skin tone, medium skin tone, mountain
🚵🏾‍♂	bicycle, bike, cyclist, man, man mountain biking, man mountain biking: medium-dark skin tone, medium-dark skin tone, mountain
🚵🏿‍♂	bicycle, bike, cyclist, dark skin tone, man, man mountain biking, man mountain biking: dark skin tone, mountain
🚵‍♀	bicycle, bike, biking, cyclist, mountain, woman, woman mountain biking
🚵🏻‍♀	bicycle, bike, biking, cyclist, light skin tone, mountain, woman, woman mountain biking: light skin tone
🚵🏼‍♀	bicycle, bike, biking, cyclist, medium-light skin tone, mountain, woman, woman mountain biking: medium-light skin tone
🚵🏽‍♀	bicycle, bike, biking, cyclist, medium skin tone, mountain, woman, woman mountain biking: medium skin tone
🚵🏾‍♀	bicycle, bike, biking, cyclist, medium-dark skin tone, mountain, woman, woman mountain biking: medium-dark skin tone
🚵🏿‍♀	bicycle, bike, biking, cyclist, dark skin tone, mountain, woman, woman mountain biking: dark skin tone
🤸	cartwheel, gymnastics, person cartwheeling
🤸🏻	cartwheel, gymnastics, light skin tone, person cartwheeling, person cartwheeling: light skin tone
🤸🏼	cartwheel, gymnastics, medium-light skin tone, person cartwheeling, person cartwheeling: medium-light skin tone
🤸🏽	cartwheel, gymnastics, medium skin tone, person cartwheeling, person cartwheeling: medium skin tone
🤸🏾	cartwheel, gymnastics, medium-dark skin tone, person cartwheeling, person cartwheeling: medium-dark skin tone
🤸🏿	cartwheel, dark skin tone, gymnastics, person cartwheeling, person cartwheeling: dark skin tone
🤸‍♂	cartwheel, gymnastics, man, man cartwheeling
🤸🏻‍♂	cartwheel, gymnastics, light skin tone, man, man cartwheeling, man cartwheeling: light skin tone
🤸🏼‍♂	cartwheel, gymnastics, man, man cartwheeling, man cartwheeling: medium-light skin tone, medium-light skin tone
🤸🏽‍♂	cartwheel, gymnastics, man, man cartwheeling, man cartwheeling: medium skin tone, medium skin tone
🤸🏾‍♂	cartwheel, gymnastics, man, man cartwheeling, man cartwheeling: medium-dark skin tone, medium-dark skin tone
🤸🏿‍♂	cartwheel, dark skin tone, gymnastics, man, man cartwheeling, man cartwheeling: dark skin tone
🤸‍♀	cartwheel, gymnastics, woman, woman cartwheeling
🤸🏻‍♀	cartwheel, gymnastics, light skin tone, woman, woman cartwheeling, woman cartwheeling: light skin tone
🤸🏼‍♀	cartwheel, gymnastics, medium-light skin tone, woman, woman cartwheeling, woman cartwheeling: medium-light skin tone
🤸🏽‍♀	cartwheel, gymnastics, medium skin tone, woman, woman cartwheeling, woman cartwheeling: medium skin tone
🤸🏾‍♀	cartwheel, gymnastics, medium-dark skin tone, woman, woman cartwheeling, woman cartwheeling: medium-dark skin tone
🤸🏿‍♀	cartwheel, dark skin tone, gymnastics, woman, woman cartwheeling, woman cartwheeling: dark skin tone
🤼	people wrestling, wrestle, wrestler
🤼‍♂	men, men wrestling, wrestle
🤼‍♀	women, women wrestling, wrestle
🤽	person playing water polo, polo, water
🤽🏻	light skin tone, person playing water polo, person playing water polo: light skin tone, polo, water
🤽🏼	medium-light skin tone, person playing water polo, person playing water polo: medium-light skin tone, polo, water
🤽🏽	medium skin tone, person playing water polo, person playing water polo: medium skin tone, polo, water
🤽🏾	medium-dark skin tone, person playing water polo, person playing water polo: medium-dark skin tone, polo, water
🤽🏿	dark skin tone, person playing water polo, person playing water polo: dark skin tone, polo, water
🤽‍♂	man, man playing water polo, water polo
🤽🏻‍♂	light skin tone, man, man playing water polo, man playing water polo: light skin tone, water polo
🤽🏼‍♂	man, man playing water polo, man playing water polo: medium-light skin tone, medium-light skin tone, water polo
🤽🏽‍♂	man, man playing water polo, man playing water polo: medium skin tone, medium skin tone, water polo
🤽🏾‍♂	man, man playing water polo, man playing water polo: medium-dark skin tone, medium-dark skin tone, water polo
🤽🏿‍♂	dark skin tone, man, man playing water polo, man playing water polo: dark skin tone, water polo
🤽‍♀	water polo, woman, woman playing water polo
🤽🏻‍♀	light skin tone, water polo, woman, woman playing water polo, woman playing water polo: light skin tone
🤽🏼‍♀	medium-light skin tone, water polo, woman, woman playing water polo, woman playing water polo: medium-light skin tone
🤽🏽‍♀	medium skin tone, water polo, woman, woman playing water polo, woman playing water polo: medium skin tone
🤽🏾‍♀	medium-dark skin tone, water polo, woman, woman playing water polo, woman playing water polo: medium-dark skin tone
🤽🏿‍♀	dark skin tone, water polo, woman, woman playing water polo, woman playing water polo: dark skin tone
🤾	ball, handball, person playing handball
🤾🏻	ball, handball, light skin tone, person playing handball, person playing handball: light skin tone
🤾🏼	ball, handball, medium-light skin tone, person playing handball, person playing handball: medium-light skin tone
🤾🏽	ball, handball, medium skin tone, person playing handball, person playing handball: medium skin tone
🤾🏾	ball, handball, medium-dark skin tone, person playing handball, person playing handball: medium-dark skin tone
🤾🏿	ball, dark skin tone, handball, person playing handball, person playing handball: dark skin tone
🤾‍♂	handball, man, man playing handball
🤾🏻‍♂	handball, light skin tone, man, man playing handball, man playing handball: light skin tone
🤾🏼‍♂	handball, man, man playing handball, man playing handball: medium-light skin tone, medium-light skin tone
🤾🏽‍♂	handball, man, man playing handball, man playing handball: medium skin tone, medium skin tone
🤾🏾‍♂	handball, man, man playing handball, man playing handball: medium-dark skin tone, medium-dark skin tone
🤾🏿‍♂	dark skin tone, handball, man, man playing handball, man playing handball: dark skin tone
🤾‍♀	handball, woman, woman playing handball
🤾🏻‍♀	handball, light skin tone, woman, woman playing handball, woman playing handball: light skin tone
🤾🏼‍♀	handball, medium-light skin tone, woman, woman playing handball, woman playing handball: medium-light skin tone
🤾🏽‍♀	handball, medium skin tone, woman, woman playing handball, woman playing handball: medium skin tone
🤾🏾‍♀	handball, medium-dark skin tone, woman, woman playing handball, woman playing handball: medium-dark skin tone
🤾🏿‍♀	dark skin tone, handball, woman, woman playing handball, woman playing handball: dark skin tone
🤹	balance, juggle, multitask, person juggling, skill
🤹🏻	balance, juggle, light skin tone, multitask, person juggling, person juggling: light skin tone, skill
🤹🏼	balance, juggle, medium-light skin tone, multitask, person juggling, person juggling: medium-light skin tone, skill
🤹🏽	balance, juggle, medium skin tone, multitask, person juggling, person juggling: medium skin tone, skill
🤹🏾	balance, juggle, medium-dark skin tone, multitask, person juggling, person juggling: medium-dark skin tone, skill
🤹🏿	balance, dark skin tone, juggle, multitask, person juggling, person juggling: dark skin tone, skill
🤹‍♂	juggling, man, man juggling, multitask
🤹🏻‍♂	juggling, light skin tone, man, man juggling: light skin tone, multitask
🤹🏼‍♂	juggling, man, man juggling: medium-light skin tone, medium-light skin tone, multitask
🤹🏽‍♂	juggling, man, man juggling: medium skin tone, medium skin tone, multitask
🤹🏾‍♂	juggling, man, man juggling: medium-dark skin tone, medium-dark skin tone, multitask
🤹🏿‍♂	dark skin tone, juggling, man, man juggling: dark skin tone, multitask
🤹‍♀	juggling, multitask, woman, woman juggling
🤹🏻‍♀	juggling, light skin tone, multitask, woman, woman juggling: light skin tone
🤹🏼‍♀	juggling, medium-light skin tone, multitask, woman, woman juggling: medium-light skin tone
🤹🏽‍♀	juggling, medium skin tone, multitask, woman, woman juggling: medium skin tone
🤹🏾‍♀	juggling, medium-dark skin tone, multitask, woman, woman juggling: medium-dark skin tone
🤹🏿‍♀	dark skin tone, juggling, multitask, woman, woman juggling: dark skin tone
🧘	meditation, person in lotus position, yoga
🧘🏻	light skin tone, meditation, person in lotus position, person in lotus position: light skin tone, yoga
🧘🏼	meditation, medium-light skin tone, person in lotus position, person in lotus position: medium-light skin tone, yoga
🧘🏽	meditation, medium skin tone, person in lotus position, person in lotus position: medium skin tone, yoga
🧘🏾	meditation, medium-dark skin tone, person in lotus position, person in lotus position: medium-dark skin tone, yoga
🧘🏿	dark skin tone, meditation, person in lotus position, person in lotus position: dark skin tone, yoga
🧘‍♂	man in lotus position, meditation, yoga
🧘🏻‍♂	light skin tone, man in lotus position, man in lotus position: light skin tone, meditation, yoga
🧘🏼‍♂	man in lotus position, man in lotus position: medium-light skin tone, meditation, medium-light skin tone, yoga
🧘🏽‍♂	man in lotus position, man in lotus position: medium skin tone, meditation, medium skin tone, yoga
🧘🏾‍♂	man in lotus position, man in lotus position: medium-dark skin tone, meditation, medium-dark skin tone, yoga
🧘🏿‍♂	dark skin tone, man in lotus position, man in lotus position: dark skin tone, meditation, yoga
🧘‍♀	meditation, woman in lotus position, yoga
🧘🏻‍♀	light skin tone, meditation, woman in lotus position, woman in lotus position: light skin tone, yoga
🧘🏼‍♀	meditation, medium-light skin tone, woman in lotus position, woman in lotus position: medium-light skin tone, yoga
🧘🏽‍♀	meditation, medium skin tone, woman in lotus position, woman in lotus position: medium skin tone, yoga
🧘🏾‍♀	meditation, medium-dark skin tone, woman in lotus position, woman in lotus position: medium-dark skin tone, yoga
🧘🏿‍♀	dark skin tone, meditation, woman in lotus position, woman in lotus position: dark skin tone, yoga
