😀	išsišiepti, išsišiepęs veidas, veidas
🙌🏾	gestas, iškelta, kūnas, ranka, tamsios odos, valio, šventė, žmogus, iškėlęs rankas, žmogus, iškėlęs rankas: tamsios odos
🙌🏿	gestas, itin tamsios odos, iškelta, kūnas, ranka, valio, šventė, žmogus, iškėlęs rankas, žmogus, iškėlęs rankas: itin tamsios odos
👐	atviros, atviros rankos, rankos
👐🏻	atviros, atviros rankos: šviesios odos, rankos, šviesios odos
👐🏼	atviros, atviros rankos: vidutinio gymio, rankos, vidutinio gymio
👐🏽	atviros, atviros rankos: rusvos odos, rankos, rusvos odos
👐🏾	atviros, atviros rankos: tamsios odos, rankos, tamsios odos
👐🏿	atviros, atviros rankos: itin tamsios odos, itin tamsios odos, rankos
🤲	delnai suglausti, malda
🤲🏻	delnai suglausti, delnai suglausti: šviesios odos, malda, šviesios odos
🤲🏼	delnai suglausti, delnai suglausti: vidutinio gymio, malda, vidutinio gymio
🤲🏽	delnai suglausti, delnai suglausti: rusvos odos, malda, rusvos odos
🤲🏾	delnai suglausti, delnai suglausti: tamsios odos, malda, tamsios odos
🤲🏿	delnai suglausti, delnai suglausti: itin tamsios odos, itin tamsios odos, malda
🤝	pasisveikinimas, paspaudimas, ranka, rankos paspaudimas, susitarimas
🙏	melstis, prašymas, ranka, suglausti delnai
🙏🏻	melstis, prašymas, ranka, suglausti delnai, suglausti delnai: šviesios odos, šviesios odos
🙏🏼	melstis, prašymas, ranka, suglausti delnai, suglausti delnai: vidutinio gymio, vidutinio gymio
🙏🏽	melstis, prašymas, ranka, rusvos odos, suglausti delnai, suglausti delnai: rusvos odos
🙏🏾	melstis, prašymas, ranka, suglausti delnai, suglausti delnai: tamsios odos, tamsios odos
🙏🏿	itin tamsios odos, melstis, prašymas, ranka, suglausti delnai, suglausti delnai: itin tamsios odos
✍️	ranka, rašanti ranka, rašyti
✍🏻	ranka, rašanti ranka, rašanti ranka: šviesios odos, rašyti, šviesios odos
✍🏼	ranka, rašanti ranka, rašanti ranka: vidutinio gymio, rašyti, vidutinio gymio
✍🏽	ranka, rašanti ranka, rašanti ranka: rusvos odos, rašyti, rusvos odos
✍🏾	ranka, rašanti ranka, rašanti ranka: tamsios odos, rašyti, tamsios odos
✍🏿	itin tamsios odos, ranka, rašanti ranka, rašanti ranka: itin tamsios odos, rašyti
💅	kosmetika, lakas, manikiūras, nagų lakas, priežiūra
💅🏻	kosmetika, lakas, manikiūras, nagų lakas, nagų lakas: šviesios odos, priežiūra, šviesios odos
💅🏼	kosmetika, lakas, manikiūras, nagų lakas, nagų lakas: vidutinio gymio, priežiūra, vidutinio gymio
💅🏽	kosmetika, lakas, manikiūras, nagų lakas, nagų lakas: rusvos odos, priežiūra, rusvos odos
💅🏾	kosmetika, lakas, manikiūras, nagų lakas, nagų lakas: tamsios odos, priežiūra, tamsios odos
💅🏿	itin tamsios odos, kosmetika, lakas, manikiūras, nagų lakas, nagų lakas: itin tamsios odos, priežiūra
🤳	asmenukė, fotoaparatas, telefonas
🤳🏻	asmenukė, asmenukė: šviesios odos, fotoaparatas, telefonas, šviesios odos
🤳🏼	asmenukė, asmenukė: vidutinio gymio, fotoaparatas, telefonas, vidutinio gymio
🤳🏽	asmenukė, asmenukė: rusvos odos, fotoaparatas, rusvos odos, telefonas
🤳🏾	asmenukė, asmenukė: tamsios odos, fotoaparatas, tamsios odos, telefonas
🤳🏿	asmenukė, asmenukė: itin tamsios odos, fotoaparatas, itin tamsios odos, telefonas
💪	bicepsai, komiksas, kūnas, paryškinti bicepsai, raumuo
💪🏻	bicepsai, komiksas, kūnas, paryškinti bicepsai, paryškinti bicepsai: šviesios odos, raumuo, šviesios odos
💪🏼	bicepsai, komiksas, kūnas, paryškinti bicepsai, paryškinti bicepsai: vidutinio gymio, raumuo, vidutinio gymio
💪🏽	bicepsai, komiksas, kūnas, paryškinti bicepsai, paryškinti bicepsai: rusvos odos, raumuo, rusvos odos
💪🏾	bicepsai, komiksas, kūnas, paryškinti bicepsai, paryškinti bicepsai: tamsios odos, raumuo, tamsios odos
💪🏿	bicepsai, itin tamsios odos, komiksas, kūnas, paryškinti bicepsai, paryškinti bicepsai: itin tamsios odos, raumuo
🦾	mechaninė ranka, prieinamumas, protezavimas
🦿	mechaninė koja, prieinamumas, protezavimas
🦵	galūnė, koja, spyris
🦵🏻	galūnė, koja, koja: šviesios odos, spyris, šviesios odos
🦵🏼	galūnė, koja, koja: vidutinio gymio, spyris, vidutinio gymio
🦵🏽	galūnė, koja, koja: rusvos odos, rusvos odos, spyris
🦵🏾	galūnė, koja, koja: tamsios odos, spyris, tamsios odos
🦵🏿	galūnė, itin tamsios odos, koja, koja: itin tamsios odos, spyris
🦶	pėda, spyris, trepsėti
🦶🏻	pėda, pėda: šviesios odos, spyris, trepsėti, šviesios odos
🦶🏼	pėda, pėda: vidutinio gymio, spyris, trepsėti, vidutinio gymio
🦶🏽	pėda, pėda: rusvos odos, rusvos odos, spyris, trepsėti
🦶🏾	pėda, pėda: tamsios odos, spyris, tamsios odos, trepsėti
🦶🏿	itin tamsios odos, pėda, pėda: itin tamsios odos, spyris, trepsėti
👂️	ausis, kūnas
👂🏻	ausis, ausis: šviesios odos, kūnas, šviesios odos
👂🏼	ausis, ausis: vidutinio gymio, kūnas, vidutinio gymio
👂🏽	ausis, ausis: rusvos odos, kūnas, rusvos odos
👂🏾	ausis, ausis: tamsios odos, kūnas, tamsios odos
👂🏿	ausis, ausis: itin tamsios odos, itin tamsios odos, kūnas
🦻	ausis su klausos aparatu, neprigirdintis, prieinamumas
🦻🏻	ausis su klausos aparatu, ausis su klausos aparatu: šviesios odos, neprigirdintis, prieinamumas, šviesios odos
🦻🏼	ausis su klausos aparatu, ausis su klausos aparatu: vidutinio gymio, neprigirdintis, prieinamumas, vidutinio gymio
🦻🏽	ausis su klausos aparatu, ausis su klausos aparatu: rusvos odos, neprigirdintis, prieinamumas, rusvos odos
🦻🏾	ausis su klausos aparatu, ausis su klausos aparatu: tamsios odos, neprigirdintis, prieinamumas, tamsios odos
🦻🏿	ausis su klausos aparatu, ausis su klausos aparatu: itin tamsios odos, itin tamsios odos, neprigirdintis, prieinamumas
👃	kūnas, nosis
👃🏻	kūnas, nosis, nosis: šviesios odos, šviesios odos
👃🏼	kūnas, nosis, nosis: vidutinio gymio, vidutinio gymio
👃🏽	kūnas, nosis, nosis: rusvos odos, rusvos odos
👃🏾	kūnas, nosis, nosis: tamsios odos, tamsios odos
👃🏿	itin tamsios odos, kūnas, nosis, nosis: itin tamsios odos
🧠	protingas, smegenys
🦷	dantis, dantistas
🦴	kaulas, skeletas
👀	akis, akys, veidas
👁️	akis, kūnas
👅	kūnas, liežuvis
👄	burna, lūpos
👶	jaunas, kūdikis
👶🏻	jaunas, kūdikis, kūdikis: šviesios odos, šviesios odos
👶🏼	jaunas, kūdikis, kūdikis: vidutinio gymio, vidutinio gymio
👶🏽	jaunas, kūdikis, kūdikis: rusvos odos, rusvos odos
👶🏾	jaunas, kūdikis, kūdikis: tamsios odos, tamsios odos
👶🏿	itin tamsios odos, jaunas, kūdikis, kūdikis: itin tamsios odos
🧒	jaunas, neutrali lytis, vaikas
🧒🏻	jaunas, neutrali lytis, vaikas, vaikas: šviesios odos, šviesios odos
🧒🏼	jaunas, neutrali lytis, vaikas, vaikas: vidutinio gymio, vidutinio gymio
🧒🏽	jaunas, neutrali lytis, rusvos odos, vaikas, vaikas: rusvos odos
🧒🏾	jaunas, neutrali lytis, tamsios odos, vaikas, vaikas: tamsios odos
🧒🏿	itin tamsios odos, jaunas, neutrali lytis, vaikas, vaikas: itin tamsios odos
👦	berniukas, jaunas
👦🏻	berniukas, berniukas: šviesios odos, jaunas, šviesios odos
👦🏼	berniukas, berniukas: vidutinio gymio, jaunas, vidutinio gymio
👦🏽	berniukas, berniukas: rusvos odos, jaunas, rusvos odos
👦🏾	berniukas, berniukas: tamsios odos, jaunas, tamsios odos
👦🏿	berniukas, berniukas: itin tamsios odos, itin tamsios odos, jaunas
👧	jauna, mergaitė, mergelė, zodiakas
👧🏻	jauna, mergaitė, mergaitė: šviesios odos, mergelė, zodiakas, šviesios odos
👧🏼	jauna, mergaitė, mergaitė: vidutinio gymio, mergelė, vidutinio gymio, zodiakas
👧🏽	jauna, mergaitė, mergaitė: rusvos odos, mergelė, rusvos odos, zodiakas
👧🏾	jauna, mergaitė, mergaitė: tamsios odos, mergelė, tamsios odos, zodiakas
👧🏿	itin tamsios odos, jauna, mergaitė, mergaitė: itin tamsios odos, mergelė, zodiakas
🧑	neutrali lytis, suaugusysis
🧑🏻	neutrali lytis, suaugusysis, suaugusysis: šviesios odos, šviesios odos
🧑🏼	neutrali lytis, suaugusysis, suaugusysis: vidutinio gymio, vidutinio gymio
🧑🏽	neutrali lytis, rusvos odos, suaugusysis, suaugusysis: rusvos odos
🧑🏾	neutrali lytis, suaugusysis, suaugusysis: tamsios odos, tamsios odos
🧑🏿	itin tamsios odos, neutrali lytis, suaugusysis, suaugusysis: itin tamsios odos
👱	šviesiaplaukis, šviesiaplaukis žmogus
👱🏻	šviesiaplaukis, šviesiaplaukis žmogus, šviesiaplaukis žmogus: šviesios odos, šviesios odos
👱🏼	vidutinio gymio, šviesiaplaukis, šviesiaplaukis žmogus, šviesiaplaukis žmogus: vidutinio gymio
👱🏽	rusvos odos, šviesiaplaukis, šviesiaplaukis žmogus, šviesiaplaukis žmogus: rusvos odos
👱🏾	tamsios odos, šviesiaplaukis, šviesiaplaukis žmogus, šviesiaplaukis žmogus: tamsios odos
👱🏿	itin tamsios odos, šviesiaplaukis, šviesiaplaukis žmogus, šviesiaplaukis žmogus: itin tamsios odos
👨	vyras
👨🏻	vyras, vyras: šviesios odos, šviesios odos
👨🏼	vidutinio gymio, vyras, vyras: vidutinio gymio
👨🏽	rusvos odos, vyras, vyras: rusvos odos
👨🏾	tamsios odos, vyras, vyras: tamsios odos
👨🏿	itin tamsios odos, vyras, vyras: itin tamsios odos
🧔	barzda, barzdotas žmogus
🧔🏻	barzda, barzdotas žmogus, barzdotas žmogus: šviesios odos, šviesios odos
🧔🏼	barzda, barzdotas žmogus, barzdotas žmogus: vidutinio gymio, vidutinio gymio
🧔🏽	barzda, barzdotas žmogus, barzdotas žmogus: rusvos odos, rusvos odos
🧔🏾	barzda, barzdotas žmogus, barzdotas žmogus: tamsios odos, tamsios odos
🧔🏿	barzda, barzdotas žmogus, barzdotas žmogus: itin tamsios odos, itin tamsios odos
👱‍♂	blondinas, vyras
👱🏻‍♂	blondinas, blondinas: šviesios odos, vyras, šviesios odos
👱🏼‍♂	blondinas, blondinas: vidutinio gymio, vidutinio gymio, vyras
👱🏽‍♂	blondinas, blondinas: rusvos odos, rusvos odos, vyras
👱🏾‍♂	blondinas, blondinas: tamsios odos, tamsios odos, vyras
👱🏿‍♂	blondinas, blondinas: itin tamsios odos, itin tamsios odos, vyras
👨‍🦰	raudoni plaukai, vyras, vyras: raudoni plaukai
👨🏻‍🦰	raudoni plaukai, vyras, vyras: šviesios odos raudoni plaukai, šviesios odos
👨🏼‍🦰	raudoni plaukai, vidutinio gymio, vyras, vyras: vidutinio gymio raudoni plaukai
👨🏽‍🦰	raudoni plaukai, rusvos odos, vyras, vyras: rusvos odos raudoni plaukai
👨🏾‍🦰	raudoni plaukai, tamsios odos, vyras, vyras: tamsios odos raudoni plaukai
👨🏿‍🦰	itin tamsios odos, raudoni plaukai, vyras, vyras: itin tamsios odos raudoni plaukai
👨‍🦱	garbanoti plaukai, vyras, vyras: garbanoti plaukai
👨🏻‍🦱	garbanoti plaukai, vyras, vyras: šviesios odos garbanoti plaukai, šviesios odos
👨🏼‍🦱	garbanoti plaukai, vidutinio gymio, vyras, vyras: vidutinio gymio garbanoti plaukai
👨🏽‍🦱	garbanoti plaukai, rusvos odos, vyras, vyras: rusvos odos garbanoti plaukai
👨🏾‍🦱	garbanoti plaukai, tamsios odos, vyras, vyras: tamsios odos garbanoti plaukai
👨🏿‍🦱	garbanoti plaukai, itin tamsios odos, vyras, vyras: itin tamsios odos garbanoti plaukai
👨‍🦳	vyras, vyras: žili plaukai, žili plaukai
👨🏻‍🦳	vyras, vyras: šviesios odos žili plaukai, šviesios odos, žili plaukai
👨🏼‍🦳	vidutinio gymio, vyras, vyras: vidutinio gymio žili plaukai, žili plaukai
👨🏽‍🦳	rusvos odos, vyras, vyras: rusvos odos žili plaukai, žili plaukai
👨🏾‍🦳	tamsios odos, vyras, vyras: tamsios odos žili plaukai, žili plaukai
👨🏿‍🦳	itin tamsios odos, vyras, vyras: itin tamsios odos žili plaukai, žili plaukai
👨‍🦲	plikas, vyras, vyras: plikas
👨🏻‍🦲	plikas, vyras, vyras: šviesios odos plikas, šviesios odos
👨🏼‍🦲	plikas, vidutinio gymio, vyras, vyras: vidutinio gymio plikas
👨🏽‍🦲	plikas, rusvos odos, vyras, vyras: rusvos odos plikas
👨🏾‍🦲	plikas, tamsios odos, vyras, vyras: tamsios odos plikas
👨🏿‍🦲	itin tamsios odos, plikas, vyras, vyras: itin tamsios odos plikas
👩	moteris
👩🏻	moteris, moteris: šviesios odos, šviesios odos
👩🏼	moteris, moteris: vidutinio gymio, vidutinio gymio
👩🏽	moteris, moteris: rusvos odos, rusvos odos
👩🏾	moteris, moteris: tamsios odos, tamsios odos
👩🏿	itin tamsios odos, moteris, moteris: itin tamsios odos
👱‍♀	blondinė, moteris
👱🏻‍♀	blondinė, blondinė: šviesios odos, moteris, šviesios odos
👱🏼‍♀	blondinė, blondinė: vidutinio gymio, moteris, vidutinio gymio
👱🏽‍♀	blondinė, blondinė: rusvos odos, moteris, rusvos odos
👱🏾‍♀	blondinė, blondinė: tamsios odos, moteris, tamsios odos
👱🏿‍♀	blondinė, blondinė: itin tamsios odos, itin tamsios odos, moteris
👩‍🦰	moteris, moteris: raudoni plaukai, raudoni plaukai
👩🏻‍🦰	moteris, moteris: šviesios odos raudoni plaukai, raudoni plaukai, šviesios odos
👩🏼‍🦰	moteris, moteris: vidutinio gymio raudoni plaukai, raudoni plaukai, vidutinio gymio
👩🏽‍🦰	moteris, moteris: rusvos odos raudoni plaukai, raudoni plaukai, rusvos odos
👩🏾‍🦰	moteris, moteris: tamsios odos raudoni plaukai, raudoni plaukai, tamsios odos
👩🏿‍🦰	itin tamsios odos, moteris, moteris: itin tamsios odos raudoni plaukai, raudoni plaukai
👩‍🦱	garbanoti plaukai, moteris, moteris: garbanoti plaukai
👩🏻‍🦱	garbanoti plaukai, moteris, moteris: šviesios odos garbanoti plaukai, šviesios odos
👩🏼‍🦱	garbanoti plaukai, moteris, moteris: vidutinio gymio garbanoti plaukai, vidutinio gymio
👩🏽‍🦱	garbanoti plaukai, moteris, moteris: rusvos odos garbanoti plaukai, rusvos odos
👩🏾‍🦱	garbanoti plaukai, moteris, moteris: tamsios odos garbanoti plaukai, tamsios odos
👩🏿‍🦱	garbanoti plaukai, itin tamsios odos, moteris, moteris: itin tamsios odos garbanoti plaukai
👩‍🦳	moteris, moteris: žili plaukai, žili plaukai
👩🏻‍🦳	moteris, moteris: šviesios odos žili plaukai, šviesios odos, žili plaukai
👩🏼‍🦳	moteris, moteris: vidutinio gymio žili plaukai, vidutinio gymio, žili plaukai
👩🏽‍🦳	moteris, moteris: rusvos odos žili plaukai, rusvos odos, žili plaukai
👩🏾‍🦳	moteris, moteris: tamsios odos žili plaukai, tamsios odos, žili plaukai
👩🏿‍🦳	itin tamsios odos, moteris, moteris: itin tamsios odos žili plaukai, žili plaukai
👩‍🦲	moteris, moteris: plikas, plikas
👩🏻‍🦲	moteris, moteris: šviesios odos plikas, plikas, šviesios odos
👩🏼‍🦲	moteris, moteris: vidutinio gymio plikas, plikas, vidutinio gymio
👩🏽‍🦲	moteris, moteris: rusvos odos plikas, plikas, rusvos odos
👩🏾‍🦲	moteris, moteris: tamsios odos plikas, plikas, tamsios odos
👩🏿‍🦲	itin tamsios odos, moteris, moteris: itin tamsios odos plikas, plikas
🧓	kitas suaugusysis, neutrali lytis, senas
🧓🏻	kitas suaugusysis, kitas suaugusysis: šviesios odos, neutrali lytis, senas, šviesios odos
🧓🏼	kitas suaugusysis, kitas suaugusysis: vidutinio gymio, neutrali lytis, senas, vidutinio gymio
🧓🏽	kitas suaugusysis, kitas suaugusysis: rusvos odos, neutrali lytis, rusvos odos, senas
🧓🏾	kitas suaugusysis, kitas suaugusysis: tamsios odos, neutrali lytis, senas, tamsios odos
🧓🏿	itin tamsios odos, kitas suaugusysis, kitas suaugusysis: itin tamsios odos, neutrali lytis, senas
👴	senas, senas vyras, vyras
👴🏻	senas, senas vyras: šviesios odos, vyras, šviesios odos
👴🏼	senas, senas vyras: vidutinio gymio, vidutinio gymio, vyras
👴🏽	rusvos odos, senas, senas vyras: rusvos odos, vyras
👴🏾	senas, senas vyras: tamsios odos, tamsios odos, vyras
👴🏿	itin tamsios odos, senas, senas vyras: itin tamsios odos, vyras
👵	moteris, sena, sena moteris
👵🏻	moteris, sena, sena moteris: šviesios odos, šviesios odos
👵🏼	moteris, sena, sena moteris: vidutinio gymio, vidutinio gymio
👵🏽	moteris, rusvos odos, sena, sena moteris: rusvos odos
👵🏾	moteris, sena, sena moteris: tamsios odos, tamsios odos
👵🏿	itin tamsios odos, moteris, sena, sena moteris: itin tamsios odos
🙍	gestas, paniuręs žmogus, raukytis
🙍🏻	gestas, paniuręs žmogus, paniuręs žmogus: šviesios odos, raukytis, šviesios odos
🙍🏼	gestas, paniuręs žmogus, paniuręs žmogus: vidutinio gymio, raukytis, vidutinio gymio
🙍🏽	gestas, paniuręs žmogus, paniuręs žmogus: rusvos odos, raukytis, rusvos odos
🙍🏾	gestas, paniuręs žmogus, paniuręs žmogus: tamsios odos, raukytis, tamsios odos
🙍🏿	gestas, itin tamsios odos, paniuręs žmogus, paniuręs žmogus: itin tamsios odos, raukytis
🙍‍♂	gestas, paniuręs, paniuręs vyras, vyras
🙍🏻‍♂	gestas, paniuręs, paniuręs vyras: šviesios odos, vyras, šviesios odos
🙍🏼‍♂	gestas, paniuręs, paniuręs vyras: vidutinio gymio, vidutinio gymio, vyras
🙍🏽‍♂	gestas, paniuręs, paniuręs vyras: rusvos odos, rusvos odos, vyras
🙍🏾‍♂	gestas, paniuręs, paniuręs vyras: tamsios odos, tamsios odos, vyras
🙍🏿‍♂	gestas, itin tamsios odos, paniuręs, paniuręs vyras: itin tamsios odos, vyras
🙍‍♀	gestas, moteris, paniurusi, paniurusi moteris
🙍🏻‍♀	gestas, moteris, paniurusi, paniurusi moteris: šviesios odos, šviesios odos
🙍🏼‍♀	gestas, moteris, paniurusi, paniurusi moteris: vidutinio gymio, vidutinio gymio
🙍🏽‍♀	gestas, moteris, paniurusi, paniurusi moteris: rusvos odos, rusvos odos
🙍🏾‍♀	gestas, moteris, paniurusi, paniurusi moteris: tamsios odos, tamsios odos
🙍🏿‍♀	gestas, itin tamsios odos, moteris, paniurusi, paniurusi moteris: itin tamsios odos
🙎	gestas, raukymasis, susiraukęs žmogus
🙎🏻	gestas, raukymasis, susiraukęs žmogus, susiraukęs žmogus: šviesios odos, šviesios odos
🙎🏼	gestas, raukymasis, susiraukęs žmogus, susiraukęs žmogus: vidutinio gymio, vidutinio gymio
🙎🏽	gestas, raukymasis, rusvos odos, susiraukęs žmogus, susiraukęs žmogus: rusvos odos
🙎🏾	gestas, raukymasis, susiraukęs žmogus, susiraukęs žmogus: tamsios odos, tamsios odos
