😀	syrtarma, syrtarýan ýüz, ýüz
👐🏻	açmak, açyk deri reňki, açyk eller, açyk eller: açyk deri reňki, el
👐🏼	açmak, açyk eller, açyk eller: orta açyk deri reňki, el, orta açyk deri reňki
👐🏽	açmak, açyk eller, açyk eller: orta deri reňki, el, orta deri reňki
👐🏾	açmak, açyk eller, açyk eller: orta goýy deri reňki, el, orta goýy deri reňki
👐🏿	açmak, açyk eller, açyk eller: goýy deri reňki, el, goýy deri reňki
🤲	aýalary birleşdirip ýokary galdyrmak, doga-dileg
🤲🏻	açyk deri reňki, aýalary birleşdirip ýokary galdyrmak, aýalary birleşdirip ýokary galdyrmak: açyk deri reňki, doga-dileg
🤲🏼	aýalary birleşdirip ýokary galdyrmak, aýalary birleşdirip ýokary galdyrmak: orta açyk deri reňki, doga-dileg, orta açyk deri reňki
🤲🏽	aýalary birleşdirip ýokary galdyrmak, aýalary birleşdirip ýokary galdyrmak: orta deri reňki, doga-dileg, orta deri reňki
🤲🏾	aýalary birleşdirip ýokary galdyrmak, aýalary birleşdirip ýokary galdyrmak: orta goýy deri reňki, doga-dileg, orta goýy deri reňki
🤲🏿	aýalary birleşdirip ýokary galdyrmak, aýalary birleşdirip ýokary galdyrmak: goýy deri reňki, doga-dileg, goýy deri reňki
🤝	duşuşyk, el, el gysyşmak, gysyşmak, ylalaşyk
🙏	baş egmek, birleşen eller, dileg, el, eplenen, haýyş, sag boluň, soramak, üm
🙏🏻	açyk deri reňki, baş egmek, birleşen eller, birleşen eller: açyk deri reňki, dileg, el, eplenen, haýyş, sag boluň, soramak, üm
🙏🏼	baş egmek, birleşen eller, birleşen eller: orta açyk deri reňki, dileg, el, eplenen, haýyş, orta açyk deri reňki, sag boluň, soramak, üm
🙏🏽	baş egmek, birleşen eller, birleşen eller: orta deri reňki, dileg, el, eplenen, haýyş, orta deri reňki, sag boluň, soramak, üm
🙏🏾	baş egmek, birleşen eller, birleşen eller: orta goýy deri reňki, dileg, el, eplenen, haýyş, orta goýy deri reňki, sag boluň, soramak, üm
🙏🏿	baş egmek, birleşen eller, birleşen eller: goýy deri reňki, dileg, el, eplenen, goýy deri reňki, haýyş, sag boluň, soramak, üm
✍️	el, ýazmak, ýazýan el
✍🏻	açyk deri reňki, el, ýazmak, ýazýan el, ýazýan el: açyk deri reňki
✍🏼	el, orta açyk deri reňki, ýazmak, ýazýan el, ýazýan el: orta açyk deri reňki
✍🏽	el, orta deri reňki, ýazmak, ýazýan el, ýazýan el: orta deri reňki
✍🏾	el, orta goýy deri reňki, ýazmak, ýazýan el, ýazýan el: orta goýy deri reňki
✍🏿	el, goýy deri reňki, ýazmak, ýazýan el, ýazýan el: goýy deri reňki
💅	dyrnak, dyrnak lagy, ideg, kosmetika, lak, manikýur
💅🏻	açyk deri reňki, dyrnak, dyrnak lagy, dyrnak lagy: açyk deri reňki, ideg, kosmetika, lak, manikýur
💅🏼	dyrnak, dyrnak lagy, dyrnak lagy: orta açyk deri reňki, ideg, kosmetika, lak, manikýur, orta açyk deri reňki
💅🏽	dyrnak, dyrnak lagy, dyrnak lagy: orta deri reňki, ideg, kosmetika, lak, manikýur, orta deri reňki
💅🏾	dyrnak, dyrnak lagy, dyrnak lagy: orta goýy deri reňki, ideg, kosmetika, lak, manikýur, orta goýy deri reňki
💅🏿	dyrnak, dyrnak lagy, dyrnak lagy: goýy deri reňki, goýy deri reňki, ideg, kosmetika, lak, manikýur
🤳	kamera, selfi, telefon
🤳🏻	açyk deri reňki, kamera, selfi, selfi: açyk deri reňki, telefon
🤳🏼	kamera, orta açyk deri reňki, selfi, selfi: orta açyk deri reňki, telefon
🤳🏽	kamera, orta deri reňki, selfi, selfi: orta deri reňki, telefon
🤳🏾	kamera, orta goýy deri reňki, selfi, selfi: orta goýy deri reňki, telefon
🤳🏿	goýy deri reňki, kamera, selfi, selfi: goýy deri reňki, telefon
💪	biseps, bükmek, bükülen tirsek, dokuma, gülkünç
💪🏻	açyk deri reňki, biseps, bükmek, bükülen tirsek, bükülen tirsek: açyk deri reňki, dokuma, gülkünç
💪🏼	biseps, bükmek, bükülen tirsek, bükülen tirsek: orta açyk deri reňki, dokuma, gülkünç, orta açyk deri reňki
💪🏽	biseps, bükmek, bükülen tirsek, bükülen tirsek: orta deri reňki, dokuma, gülkünç, orta deri reňki
💪🏾	biseps, bükmek, bükülen tirsek, bükülen tirsek: orta goýy deri reňki, dokuma, gülkünç, orta goýy deri reňki
💪🏿	biseps, bükmek, bükülen tirsek, bükülen tirsek: goýy deri reňki, dokuma, goýy deri reňki, gülkünç
🦾	elýeterlilik, mehaniki gol, protez
🦿	elýeterlilik, mehaniki aýak, protez
🦵	agza, aýak, aýak2, depmek
🦵🏻	agza, açyk deri reňki, aýak, aýak2, aýak2: açyk deri reňki, depmek
🦵🏼	agza, aýak, aýak2, aýak2: orta açyk deri reňki, depmek, orta açyk deri reňki
🦵🏽	agza, aýak, aýak2, aýak2: orta deri reňki, depmek, orta deri reňki
🦵🏾	agza, aýak, aýak2, aýak2: orta goýy deri reňki, depmek, orta goýy deri reňki
🦵🏿	agza, aýak, aýak2, aýak2: goýy deri reňki, depmek, goýy deri reňki
🦶	aýak, basmak, depmek
🦶🏻	açyk deri reňki, aýak, aýak: açyk deri reňki, basmak, depmek
🦶🏼	aýak, aýak: orta açyk deri reňki, basmak, depmek, orta açyk deri reňki
🦶🏽	aýak, aýak: orta deri reňki, basmak, depmek, orta deri reňki
🦶🏾	aýak, aýak: orta goýy deri reňki, basmak, depmek, orta goýy deri reňki
🦶🏿	aýak, aýak: goýy deri reňki, basmak, depmek, goýy deri reňki
👂️	gulak, göwre
👂🏻	açyk deri reňki, gulak, gulak: açyk deri reňki, göwre
👂🏼	gulak, gulak: orta açyk deri reňki, göwre, orta açyk deri reňki
👂🏽	gulak, gulak: orta deri reňki, göwre, orta deri reňki
👂🏾	gulak, gulak: orta goýy deri reňki, göwre, orta goýy deri reňki
👂🏿	goýy deri reňki, gulak, gulak: goýy deri reňki, göwre
🦻	elýeterlilik, eşidiş enjamly gulak, gulagy agyr
🦻🏻	açyk deri reňki, elýeterlilik, eşidiş enjamly gulak, eşidiş enjamly gulak: açyk deri reňki, gulagy agyr
🦻🏼	elýeterlilik, eşidiş enjamly gulak, eşidiş enjamly gulak: orta açyk deri reňki, gulagy agyr, orta açyk deri reňki
🦻🏽	elýeterlilik, eşidiş enjamly gulak, eşidiş enjamly gulak: orta deri reňki, gulagy agyr, orta deri reňki
🦻🏾	elýeterlilik, eşidiş enjamly gulak, eşidiş enjamly gulak: orta goýy deri reňki, gulagy agyr, orta goýy deri reňki
🦻🏿	elýeterlilik, eşidiş enjamly gulak, eşidiş enjamly gulak: goýy deri reňki, goýy deri reňki, gulagy agyr
👃	burun, göwre
👃🏻	açyk deri reňki, burun, burun: açyk deri reňki, göwre
👃🏼	burun, burun: orta açyk deri reňki, göwre, orta açyk deri reňki
👃🏽	burun, burun: orta deri reňki, göwre, orta deri reňki
👃🏾	burun, burun: orta goýy deri reňki, göwre, orta goýy deri reňki
👃🏿	burun, burun: goýy deri reňki, goýy deri reňki, göwre
🧠	akylly, beýin
🦷	diş, stomatolog
🦴	skelet, süňk
👀	göz, gözler, ýüz
👁️	göwre, göz
👅	dil, göwre
👄	agyz, dodaklar
👶	bäbek, ýaş
👶🏻	açyk deri reňki, bäbek, bäbek: açyk deri reňki, ýaş
👶🏼	bäbek, bäbek: orta açyk deri reňki, orta açyk deri reňki, ýaş
👶🏽	bäbek, bäbek: orta deri reňki, orta deri reňki, ýaş
👶🏾	bäbek, bäbek: orta goýy deri reňki, orta goýy deri reňki, ýaş
👶🏿	bäbek, bäbek: goýy deri reňki, goýy deri reňki, ýaş
🧒	jynsyýeti görkezilmedik, jynsyýeti tapawut etmeýän, çaga, ýaş
🧒🏻	açyk deri reňki, jynsyýeti görkezilmedik, jynsyýeti tapawut etmeýän, çaga, çaga: açyk deri reňki, ýaş
🧒🏼	jynsyýeti görkezilmedik, jynsyýeti tapawut etmeýän, orta açyk deri reňki, çaga, çaga: orta açyk deri reňki, ýaş
🧒🏽	jynsyýeti görkezilmedik, jynsyýeti tapawut etmeýän, orta deri reňki, çaga, çaga: orta deri reňki, ýaş
🧒🏾	jynsyýeti görkezilmedik, jynsyýeti tapawut etmeýän, orta goýy deri reňki, çaga, çaga: orta goýy deri reňki, ýaş
🧒🏿	goýy deri reňki, jynsyýeti görkezilmedik, jynsyýeti tapawut etmeýän, çaga, çaga: goýy deri reňki, ýaş
👦	oglan, ýaş
👦🏻	açyk deri reňki, oglan, oglan: açyk deri reňki, ýaş
👦🏼	oglan, oglan: orta açyk deri reňki, orta açyk deri reňki, ýaş
👦🏽	oglan, oglan: orta deri reňki, orta deri reňki, ýaş
👦🏾	oglan, oglan: orta goýy deri reňki, orta goýy deri reňki, ýaş
👦🏿	goýy deri reňki, oglan, oglan: goýy deri reňki, ýaş
👧	Gyz, gyz, täleýnama, ýaş
👧🏻	Gyz, açyk deri reňki, gyz, gyz: açyk deri reňki, täleýnama, ýaş
👧🏼	Gyz, gyz, gyz: orta açyk deri reňki, orta açyk deri reňki, täleýnama, ýaş
👧🏽	Gyz, gyz, gyz: orta deri reňki, orta deri reňki, täleýnama, ýaş
👧🏾	Gyz, gyz, gyz: orta goýy deri reňki, orta goýy deri reňki, täleýnama, ýaş
👧🏿	Gyz, goýy deri reňki, gyz, gyz: goýy deri reňki, täleýnama, ýaş
🧑	adam, jynsyýeti görkezilmedik, jynsyýeti tapawut etmeýän, uly ýaşly
🧑🏻	adam, açyk deri reňki, jynsyýeti görkezilmedik, jynsyýeti tapawut etmeýän, uly ýaşly, uly ýaşly: açyk deri reňki
🧑🏼	adam, jynsyýeti görkezilmedik, jynsyýeti tapawut etmeýän, orta açyk deri reňki, uly ýaşly, uly ýaşly: orta açyk deri reňki
🧑🏽	adam, jynsyýeti görkezilmedik, jynsyýeti tapawut etmeýän, orta deri reňki, uly ýaşly, uly ýaşly: orta deri reňki
🧑🏾	adam, jynsyýeti görkezilmedik, jynsyýeti tapawut etmeýän, orta goýy deri reňki, uly ýaşly, uly ýaşly: orta goýy deri reňki
🧑🏿	adam, goýy deri reňki, jynsyýeti görkezilmedik, jynsyýeti tapawut etmeýän, uly ýaşly, uly ýaşly: goýy deri reňki
👱	sary saçly, sary saçly adam, saç
👱🏻	açyk deri reňki, sary saçly, sary saçly adam, sary saçly adam: açyk deri reňki, saç
👱🏼	orta açyk deri reňki, sary saçly, sary saçly adam, sary saçly adam: orta açyk deri reňki, saç
👱🏽	orta deri reňki, sary saçly, sary saçly adam, sary saçly adam: orta deri reňki, saç
👱🏾	orta goýy deri reňki, sary saçly, sary saçly adam, sary saçly adam: orta goýy deri reňki, saç
👱🏿	goýy deri reňki, sary saçly, sary saçly adam, sary saçly adam: goýy deri reňki, saç
👨	erkek, erkek adam, uly ýaşly
👨🏻	açyk deri reňki, erkek, erkek adam, erkek: açyk deri reňki, uly ýaşly
👨🏼	erkek, erkek adam, erkek: orta açyk deri reňki, orta açyk deri reňki, uly ýaşly
👨🏽	erkek, erkek adam, erkek: orta deri reňki, orta deri reňki, uly ýaşly
👨🏾	erkek, erkek adam, erkek: orta goýy deri reňki, orta goýy deri reňki, uly ýaşly
👨🏿	erkek, erkek adam, erkek: goýy deri reňki, goýy deri reňki, uly ýaşly
🧔	adam, adam: sakal, erkek adam, sakal
🧔🏻	adam, adam: açyk deri reňki, sakal, adam: sakal, açyk deri reňki, erkek adam, sakal
🧔🏼	adam, adam: orta açyk deri reňki, sakal, adam: sakal, erkek adam, orta açyk deri reňki, sakal
🧔🏽	adam, adam: orta deri reňki, sakal, adam: sakal, erkek adam, orta deri reňki, sakal
🧔🏾	adam, adam: orta goýy deri reňki, sakal, adam: sakal, erkek adam, orta goýy deri reňki, sakal
🧔🏿	adam, adam: goýy deri reňki, sakal, adam: sakal, erkek adam, goýy deri reňki, sakal
👱‍♂	erkek adam, erkek adam: sary saç, sary saçly, sary saçly erkek adam, saç
👱🏻‍♂	açyk deri reňki, erkek adam, erkek adam: açyk deri reňki, sary saç, erkek adam: sary saç, sary saç, sary saçly, sary saçly erkek adam, saç
👱🏼‍♂	erkek adam, erkek adam: orta açyk deri reňki, sary saç, erkek adam: sary saç, orta açyk deri reňki, sary saç, sary saçly, sary saçly erkek adam, saç
👱🏽‍♂	erkek adam, erkek adam: orta deri reňki, sary saç, erkek adam: sary saç, orta deri reňki, sary saç, sary saçly, sary saçly erkek adam, saç
👱🏾‍♂	erkek adam, erkek adam: orta goýy deri reňki, sary saç, erkek adam: sary saç, orta goýy deri reňki, sary saç, sary saçly, sary saçly erkek adam, saç
👱🏿‍♂	erkek adam, erkek adam: goýy deri reňki, sary saç, erkek adam: sary saç, goýy deri reňki, sary saç, sary saçly, sary saçly erkek adam, saç
👨‍🦰	erkek, erkek adam, erkek: gyzyl saç, gyzyl saç, uly ýaşly
👨🏻‍🦰	açyk deri reňki, erkek, erkek adam, erkek: açyk deri reňki, gyzyl saç, gyzyl saç, uly ýaşly
👨🏼‍🦰	erkek, erkek adam, erkek: orta açyk deri reňki, gyzyl saç, gyzyl saç, orta açyk deri reňki, uly ýaşly
👨🏽‍🦰	erkek, erkek adam, erkek: orta deri reňki, gyzyl saç, gyzyl saç, orta deri reňki, uly ýaşly
👨🏾‍🦰	erkek, erkek adam, erkek: orta goýy deri reňki, gyzyl saç, gyzyl saç, orta goýy deri reňki, uly ýaşly
👨🏿‍🦰	erkek, erkek adam, erkek: goýy deri reňki, gyzyl saç, goýy deri reňki, gyzyl saç, uly ýaşly
👨‍🦱	buýra saç, erkek, erkek adam, erkek: buýra saç, uly ýaşly
👨🏻‍🦱	açyk deri reňki, buýra saç, erkek, erkek adam, erkek: açyk deri reňki, buýra saç, uly ýaşly
👨🏼‍🦱	buýra saç, erkek, erkek adam, erkek: orta açyk deri reňki, buýra saç, orta açyk deri reňki, uly ýaşly
👨🏽‍🦱	buýra saç, erkek, erkek adam, erkek: orta deri reňki, buýra saç, orta deri reňki, uly ýaşly
👨🏾‍🦱	buýra saç, erkek, erkek adam, erkek: orta goýy deri reňki, buýra saç, orta goýy deri reňki, uly ýaşly
👨🏿‍🦱	buýra saç, erkek, erkek adam, erkek: goýy deri reňki, buýra saç, goýy deri reňki, uly ýaşly
👨‍🦳	ak saç, erkek, erkek adam, erkek: ak saç, uly ýaşly
👨🏻‍🦳	ak saç, açyk deri reňki, erkek, erkek adam, erkek: açyk deri reňki, ak saç, uly ýaşly
👨🏼‍🦳	ak saç, erkek, erkek adam, erkek: orta açyk deri reňki, ak saç, orta açyk deri reňki, uly ýaşly
👨🏽‍🦳	ak saç, erkek, erkek adam, erkek: orta deri reňki, ak saç, orta deri reňki, uly ýaşly
👨🏾‍🦳	ak saç, erkek, erkek adam, erkek: orta goýy deri reňki, ak saç, orta goýy deri reňki, uly ýaşly
👨🏿‍🦳	ak saç, erkek, erkek adam, erkek: goýy deri reňki, ak saç, goýy deri reňki, uly ýaşly
👨‍🦲	erkek, erkek adam, erkek: kel, kel, uly ýaşly
👨🏻‍🦲	açyk deri reňki, erkek, erkek adam, erkek: açyk deri reňki, kel, kel, uly ýaşly
👨🏼‍🦲	erkek, erkek adam, erkek: orta açyk deri reňki, kel, kel, orta açyk deri reňki, uly ýaşly
👨🏽‍🦲	erkek, erkek adam, erkek: orta deri reňki, kel, kel, orta deri reňki, uly ýaşly
👨🏾‍🦲	erkek, erkek adam, erkek: orta goýy deri reňki, kel, kel, orta goýy deri reňki, uly ýaşly
👨🏿‍🦲	erkek, erkek adam, erkek: goýy deri reňki, kel, goýy deri reňki, kel, uly ýaşly
👩	zenan
👩🏻	açyk deri reňki, zenan, zenan: açyk deri reňki
👩🏼	orta açyk deri reňki, zenan, zenan: orta açyk deri reňki
👩🏽	orta deri reňki, zenan, zenan: orta deri reňki
👩🏾	orta goýy deri reňki, zenan, zenan: orta goýy deri reňki
👩🏿	goýy deri reňki, zenan, zenan: goýy deri reňki
👱‍♀	sary saçly, sary saçly zenan, saç, zenan
👱🏻‍♀	açyk deri reňki, sary saçly, sary saçly zenan, sary saçly zenan: açyk deri reňki, saç, zenan
👱🏼‍♀	orta açyk deri reňki, sary saçly, sary saçly zenan, sary saçly zenan: orta açyk deri reňki, saç, zenan
👱🏽‍♀	orta deri reňki, sary saçly, sary saçly zenan, sary saçly zenan: orta deri reňki, saç, zenan
👱🏾‍♀	orta goýy deri reňki, sary saçly, sary saçly zenan, sary saçly zenan: orta goýy deri reňki, saç, zenan
👱🏿‍♀	goýy deri reňki, sary saçly, sary saçly zenan, sary saçly zenan: goýy deri reňki, saç, zenan
👩‍🦰	gyzyl saç, zenan, zenan: gyzyl saç
👩🏻‍🦰	açyk deri reňki, gyzyl saç, zenan, zenan: açyk deri reňki, gyzyl saç
👩🏼‍🦰	gyzyl saç, orta açyk deri reňki, zenan, zenan: orta açyk deri reňki, gyzyl saç
👩🏽‍🦰	gyzyl saç, orta deri reňki, zenan, zenan: orta deri reňki, gyzyl saç
👩🏾‍🦰	gyzyl saç, orta goýy deri reňki, zenan, zenan: orta goýy deri reňki, gyzyl saç
👩🏿‍🦰	goýy deri reňki, gyzyl saç, zenan, zenan: goýy deri reňki, gyzyl saç
👩‍🦱	buýra saç, zenan, zenan: buýra saç
👩🏻‍🦱	açyk deri reňki, buýra saç, zenan, zenan: açyk deri reňki, buýra saç
👩🏼‍🦱	buýra saç, orta açyk deri reňki, zenan, zenan: orta açyk deri reňki, buýra saç
👩🏽‍🦱	buýra saç, orta deri reňki, zenan, zenan: orta deri reňki, buýra saç
👩🏾‍🦱	buýra saç, orta goýy deri reňki, zenan, zenan: orta goýy deri reňki, buýra saç
👩🏿‍🦱	buýra saç, goýy deri reňki, zenan, zenan: goýy deri reňki, buýra saç
👩‍🦳	ak saç, zenan, zenan: ak saç
👩🏻‍🦳	ak saç, açyk deri reňki, zenan, zenan: açyk deri reňki, ak saç
👩🏼‍🦳	ak saç, orta açyk deri reňki, zenan, zenan: orta açyk deri reňki, ak saç
👩🏽‍🦳	ak saç, orta deri reňki, zenan, zenan: orta deri reňki, ak saç
👩🏾‍🦳	ak saç, orta goýy deri reňki, zenan, zenan: orta goýy deri reňki, ak saç
👩🏿‍🦳	ak saç, goýy deri reňki, zenan, zenan: goýy deri reňki, ak saç
👩‍🦲	kel, zenan, zenan: kel
👩🏻‍🦲	açyk deri reňki, kel, zenan, zenan: açyk deri reňki, kel
👩🏼‍🦲	kel, orta açyk deri reňki, zenan, zenan: orta açyk deri reňki, kel
👩🏽‍🦲	kel, orta deri reňki, zenan, zenan: orta deri reňki, kel
👩🏾‍🦲	kel, orta goýy deri reňki, zenan, zenan: orta goýy deri reňki, kel
👩🏿‍🦲	goýy deri reňki, kel, zenan, zenan: goýy deri reňki, kel
🧓	garry, gartaşan, gartaşan adam, jynsyýeti görkezilmedik, jynsyýeti tapawut etmeýän, uly ýaşly
🧓🏻	açyk deri reňki, garry, gartaşan, gartaşan adam, gartaşan: açyk deri reňki, jynsyýeti görkezilmedik, jynsyýeti tapawut etmeýän, uly ýaşly
🧓🏼	garry, gartaşan, gartaşan adam, gartaşan: orta açyk deri reňki, jynsyýeti görkezilmedik, jynsyýeti tapawut etmeýän, orta açyk deri reňki, uly ýaşly
🧓🏽	garry, gartaşan, gartaşan adam, gartaşan: orta deri reňki, jynsyýeti görkezilmedik, jynsyýeti tapawut etmeýän, orta deri reňki, uly ýaşly
🧓🏾	garry, gartaşan, gartaşan adam, gartaşan: orta goýy deri reňki, jynsyýeti görkezilmedik, jynsyýeti tapawut etmeýän, orta goýy deri reňki, uly ýaşly
🧓🏿	garry, gartaşan, gartaşan adam, gartaşan: goýy deri reňki, goýy deri reňki, jynsyýeti görkezilmedik, jynsyýeti tapawut etmeýän, uly ýaşly
👴	adam, garry, goja, uly ýaşly
👴🏻	adam, açyk deri reňki, garry, goja, goja: açyk deri reňki, uly ýaşly
👴🏼	adam, garry, goja, goja: orta açyk deri reňki, orta açyk deri reňki, uly ýaşly
👴🏽	adam, garry, goja, goja: orta deri reňki, orta deri reňki, uly ýaşly
👴🏾	adam, garry, goja, goja: orta goýy deri reňki, orta goýy deri reňki, uly ýaşly
👴🏿	adam, garry, goja, goja: goýy deri reňki, goýy deri reňki, uly ýaşly
👵	aýal, garry, garry aýal, uly ýaşly
👵🏻	açyk deri reňki, aýal, garry, garry aýal: açyk deri reňki, uly ýaşly
👵🏼	aýal, garry, garry aýal: orta açyk deri reňki, orta açyk deri reňki, uly ýaşly
