😀	මුහුණ, සිනහ මුහුණ, සිනහව
🧜🏻‍♀	දියකිඳුරා, දියකිඳුරා: සමෙහි වර්ගය-1-2, දියකිඳුරිය, සමෙහි වර්ගය-1-2
🧜🏼‍♀	දියකිඳුරා, දියකිඳුරා: සමෙහි වර්ගය-3, දියකිඳුරිය, සමෙහි වර්ගය-3
🧜🏽‍♀	දියකිඳුරා, දියකිඳුරා: සමෙහි වර්ගය-4, දියකිඳුරිය, සමෙහි වර්ගය-4
🧜🏾‍♀	දියකිඳුරා, දියකිඳුරා: සමෙහි වර්ගය-5, දියකිඳුරිය, සමෙහි වර්ගය-5
🧜🏿‍♀	දියකිඳුරා, දියකිඳුරා: සමෙහි වර්ගය-6, දියකිඳුරිය, සමෙහි වර්ගය-6
🧝	ඉන්ද්රජාලික, එල්ෆ්
🧝🏻	ඉන්ද්රජාලික, එල්ෆ්, එල්ෆ්: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2
🧝🏼	ඉන්ද්රජාලික, එල්ෆ්, එල්ෆ්: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3
🧝🏽	ඉන්ද්රජාලික, එල්ෆ්, එල්ෆ්: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4
🧝🏾	ඉන්ද්රජාලික, එල්ෆ්, එල්ෆ්: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5
🧝🏿	ඉන්ද්රජාලික, එල්ෆ්, එල්ෆ්: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6
🧝‍♂	පිරිමි එල්ෆ්, මායාවී
🧝🏻‍♂	පිරිමි එල්ෆ්, පිරිමි එල්ෆ්: සමෙහි වර්ගය-1-2, මායාවී, සමෙහි වර්ගය-1-2
🧝🏼‍♂	පිරිමි එල්ෆ්, පිරිමි එල්ෆ්: සමෙහි වර්ගය-3, මායාවී, සමෙහි වර්ගය-3
🧝🏽‍♂	පිරිමි එල්ෆ්, පිරිමි එල්ෆ්: සමෙහි වර්ගය-4, මායාවී, සමෙහි වර්ගය-4
🧝🏾‍♂	පිරිමි එල්ෆ්, පිරිමි එල්ෆ්: සමෙහි වර්ගය-5, මායාවී, සමෙහි වර්ගය-5
🧝🏿‍♂	පිරිමි එල්ෆ්, පිරිමි එල්ෆ්: සමෙහි වර්ගය-6, මායාවී, සමෙහි වර්ගය-6
🧝‍♀	ඉන්ද්රජාලික, ගෑනු එල්ෆ්
🧝🏻‍♀	ඉන්ද්රජාලික, ගෑනු එල්ෆ්, ගෑනු එල්ෆ්: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2
🧝🏼‍♀	ඉන්ද්රජාලික, ගෑනු එල්ෆ්, ගෑනු එල්ෆ්: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3
🧝🏽‍♀	ඉන්ද්රජාලික, ගෑනු එල්ෆ්, ගෑනු එල්ෆ්: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4
🧝🏾‍♀	ඉන්ද්රජාලික, ගෑනු එල්ෆ්, ගෑනු එල්ෆ්: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5
🧝🏿‍♀	ඉන්ද්රජාලික, ගෑනු එල්ෆ්, ගෑනු එල්ෆ්: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6
🧞	ජින්, බහිරවයා
🧞‍♂	ජින්, පිරිමි බහිරවයා
🧞‍♀	ගැනු බහිරවයා, ජින්
🧟	නොමැරුණු, මැරී ඇවිදිම, සොම්බි
🧟‍♂	නොමැරුණු, පිරිමි සොම්බි, මැරී ඇවිදිම
🧟‍♀	ගැනු සොම්බි, නොමැරුණු, මැරී ඇවිදිම
💆	පණිවිඩය, මුහුණ මසාජ් කිරීම, සැලෝනය
💆🏻	පණිවිඩය, මුහුණ මසාජ් කිරීම, මුහුණ මසාජ් කිරීම: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2, සැලෝනය
💆🏼	පණිවිඩය, මුහුණ මසාජ් කිරීම, මුහුණ මසාජ් කිරීම: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3, සැලෝනය
💆🏽	පණිවිඩය, මුහුණ මසාජ් කිරීම, මුහුණ මසාජ් කිරීම: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4, සැලෝනය
💆🏾	පණිවිඩය, මුහුණ මසාජ් කිරීම, මුහුණ මසාජ් කිරීම: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5, සැලෝනය
💆🏿	පණිවිඩය, මුහුණ මසාජ් කිරීම, මුහුණ මසාජ් කිරීම: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6, සැලෝනය
💆‍♂	පිරිමියා, මසාජ් කිරීම, මිනිහා, මුහුණ, මුහුණට මසාජ් කිරීමක් ලබන මිනිසා
💆🏻‍♂	පිරිමියා, මසාජ් කිරීම, මිනිහා, මුහුණ, මුහුණට මසාජ් කිරීමක් ලබන මිනිසා, මුහුණට මසාජ් කිරීමක් ලබන මිනිසා: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2
💆🏼‍♂	පිරිමියා, මසාජ් කිරීම, මිනිහා, මුහුණ, මුහුණට මසාජ් කිරීමක් ලබන මිනිසා, මුහුණට මසාජ් කිරීමක් ලබන මිනිසා: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3
💆🏽‍♂	පිරිමියා, මසාජ් කිරීම, මිනිහා, මුහුණ, මුහුණට මසාජ් කිරීමක් ලබන මිනිසා, මුහුණට මසාජ් කිරීමක් ලබන මිනිසා: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4
💆🏾‍♂	පිරිමියා, මසාජ් කිරීම, මිනිහා, මුහුණ, මුහුණට මසාජ් කිරීමක් ලබන මිනිසා, මුහුණට මසාජ් කිරීමක් ලබන මිනිසා: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5
💆🏿‍♂	පිරිමියා, මසාජ් කිරීම, මිනිහා, මුහුණ, මුහුණට මසාජ් කිරීමක් ලබන මිනිසා, මුහුණට මසාජ් කිරීමක් ලබන මිනිසා: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6
💆‍♀	කාන්තාව, මසාජ් කිරීම, මුහුණ, මුහුණට මසාජ් කිරීමක් ලබන කාන්තාව, ස්ත්‍රිය
💆🏻‍♀	කාන්තාව, මසාජ් කිරීම, මුහුණ, මුහුණට මසාජ් කිරීමක් ලබන කාන්තාව, මුහුණට මසාජ් කිරීමක් ලබන කාන්තාව: සමෙහි වර්ගය-1-2, සමෙහි වර්ගය-1-2, ස්ත්‍රිය
💆🏼‍♀	කාන්තාව, මසාජ් කිරීම, මුහුණ, මුහුණට මසාජ් කිරීමක් ලබන කාන්තාව, මුහුණට මසාජ් කිරීමක් ලබන කාන්තාව: සමෙහි වර්ගය-3, සමෙහි වර්ගය-3, ස්ත්‍රිය
💆🏽‍♀	කාන්තාව, මසාජ් කිරීම, මුහුණ, මුහුණට මසාජ් කිරීමක් ලබන කාන්තාව, මුහුණට මසාජ් කිරීමක් ලබන කාන්තාව: සමෙහි වර්ගය-4, සමෙහි වර්ගය-4, ස්ත්‍රිය
💆🏾‍♀	කාන්තාව, මසාජ් කිරීම, මුහුණ, මුහුණට මසාජ් කිරීමක් ලබන කාන්තාව, මුහුණට මසාජ් කිරීමක් ලබන කාන්තාව: සමෙහි වර්ගය-5, සමෙහි වර්ගය-5, ස්ත්‍රිය
💆🏿‍♀	කාන්තාව, මසාජ් කිරීම, මුහුණ, මුහුණට මසාජ් කිරීමක් ලබන කාන්තාව, මුහුණට මසාජ් කිරීමක් ලබන කාන්තාව: සමෙහි වර්ගය-6, සමෙහි වර්ගය-6, ස්ත්‍රිය
💇	කොණ්ඩය කැපීම, බාබර්, රූප, ලාවණ්‍යාගාරය
💇🏻	කොණ්ඩය කැපීම, කොණ්ඩය කැපීම: සමෙහි වර්ගය-1-2, බාබර්, රූප, ලාවණ්‍යාගාරය, සමෙහි වර්ගය-1-2
💇🏼	කොණ්ඩය කැපීම, කොණ්ඩය කැපීම: සමෙහි වර්ගය-3, බාබර්, රූප, ලාවණ්‍යාගාරය, සමෙහි වර්ගය-3
💇🏽	කොණ්ඩය කැපීම, කොණ්ඩය කැපීම: සමෙහි වර්ගය-4, බාබර්, රූප, ලාවණ්‍යාගාරය, සමෙහි වර්ගය-4
💇🏾	කොණ්ඩය කැපීම, කොණ්ඩය කැපීම: සමෙහි වර්ගය-5, බාබර්, රූප, ලාවණ්‍යාගාරය, සමෙහි වර්ගය-5
