😀	cara, cara sorridente, sorriso
👨🏽‍🎤	ator, cantor: tipo de pele 4, estrela, homem, rock, tipo de pele 4
👨🏾‍🎤	ator, cantor: tipo de pele 5, estrela, homem, rock, tipo de pele 5
👨🏿‍🎤	ator, cantor: tipo de pele 6, estrela, homem, rock, tipo de pele 6
👩‍🎤	atriz, estrela, mulher, rock
👩🏻‍🎤	atriz, cantora: tipo de pele 1–2, estrela, mulher, rock, tipo de pele 1–2
👩🏼‍🎤	atriz, cantora: tipo de pele 3, estrela, mulher, rock, tipo de pele 3
👩🏽‍🎤	atriz, cantora: tipo de pele 4, estrela, mulher, rock, tipo de pele 4
👩🏾‍🎤	atriz, cantora: tipo de pele 5, estrela, mulher, rock, tipo de pele 5
👩🏿‍🎤	atriz, cantora: tipo de pele 6, estrela, mulher, rock, tipo de pele 6
👨‍🎨	artista, artista (homem), homem, paleta
👨🏻‍🎨	artista, artista (homem), artista (homem): tipo de pele 1–2, homem, paleta, tipo de pele 1–2
👨🏼‍🎨	artista, artista (homem), artista (homem): tipo de pele 3, homem, paleta, tipo de pele 3
👨🏽‍🎨	artista, artista (homem), artista (homem): tipo de pele 4, homem, paleta, tipo de pele 4
👨🏾‍🎨	artista, artista (homem), artista (homem): tipo de pele 5, homem, paleta, tipo de pele 5
👨🏿‍🎨	artista, artista (homem), artista (homem): tipo de pele 6, homem, paleta, tipo de pele 6
👩‍🎨	artista, artista (mulher), mulher, paleta
👩🏻‍🎨	artista, artista (mulher), artista (mulher): tipo de pele 1–2, mulher, paleta, tipo de pele 1–2
👩🏼‍🎨	artista, artista (mulher), artista (mulher): tipo de pele 3, mulher, paleta, tipo de pele 3
👩🏽‍🎨	artista, artista (mulher), artista (mulher): tipo de pele 4, mulher, paleta, tipo de pele 4
👩🏾‍🎨	artista, artista (mulher), artista (mulher): tipo de pele 5, mulher, paleta, tipo de pele 5
👩🏿‍🎨	artista, artista (mulher), artista (mulher): tipo de pele 6, mulher, paleta, tipo de pele 6
👨‍✈	avião, homem, piloto, piloto (homem)
👨🏻‍✈	avião, homem, piloto, piloto (homem), piloto (homem): tipo de pele 1–2, tipo de pele 1–2
👨🏼‍✈	avião, homem, piloto, piloto (homem), piloto (homem): tipo de pele 3, tipo de pele 3
👨🏽‍✈	avião, homem, piloto, piloto (homem), piloto (homem): tipo de pele 4, tipo de pele 4
👨🏾‍✈	avião, homem, piloto, piloto (homem), piloto (homem): tipo de pele 5, tipo de pele 5
👨🏿‍✈	avião, homem, piloto, piloto (homem), piloto (homem): tipo de pele 6, tipo de pele 6
👩‍✈	avião, mulher, pilota, piloto (mulher)
👩🏻‍✈	avião, mulher, pilota, piloto (mulher), piloto (mulher): tipo de pele 1–2, tipo de pele 1–2
👩🏼‍✈	avião, mulher, pilota, piloto (mulher), piloto (mulher): tipo de pele 3, tipo de pele 3
👩🏽‍✈	avião, mulher, pilota, piloto (mulher), piloto (mulher): tipo de pele 4, tipo de pele 4
👩🏾‍✈	avião, mulher, pilota, piloto (mulher), piloto (mulher): tipo de pele 5, tipo de pele 5
👩🏿‍✈	avião, mulher, pilota, piloto (mulher), piloto (mulher): tipo de pele 6, tipo de pele 6
👨‍🚀	astronauta (homem), espaço, foguete, homem
👨🏻‍🚀	astronauta (homem), astronauta (homem): tipo de pele 1–2, espaço, foguete, homem, tipo de pele 1–2
👨🏼‍🚀	astronauta (homem), astronauta (homem): tipo de pele 3, espaço, foguete, homem, tipo de pele 3
👨🏽‍🚀	astronauta (homem), astronauta (homem): tipo de pele 4, espaço, foguete, homem, tipo de pele 4
👨🏾‍🚀	astronauta (homem), astronauta (homem): tipo de pele 5, espaço, foguete, homem, tipo de pele 5
👨🏿‍🚀	astronauta (homem), astronauta (homem): tipo de pele 6, espaço, foguete, homem, tipo de pele 6
👩‍🚀	astronauta (mulher), espaço, foguete, mulher
👩🏻‍🚀	astronauta (mulher), astronauta (mulher): tipo de pele 1–2, espaço, foguete, mulher, tipo de pele 1–2
👩🏼‍🚀	astronauta (mulher), astronauta (mulher): tipo de pele 3, espaço, foguete, mulher, tipo de pele 3
👩🏽‍🚀	astronauta (mulher), astronauta (mulher): tipo de pele 4, espaço, foguete, mulher, tipo de pele 4
👩🏾‍🚀	astronauta (mulher), astronauta (mulher): tipo de pele 5, espaço, foguete, mulher, tipo de pele 5
👩🏿‍🚀	astronauta (mulher), astronauta (mulher): tipo de pele 6, espaço, foguete, mulher, tipo de pele 6
👨‍🚒	bombeiro, carro de bombeiro, homem
👨🏻‍🚒	bombeiro, bombeiro: tipo de pele 1–2, carro de bombeiro, homem, tipo de pele 1–2
👨🏼‍🚒	bombeiro, bombeiro: tipo de pele 3, carro de bombeiro, homem, tipo de pele 3
👨🏽‍🚒	bombeiro, bombeiro: tipo de pele 4, carro de bombeiro, homem, tipo de pele 4
👨🏾‍🚒	bombeiro, bombeiro: tipo de pele 5, carro de bombeiro, homem, tipo de pele 5
👨🏿‍🚒	bombeiro, bombeiro: tipo de pele 6, carro de bombeiro, homem, tipo de pele 6
👩‍🚒	bombeira, carro de bombeiro, mulher
👩🏻‍🚒	bombeira, bombeira: tipo de pele 1–2, carro de bombeiro, mulher, tipo de pele 1–2
👩🏼‍🚒	bombeira, bombeira: tipo de pele 3, carro de bombeiro, mulher, tipo de pele 3
👩🏽‍🚒	bombeira, bombeira: tipo de pele 4, carro de bombeiro, mulher, tipo de pele 4
👩🏾‍🚒	bombeira, bombeira: tipo de pele 5, carro de bombeiro, mulher, tipo de pele 5
👩🏿‍🚒	bombeira, bombeira: tipo de pele 6, carro de bombeiro, mulher, tipo de pele 6
👮	agente, agente da polícia, polícia
👮🏻	agente, agente da polícia, agente da polícia: tipo de pele 1–2, polícia, tipo de pele 1–2
👮🏼	agente, agente da polícia, agente da polícia: tipo de pele 3, polícia, tipo de pele 3
👮🏽	agente, agente da polícia, agente da polícia: tipo de pele 4, polícia, tipo de pele 4
👮🏾	agente, agente da polícia, agente da polícia: tipo de pele 5, polícia, tipo de pele 5
👮🏿	agente, agente da polícia, agente da polícia: tipo de pele 6, polícia, tipo de pele 6
👮‍♂	agente, bófia, chui, homem, polícia (homem)
👮🏻‍♂	agente, bófia, chui, homem, polícia (homem), polícia (homem): tipo de pele 1–2, tipo de pele 1–2
👮🏼‍♂	agente, bófia, chui, homem, polícia (homem), polícia (homem): tipo de pele 3, tipo de pele 3
👮🏽‍♂	agente, bófia, chui, homem, polícia (homem), polícia (homem): tipo de pele 4, tipo de pele 4
👮🏾‍♂	agente, bófia, chui, homem, polícia (homem), polícia (homem): tipo de pele 5, tipo de pele 5
👮🏿‍♂	agente, bófia, chui, homem, polícia (homem), polícia (homem): tipo de pele 6, tipo de pele 6
👮‍♀	agente, bófia, chui, mulher, polícia (mulher)
👮🏻‍♀	agente, bófia, chui, mulher, polícia (mulher), polícia (mulher): tipo de pele 1–2, tipo de pele 1–2
👮🏼‍♀	agente, bófia, chui, mulher, polícia (mulher), polícia (mulher): tipo de pele 3, tipo de pele 3
👮🏽‍♀	agente, bófia, chui, mulher, polícia (mulher), polícia (mulher): tipo de pele 4, tipo de pele 4
👮🏾‍♀	agente, bófia, chui, mulher, polícia (mulher), polícia (mulher): tipo de pele 5, tipo de pele 5
👮🏿‍♀	agente, bófia, chui, mulher, polícia (mulher), polícia (mulher): tipo de pele 6, tipo de pele 6
🕵️	espião
🕵🏻	detetive: tipo de pele 1–2, espião, tipo de pele 1–2
🕵🏼	detetive: tipo de pele 3, espião, tipo de pele 3
🕵🏽	detetive: tipo de pele 4, espião, tipo de pele 4
🕵🏾	detetive: tipo de pele 5, espião, tipo de pele 5
🕵🏿	detetive: tipo de pele 6, espião, tipo de pele 6
🕵‍♂	detetive (homem), espião, homem, investigador
🕵🏻‍♂	detetive (homem), detetive (homem): tipo de pele 1–2, espião, homem, investigador, tipo de pele 1–2
🕵🏼‍♂	detetive (homem), detetive (homem): tipo de pele 3, espião, homem, investigador, tipo de pele 3
🕵🏽‍♂	detetive (homem), detetive (homem): tipo de pele 4, espião, homem, investigador, tipo de pele 4
🕵🏾‍♂	detetive (homem), detetive (homem): tipo de pele 5, espião, homem, investigador, tipo de pele 5
🕵🏿‍♂	detetive (homem), detetive (homem): tipo de pele 6, espião, homem, investigador, tipo de pele 6
🕵‍♀	detetive (mulher), espia, investigadora, mulher
🕵🏻‍♀	detetive (mulher), detetive (mulher): tipo de pele 1–2, espia, investigadora, mulher, tipo de pele 1–2
🕵🏼‍♀	detetive (mulher), detetive (mulher): tipo de pele 3, espia, investigadora, mulher, tipo de pele 3
🕵🏽‍♀	detetive (mulher), detetive (mulher): tipo de pele 4, espia, investigadora, mulher, tipo de pele 4
🕵🏾‍♀	detetive (mulher), detetive (mulher): tipo de pele 5, espia, investigadora, mulher, tipo de pele 5
🕵🏿‍♀	detetive (mulher), detetive (mulher): tipo de pele 6, espia, investigadora, mulher, tipo de pele 6
💂🏻	guarda, guarda: tipo de pele 1–2, segurança, tipo de pele 1–2
💂🏼	guarda, guarda: tipo de pele 3, segurança, tipo de pele 3
💂🏽	guarda, guarda: tipo de pele 4, segurança, tipo de pele 4
💂🏾	guarda, guarda: tipo de pele 5, segurança, tipo de pele 5
💂🏿	guarda, guarda: tipo de pele 6, segurança, tipo de pele 6
💂‍♂	guarda, homem, segurança (homem), uniforme
💂🏻‍♂	guarda, homem, segurança (homem), segurança (homem): tipo de pele 1–2, tipo de pele 1–2, uniforme
💂🏼‍♂	guarda, homem, segurança (homem), segurança (homem): tipo de pele 3, tipo de pele 3, uniforme
💂🏽‍♂	guarda, homem, segurança (homem), segurança (homem): tipo de pele 4, tipo de pele 4, uniforme
💂🏾‍♂	guarda, homem, segurança (homem), segurança (homem): tipo de pele 5, tipo de pele 5, uniforme
💂🏿‍♂	guarda, homem, segurança (homem), segurança (homem): tipo de pele 6, tipo de pele 6, uniforme
💂‍♀	guarda, mulher, segurança (mulher), uniforme
💂🏻‍♀	guarda, mulher, segurança (mulher), segurança (mulher): tipo de pele 1–2, tipo de pele 1–2, uniforme
💂🏼‍♀	guarda, mulher, segurança (mulher), segurança (mulher): tipo de pele 3, tipo de pele 3, uniforme
💂🏽‍♀	guarda, mulher, segurança (mulher), segurança (mulher): tipo de pele 4, tipo de pele 4, uniforme
💂🏾‍♀	guarda, mulher, segurança (mulher), segurança (mulher): tipo de pele 5, tipo de pele 5, uniforme
💂🏿‍♀	guarda, mulher, segurança (mulher), segurança (mulher): tipo de pele 6, tipo de pele 6, uniforme
👷	chapéu, construção, pedreiro, trabalhador, trabalhador da construção civil
👷🏻	chapéu, construção, pedreiro, pedreiro: tipo de pele 1–2, tipo de pele 1–2, trabalhador, trabalhador da construção civil
👷🏼	chapéu, construção, pedreiro, pedreiro: tipo de pele 3, tipo de pele 3, trabalhador, trabalhador da construção civil
👷🏽	chapéu, construção, pedreiro, pedreiro: tipo de pele 4, tipo de pele 4, trabalhador, trabalhador da construção civil
👷🏾	chapéu, construção, pedreiro, pedreiro: tipo de pele 5, tipo de pele 5, trabalhador, trabalhador da construção civil
👷🏿	chapéu, construção, pedreiro, pedreiro: tipo de pele 6, tipo de pele 6, trabalhador, trabalhador da construção civil
👷‍♂	construção, homem, operário da construção civil, trabalhador, trabalhador da construção civil
👷🏻‍♂	construção, homem, operário da construção civil, operário da construção civil: tipo de pele 1–2, tipo de pele 1–2, trabalhador, trabalhador da construção civil
👷🏼‍♂	construção, homem, operário da construção civil, operário da construção civil: tipo de pele 3, tipo de pele 3, trabalhador, trabalhador da construção civil
👷🏽‍♂	construção, homem, operário da construção civil, operário da construção civil: tipo de pele 4, tipo de pele 4, trabalhador, trabalhador da construção civil
👷🏾‍♂	construção, homem, operário da construção civil, operário da construção civil: tipo de pele 5, tipo de pele 5, trabalhador, trabalhador da construção civil
👷🏿‍♂	construção, homem, operário da construção civil, operário da construção civil: tipo de pele 6, tipo de pele 6, trabalhador, trabalhador da construção civil
👷‍♀	construção, mulher, operária da construção civil, trabalhadora, trabalhadora da construção civil
👷🏻‍♀	construção, mulher, operária da construção civil, operária da construção civil: tipo de pele 1–2, tipo de pele 1–2, trabalhadora, trabalhadora da construção civil
👷🏼‍♀	construção, mulher, operária da construção civil, operária da construção civil: tipo de pele 3, tipo de pele 3, trabalhadora, trabalhadora da construção civil
👷🏽‍♀	construção, mulher, operária da construção civil, operária da construção civil: tipo de pele 4, tipo de pele 4, trabalhadora, trabalhadora da construção civil
👷🏾‍♀	construção, mulher, operária da construção civil, operária da construção civil: tipo de pele 5, tipo de pele 5, trabalhadora, trabalhadora da construção civil
👷🏿‍♀	construção, mulher, operária da construção civil, operária da construção civil: tipo de pele 6, tipo de pele 6, trabalhadora, trabalhadora da construção civil
🤴🏻	príncipe, príncipe: tipo de pele 1–2, tipo de pele 1–2
🤴🏼	príncipe, príncipe: tipo de pele 3, tipo de pele 3
🤴🏽	príncipe, príncipe: tipo de pele 4, tipo de pele 4
🤴🏾	príncipe, príncipe: tipo de pele 5, tipo de pele 5
🤴🏿	príncipe, príncipe: tipo de pele 6, tipo de pele 6
👸	conto de fadas, fantasia
👸🏻	conto de fadas, fantasia, princesa: tipo de pele 1–2, tipo de pele 1–2
👸🏼	conto de fadas, fantasia, princesa: tipo de pele 3, tipo de pele 3
👸🏽	conto de fadas, fantasia, princesa: tipo de pele 4, tipo de pele 4
👸🏾	conto de fadas, fantasia, princesa: tipo de pele 5, tipo de pele 5
👸🏿	conto de fadas, fantasia, princesa: tipo de pele 6, tipo de pele 6
👳	homem, pessoa com turbante, turbante
👳🏻	homem, pessoa com turbante, pessoa com turbante: tipo de pele 1–2, tipo de pele 1–2, turbante
👳🏼	homem, pessoa com turbante, pessoa com turbante: tipo de pele 3, tipo de pele 3, turbante
👳🏽	homem, pessoa com turbante, pessoa com turbante: tipo de pele 4, tipo de pele 4, turbante
👳🏾	homem, pessoa com turbante, pessoa com turbante: tipo de pele 5, tipo de pele 5, turbante
👳🏿	homem, pessoa com turbante, pessoa com turbante: tipo de pele 6, tipo de pele 6, turbante
👳🏻‍♂	homem, homem com turbante, homem com turbante: tipo de pele 1–2, tipo de pele 1–2, turbante
👳🏼‍♂	homem, homem com turbante, homem com turbante: tipo de pele 3, tipo de pele 3, turbante
👳🏽‍♂	homem, homem com turbante, homem com turbante: tipo de pele 4, tipo de pele 4, turbante
👳🏾‍♂	homem, homem com turbante, homem com turbante: tipo de pele 5, tipo de pele 5, turbante
👳🏿‍♂	homem, homem com turbante, homem com turbante: tipo de pele 6, tipo de pele 6, turbante
👳🏻‍♀	mulher, mulher com turbante, mulher com turbante: tipo de pele 1–2, tipo de pele 1–2, turbante
👳🏼‍♀	mulher, mulher com turbante, mulher com turbante: tipo de pele 3, tipo de pele 3, turbante
👳🏽‍♀	mulher, mulher com turbante, mulher com turbante: tipo de pele 4, tipo de pele 4, turbante
👳🏾‍♀	mulher, mulher com turbante, mulher com turbante: tipo de pele 5, tipo de pele 5, turbante
👳🏿‍♀	mulher, mulher com turbante, mulher com turbante: tipo de pele 6, tipo de pele 6, turbante
