😀	kenua, sura inayokenua, uso
👊🏼	konde, kunja ngumi, mkono, mwili, ngozi nyeupe kiasi, ngumi, ngumi uliyonyooshewa, ngumi uliyonyooshewa: ngozi nyeupe kiasi
👊🏽	konde, kunja ngumi, mkono, mwili, ngozi ya kahawia, ngumi, ngumi uliyonyooshewa, ngumi uliyonyooshewa: ngozi ya kahawia
👊🏾	konde, kunja ngumi, mkono, mwili, ngozi nyeusi kiasi, ngumi, ngumi uliyonyooshewa, ngumi uliyonyooshewa: ngozi nyeusi kiasi
👊🏿	konde, kunja ngumi, mkono, mwili, ngozi nyeusi, ngumi, ngumi uliyonyooshewa, ngumi uliyonyooshewa: ngozi nyeusi
🤛	ngumi ya kulia
🤛🏻	ngozi nyeupe, ngumi ya kulia, ngumi ya kulia: ngozi nyeupe
🤛🏼	ngozi nyeupe kiasi, ngumi ya kulia, ngumi ya kulia: ngozi nyeupe kiasi
🤛🏽	ngozi ya kahawia, ngumi ya kulia, ngumi ya kulia: ngozi ya kahawia
🤛🏾	ngozi nyeusi kiasi, ngumi ya kulia, ngumi ya kulia: ngozi nyeusi kiasi
🤛🏿	ngozi nyeusi, ngumi ya kulia, ngumi ya kulia: ngozi nyeusi
🤜	ngumi ya kushoto
🤜🏻	ngozi nyeupe, ngumi ya kushoto, ngumi ya kushoto: ngozi nyeupe
🤜🏼	ngozi nyeupe kiasi, ngumi ya kushoto, ngumi ya kushoto: ngozi nyeupe kiasi
🤜🏽	ngozi ya kahawia, ngumi ya kushoto, ngumi ya kushoto: ngozi ya kahawia
🤜🏾	ngozi nyeusi kiasi, ngumi ya kushoto, ngumi ya kushoto: ngozi nyeusi kiasi
🤜🏿	ngozi nyeusi, ngumi ya kushoto, ngumi ya kushoto: ngozi nyeusi
👏	mikono inayopiga makofi, mkono, mwili, piga makofi
👏🏻	mikono inayopiga makofi, mikono inayopiga makofi: ngozi nyeupe, mkono, mwili, ngozi nyeupe, piga makofi
👏🏼	mikono inayopiga makofi, mikono inayopiga makofi: ngozi nyeupe kiasi, mkono, mwili, ngozi nyeupe kiasi, piga makofi
👏🏽	mikono inayopiga makofi, mikono inayopiga makofi: ngozi ya kahawia, mkono, mwili, ngozi ya kahawia, piga makofi
👏🏾	mikono inayopiga makofi, mikono inayopiga makofi: ngozi nyeusi kiasi, mkono, mwili, ngozi nyeusi kiasi, piga makofi
👏🏿	mikono inayopiga makofi, mikono inayopiga makofi: ngozi nyeusi, mkono, mwili, ngozi nyeusi, piga makofi
🙌	inuliwa, ishara, kusherehekea, mikono iliyoinuliwa, mkono, mwili, shangwe
🙌🏻	inuliwa, ishara, kusherehekea, mikono iliyoinuliwa, mikono iliyoinuliwa: ngozi nyeupe, mkono, mwili, ngozi nyeupe, shangwe
🙌🏼	inuliwa, ishara, kusherehekea, mikono iliyoinuliwa, mikono iliyoinuliwa: ngozi nyeupe kiasi, mkono, mwili, ngozi nyeupe kiasi, shangwe
🙌🏽	inuliwa, ishara, kusherehekea, mikono iliyoinuliwa, mikono iliyoinuliwa: ngozi ya kahawia, mkono, mwili, ngozi ya kahawia, shangwe
🙌🏾	inuliwa, ishara, kusherehekea, mikono iliyoinuliwa, mikono iliyoinuliwa: ngozi nyeusi kiasi, mkono, mwili, ngozi nyeusi kiasi, shangwe
🙌🏿	inuliwa, ishara, kusherehekea, mikono iliyoinuliwa, mikono iliyoinuliwa: ngozi nyeusi, mkono, mwili, ngozi nyeusi, shangwe
👐	mikono iliyowazi, mkono, mwili, wazi
👐🏻	mikono iliyowazi, mikono iliyowazi: ngozi nyeupe, mkono, mwili, ngozi nyeupe, wazi
👐🏼	mikono iliyowazi, mikono iliyowazi: ngozi nyeupe kiasi, mkono, mwili, ngozi nyeupe kiasi, wazi
👐🏽	mikono iliyowazi, mikono iliyowazi: ngozi ya kahawia, mkono, mwili, ngozi ya kahawia, wazi
👐🏾	mikono iliyowazi, mikono iliyowazi: ngozi nyeusi kiasi, mkono, mwili, ngozi nyeusi kiasi, wazi
👐🏿	mikono iliyowazi, mikono iliyowazi: ngozi nyeusi, mkono, mwili, ngozi nyeusi, wazi
🤲	maombi, viganja vilivyoshikana
🤲🏻	maombi, ngozi nyeupe, viganja vilivyoshikana, viganja vilivyoshikana: ngozi nyeupe
🤲🏼	maombi, ngozi nyeupe kiasi, viganja vilivyoshikana, viganja vilivyoshikana: ngozi nyeupe kiasi
🤲🏽	maombi, ngozi ya kahawia, viganja vilivyoshikana, viganja vilivyoshikana: ngozi ya kahawia
🤲🏾	maombi, ngozi nyeusi kiasi, viganja vilivyoshikana, viganja vilivyoshikana: ngozi nyeusi kiasi
🤲🏿	maombi, ngozi nyeusi, viganja vilivyoshikana, viganja vilivyoshikana: ngozi nyeusi
🤝	kusalimiana, maafikiano, makubaliano, salamu
🙏	asante, inama, kunjwa, mikono iliyokunjwa, omba, tafadhali, uliza
🙏🏻	asante, inama, kunjwa, mikono iliyokunjwa, mikono iliyokunjwa: ngozi nyeupe, ngozi nyeupe, omba, tafadhali, uliza
🙏🏼	asante, inama, kunjwa, mikono iliyokunjwa, mikono iliyokunjwa: ngozi nyeupe kiasi, ngozi nyeupe kiasi, omba, tafadhali, uliza
🙏🏽	asante, inama, kunjwa, mikono iliyokunjwa, mikono iliyokunjwa: ngozi ya kahawia, ngozi ya kahawia, omba, tafadhali, uliza
🙏🏾	asante, inama, kunjwa, mikono iliyokunjwa, mikono iliyokunjwa: ngozi nyeusi kiasi, ngozi nyeusi kiasi, omba, tafadhali, uliza
🙏🏿	asante, inama, kunjwa, mikono iliyokunjwa, mikono iliyokunjwa: ngozi nyeusi, ngozi nyeusi, omba, tafadhali, uliza
✍️	andika, mkono, mkono unaoandika, mwili
✍🏻	andika, mkono, mkono unaoandika, mkono unaoandika: ngozi nyeupe, mwili, ngozi nyeupe
✍🏼	andika, mkono, mkono unaoandika, mkono unaoandika: ngozi nyeupe kiasi, mwili, ngozi nyeupe kiasi
✍🏽	andika, mkono, mkono unaoandika, mkono unaoandika: ngozi ya kahawia, mwili, ngozi ya kahawia
✍🏾	andika, mkono, mkono unaoandika, mkono unaoandika: ngozi nyeusi kiasi, mwili, ngozi nyeusi kiasi
✍🏿	andika, mkono, mkono unaoandika, mkono unaoandika: ngozi nyeusi, mwili, ngozi nyeusi
💅	kucha, mwili, rangi, rangi ya kupaka kwenye kucha, tengeneza kucha, tunza, vipodozi
💅🏻	kucha, mwili, ngozi nyeupe, rangi, rangi ya kupaka kwenye kucha, rangi ya kupaka kwenye kucha: ngozi nyeupe, tengeneza kucha, tunza, vipodozi
💅🏼	kucha, mwili, ngozi nyeupe kiasi, rangi, rangi ya kupaka kwenye kucha, rangi ya kupaka kwenye kucha: ngozi nyeupe kiasi, tengeneza kucha, tunza, vipodozi
💅🏽	kucha, mwili, ngozi ya kahawia, rangi, rangi ya kupaka kwenye kucha, rangi ya kupaka kwenye kucha: ngozi ya kahawia, tengeneza kucha, tunza, vipodozi
💅🏾	kucha, mwili, ngozi nyeusi kiasi, rangi, rangi ya kupaka kwenye kucha, rangi ya kupaka kwenye kucha: ngozi nyeusi kiasi, tengeneza kucha, tunza, vipodozi
💅🏿	kucha, mwili, ngozi nyeusi, rangi, rangi ya kupaka kwenye kucha, rangi ya kupaka kwenye kucha: ngozi nyeusi, tengeneza kucha, tunza, vipodozi
🤳	kamera, selfie, simu
🤳🏻	kamera, ngozi nyeupe, selfie, selfie: ngozi nyeupe, simu
🤳🏼	kamera, ngozi nyeupe kiasi, selfie, selfie: ngozi nyeupe kiasi, simu
🤳🏽	kamera, ngozi ya kahawia, selfie, selfie: ngozi ya kahawia, simu
🤳🏾	kamera, ngozi nyeusi kiasi, selfie, selfie: ngozi nyeusi kiasi, simu
🤳🏿	kamera, ngozi nyeusi, selfie, selfie: ngozi nyeusi, simu
💪	kibonzo, misuli iliyotunishwa, misuli za mikono, musuli, mwili, tunisha
💪🏻	kibonzo, misuli iliyotunishwa, misuli iliyotunishwa: ngozi nyeupe, misuli za mikono, musuli, mwili, ngozi nyeupe, tunisha
💪🏼	kibonzo, misuli iliyotunishwa, misuli iliyotunishwa: ngozi nyeupe kiasi, misuli za mikono, musuli, mwili, ngozi nyeupe kiasi, tunisha
💪🏽	kibonzo, misuli iliyotunishwa, misuli iliyotunishwa: ngozi ya kahawia, misuli za mikono, musuli, mwili, ngozi ya kahawia, tunisha
💪🏾	kibonzo, misuli iliyotunishwa, misuli iliyotunishwa: ngozi nyeusi kiasi, misuli za mikono, musuli, mwili, ngozi nyeusi kiasi, tunisha
💪🏿	kibonzo, misuli iliyotunishwa, misuli iliyotunishwa: ngozi nyeusi, misuli za mikono, musuli, mwili, ngozi nyeusi, tunisha
🦾	mkono bandia, ufikivu
🦿	mguu bandia, ufikivu
🦵	mguu, teke
🦵🏻	mguu, mguu: ngozi nyeupe, ngozi nyeupe, teke
🦵🏼	mguu, mguu: ngozi nyeupe kiasi, ngozi nyeupe kiasi, teke
🦵🏽	mguu, mguu: ngozi ya kahawia, ngozi ya kahawia, teke
🦵🏾	mguu, mguu: ngozi nyeusi kiasi, ngozi nyeusi kiasi, teke
🦵🏿	mguu, mguu: ngozi nyeusi, ngozi nyeusi, teke
🦶	kanyaga, piga teke, wayo
🦶🏻	kanyaga, ngozi nyeupe, piga teke, wayo, wayo: ngozi nyeupe
🦶🏼	kanyaga, ngozi nyeupe kiasi, piga teke, wayo, wayo: ngozi nyeupe kiasi
🦶🏽	kanyaga, ngozi ya kahawia, piga teke, wayo, wayo: ngozi ya kahawia
🦶🏾	kanyaga, ngozi nyeusi kiasi, piga teke, wayo, wayo: ngozi nyeusi kiasi
🦶🏿	kanyaga, ngozi nyeusi, piga teke, wayo, wayo: ngozi nyeusi
👂️	mwili, sikio
👂🏻	mwili, ngozi nyeupe, sikio, sikio: ngozi nyeupe
👂🏼	mwili, ngozi nyeupe kiasi, sikio, sikio: ngozi nyeupe kiasi
👂🏽	mwili, ngozi ya kahawia, sikio, sikio: ngozi ya kahawia
👂🏾	mwili, ngozi nyeusi kiasi, sikio, sikio: ngozi nyeusi kiasi
👂🏿	mwili, ngozi nyeusi, sikio, sikio: ngozi nyeusi
🦻	sikio lenye kifaa cha kusikia, tatizo la kutosikia vizuri, ufikivu
🦻🏻	ngozi nyeupe, sikio lenye kifaa cha kusikia, sikio lenye kifaa cha kusikia: ngozi nyeupe, tatizo la kutosikia vizuri, ufikivu
🦻🏼	ngozi nyeupe kiasi, sikio lenye kifaa cha kusikia, sikio lenye kifaa cha kusikia: ngozi nyeupe kiasi, tatizo la kutosikia vizuri, ufikivu
🦻🏽	ngozi ya kahawia, sikio lenye kifaa cha kusikia, sikio lenye kifaa cha kusikia: ngozi ya kahawia, tatizo la kutosikia vizuri, ufikivu
🦻🏾	ngozi nyeusi kiasi, sikio lenye kifaa cha kusikia, sikio lenye kifaa cha kusikia: ngozi nyeusi kiasi, tatizo la kutosikia vizuri, ufikivu
🦻🏿	ngozi nyeusi, sikio lenye kifaa cha kusikia, sikio lenye kifaa cha kusikia: ngozi nyeusi, tatizo la kutosikia vizuri, ufikivu
👃	mwili, pua
👃🏻	mwili, ngozi nyeupe, pua, pua: ngozi nyeupe
👃🏼	mwili, ngozi nyeupe kiasi, pua, pua: ngozi nyeupe kiasi
👃🏽	mwili, ngozi ya kahawia, pua, pua: ngozi ya kahawia
👃🏾	mwili, ngozi nyeusi kiasi, pua, pua: ngozi nyeusi kiasi
👃🏿	mwili, ngozi nyeusi, pua, pua: ngozi nyeusi
🧠	mwerevu, ubongo
🦷	daktari wa meno, jino
🦴	gofu, mfupa
👀	jicho, macho, mwili, uso
👁️	jicho, mwili
👅	mwili, ulimi
👄	mdomo, midomo, mwili
👶	mchanga, mtoto
👶🏻	mchanga, mtoto, mtoto: ngozi nyeupe, ngozi nyeupe
👶🏼	mchanga, mtoto, mtoto: ngozi nyeupe kiasi, ngozi nyeupe kiasi
👶🏽	mchanga, mtoto, mtoto: ngozi ya kahawia, ngozi ya kahawia
👶🏾	mchanga, mtoto, mtoto: ngozi nyeusi kiasi, ngozi nyeusi kiasi
👶🏿	mchanga, mtoto, mtoto: ngozi nyeusi, ngozi nyeusi
🧒	asiyejitambulisha na jinsia yoyote, kijana
🧒🏻	asiyejitambulisha na jinsia yoyote, kijana, kijana: ngozi nyeupe, ngozi nyeupe
🧒🏼	asiyejitambulisha na jinsia yoyote, kijana, kijana: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🧒🏽	asiyejitambulisha na jinsia yoyote, kijana, kijana: ngozi ya kahawia, ngozi ya kahawia
🧒🏾	asiyejitambulisha na jinsia yoyote, kijana, kijana: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🧒🏿	asiyejitambulisha na jinsia yoyote, kijana, kijana: ngozi nyeusi, ngozi nyeusi
👦	kijana, mvulana
👦🏻	kijana, mvulana, mvulana: ngozi nyeupe, ngozi nyeupe
👦🏼	kijana, mvulana, mvulana: ngozi nyeupe kiasi, ngozi nyeupe kiasi
👦🏽	kijana, mvulana, mvulana: ngozi ya kahawia, ngozi ya kahawia
👦🏾	kijana, mvulana, mvulana: ngozi nyeusi kiasi, ngozi nyeusi kiasi
👦🏿	kijana, mvulana, mvulana: ngozi nyeusi, ngozi nyeusi
👧	bikira, mashuke, msichana, mwali, zodiaki
👧🏻	bikira, mashuke, msichana, msichana: ngozi nyeupe, mwali, ngozi nyeupe, zodiaki
👧🏼	bikira, mashuke, msichana, msichana: ngozi nyeupe kiasi, mwali, ngozi nyeupe kiasi, zodiaki
👧🏽	bikira, mashuke, msichana, msichana: ngozi ya kahawia, mwali, ngozi ya kahawia, zodiaki
👧🏾	bikira, mashuke, msichana, msichana: ngozi nyeusi kiasi, mwali, ngozi nyeusi kiasi, zodiaki
👧🏿	bikira, mashuke, msichana, msichana: ngozi nyeusi, mwali, ngozi nyeusi, zodiaki
🧑	asiyejitambulisha na jinsia yoyote, mtu mzima
🧑🏻	asiyejitambulisha na jinsia yoyote, mtu mzima, mtu mzima: ngozi nyeupe, ngozi nyeupe
🧑🏼	asiyejitambulisha na jinsia yoyote, mtu mzima, mtu mzima: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🧑🏽	asiyejitambulisha na jinsia yoyote, mtu mzima, mtu mzima: ngozi ya kahawia, ngozi ya kahawia
🧑🏾	asiyejitambulisha na jinsia yoyote, mtu mzima, mtu mzima: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🧑🏿	asiyejitambulisha na jinsia yoyote, mtu mzima, mtu mzima: ngozi nyeusi, ngozi nyeusi
👱	mtu mwenye nywele za rangi ya shaba au kimanjano, mtu mwenye nywele za shaba, rangi ya shaba au kimanjano
👱🏻	mtu mwenye nywele za rangi ya shaba au kimanjano, mtu mwenye nywele za shaba, mtu mwenye nywele za shaba: ngozi nyeupe, ngozi nyeupe, rangi ya shaba au kimanjano
👱🏼	mtu mwenye nywele za rangi ya shaba au kimanjano, mtu mwenye nywele za shaba, mtu mwenye nywele za shaba: ngozi nyeupe kiasi, ngozi nyeupe kiasi, rangi ya shaba au kimanjano
👱🏽	mtu mwenye nywele za rangi ya shaba au kimanjano, mtu mwenye nywele za shaba, mtu mwenye nywele za shaba: ngozi ya kahawia, ngozi ya kahawia, rangi ya shaba au kimanjano
👱🏾	mtu mwenye nywele za rangi ya shaba au kimanjano, mtu mwenye nywele za shaba, mtu mwenye nywele za shaba: ngozi nyeusi kiasi, ngozi nyeusi kiasi, rangi ya shaba au kimanjano
👱🏿	mtu mwenye nywele za rangi ya shaba au kimanjano, mtu mwenye nywele za shaba, mtu mwenye nywele za shaba: ngozi nyeusi, ngozi nyeusi, rangi ya shaba au kimanjano
👨	mtu mzima, mwanamume
👨🏻	mtu mzima, mwanamume, mwanamume: ngozi nyeupe, ngozi nyeupe
👨🏼	mtu mzima, mwanamume, mwanamume: ngozi nyeupe kiasi, ngozi nyeupe kiasi
👨🏽	mtu mzima, mwanamume, mwanamume: ngozi ya kahawia, ngozi ya kahawia
👨🏾	mtu mzima, mwanamume, mwanamume: ngozi nyeusi kiasi, ngozi nyeusi kiasi
👨🏿	mtu mzima, mwanamume, mwanamume: ngozi nyeusi, ngozi nyeusi
🧔	mtu mwenye ndevu, ndevu
🧔🏻	mtu mwenye ndevu, mtu mwenye ndevu: ngozi nyeupe, ndevu, ngozi nyeupe
🧔🏼	mtu mwenye ndevu, mtu mwenye ndevu: ngozi nyeupe kiasi, ndevu, ngozi nyeupe kiasi
🧔🏽	mtu mwenye ndevu, mtu mwenye ndevu: ngozi ya kahawia, ndevu, ngozi ya kahawia
🧔🏾	mtu mwenye ndevu, mtu mwenye ndevu: ngozi nyeusi kiasi, ndevu, ngozi nyeusi kiasi
🧔🏿	mtu mwenye ndevu, mtu mwenye ndevu: ngozi nyeusi, ndevu, ngozi nyeusi
👱‍♂	manjano, mwanamume mwenye nywele ya kimanjano, nywele, piko
👱🏻‍♂	manjano, mwanamume mwenye nywele ya kimanjano, mwanamume mwenye nywele ya kimanjano: ngozi nyeupe, ngozi nyeupe, nywele, piko
👱🏼‍♂	manjano, mwanamume mwenye nywele ya kimanjano, mwanamume mwenye nywele ya kimanjano: ngozi nyeupe kiasi, ngozi nyeupe kiasi, nywele, piko
👱🏽‍♂	manjano, mwanamume mwenye nywele ya kimanjano, mwanamume mwenye nywele ya kimanjano: ngozi ya kahawia, ngozi ya kahawia, nywele, piko
👱🏾‍♂	manjano, mwanamume mwenye nywele ya kimanjano, mwanamume mwenye nywele ya kimanjano: ngozi nyeusi kiasi, ngozi nyeusi kiasi, nywele, piko
👱🏿‍♂	manjano, mwanamume mwenye nywele ya kimanjano, mwanamume mwenye nywele ya kimanjano: ngozi nyeusi, ngozi nyeusi, nywele, piko
👨‍🦰	mtu mzima, mwanamume, mwanamume: nywele nyekundu, nywele nyekundu
👨🏻‍🦰	mtu mzima, mwanamume, mwanamume: ngozi nyeupe na nywele nyekundu, ngozi nyeupe, nywele nyekundu
👨🏼‍🦰	mtu mzima, mwanamume, mwanamume: ngozi nyeupe kiasi na nywele nyekundu, ngozi nyeupe kiasi, nywele nyekundu
👨🏽‍🦰	mtu mzima, mwanamume, mwanamume: ngozi ya kahawia na nywele nyekundu, ngozi ya kahawia, nywele nyekundu
👨🏾‍🦰	mtu mzima, mwanamume, mwanamume: ngozi nyeusi kiasi na nywele nyekundu, ngozi nyeusi kiasi, nywele nyekundu
👨🏿‍🦰	mtu mzima, mwanamume, mwanamume: ngozi nyeusi na nywele nyekundu, ngozi nyeusi, nywele nyekundu
👨‍🦱	mtu mzima, mwanamume, mwanamume: nywele yenye mawimbi, nywele yenye mawimbi
👨🏻‍🦱	mtu mzima, mwanamume, mwanamume: ngozi nyeupe na nywele yenye mawimbi, ngozi nyeupe, nywele yenye mawimbi
👨🏼‍🦱	mtu mzima, mwanamume, mwanamume: ngozi nyeupe kiasi na nywele yenye mawimbi, ngozi nyeupe kiasi, nywele yenye mawimbi
👨🏽‍🦱	mtu mzima, mwanamume, mwanamume: ngozi ya kahawia na nywele yenye mawimbi, ngozi ya kahawia, nywele yenye mawimbi
👨🏾‍🦱	mtu mzima, mwanamume, mwanamume: ngozi nyeusi kiasi na nywele yenye mawimbi, ngozi nyeusi kiasi, nywele yenye mawimbi
👨🏿‍🦱	mtu mzima, mwanamume, mwanamume: ngozi nyeusi na nywele yenye mawimbi, ngozi nyeusi, nywele yenye mawimbi
👨‍🦳	mtu mzima, mwanamume, mwanamume: nywele nyeupe, nywele nyeupe
👨🏻‍🦳	mtu mzima, mwanamume, mwanamume: ngozi nyeupe na nywele nyeupe, ngozi nyeupe, nywele nyeupe
👨🏼‍🦳	mtu mzima, mwanamume, mwanamume: ngozi nyeupe kiasi na nywele nyeupe, ngozi nyeupe kiasi, nywele nyeupe
👨🏽‍🦳	mtu mzima, mwanamume, mwanamume: ngozi ya kahawia na nywele nyeupe, ngozi ya kahawia, nywele nyeupe
👨🏾‍🦳	mtu mzima, mwanamume, mwanamume: ngozi nyeusi kiasi na nywele nyeupe, ngozi nyeusi kiasi, nywele nyeupe
👨🏿‍🦳	mtu mzima, mwanamume, mwanamume: ngozi nyeusi na nywele nyeupe, ngozi nyeusi, nywele nyeupe
👨‍🦲	mtu mzima, mwanamume, mwanamume: upara, upara
👨🏻‍🦲	mtu mzima, mwanamume, mwanamume: ngozi nyeupe na upara, ngozi nyeupe, upara
👨🏼‍🦲	mtu mzima, mwanamume, mwanamume: ngozi nyeupe kiasi na upara, ngozi nyeupe kiasi, upara
👨🏽‍🦲	mtu mzima, mwanamume, mwanamume: ngozi ya kahawia na upara, ngozi ya kahawia, upara
👨🏾‍🦲	mtu mzima, mwanamume, mwanamume: ngozi nyeusi kiasi na upara, ngozi nyeusi kiasi, upara
👨🏿‍🦲	mtu mzima, mwanamume, mwanamume: ngozi nyeusi na upara, ngozi nyeusi, upara
👩	msichana, mwanamke
👩🏻	msichana, mwanamke, mwanamke: ngozi nyeupe, ngozi nyeupe
👩🏼	msichana, mwanamke, mwanamke: ngozi nyeupe kiasi, ngozi nyeupe kiasi
👩🏽	msichana, mwanamke, mwanamke: ngozi ya kahawia, ngozi ya kahawia
👩🏾	msichana, mwanamke, mwanamke: ngozi nyeusi kiasi, ngozi nyeusi kiasi
👩🏿	msichana, mwanamke, mwanamke: ngozi nyeusi, ngozi nyeusi
👱‍♀	manjano, mwanamke mwenye nywele ya kimanjano, nywele
👱🏻‍♀	manjano, mwanamke mwenye nywele ya kimanjano, mwanamke mwenye nywele ya kimanjano: ngozi nyeupe, ngozi nyeupe, nywele
👱🏼‍♀	manjano, mwanamke mwenye nywele ya kimanjano, mwanamke mwenye nywele ya kimanjano: ngozi nyeupe kiasi, ngozi nyeupe kiasi, nywele
👱🏽‍♀	manjano, mwanamke mwenye nywele ya kimanjano, mwanamke mwenye nywele ya kimanjano: ngozi ya kahawia, ngozi ya kahawia, nywele
👱🏾‍♀	manjano, mwanamke mwenye nywele ya kimanjano, mwanamke mwenye nywele ya kimanjano: ngozi nyeusi kiasi, ngozi nyeusi kiasi, nywele
👱🏿‍♀	manjano, mwanamke mwenye nywele ya kimanjano, mwanamke mwenye nywele ya kimanjano: ngozi nyeusi, ngozi nyeusi, nywele
👩‍🦰	msichana, mwanamke, mwanamke: nywele nyekundu, nywele nyekundu
👩🏻‍🦰	msichana, mwanamke, mwanamke: ngozi nyeupe na nywele nyekundu, ngozi nyeupe, nywele nyekundu
👩🏼‍🦰	msichana, mwanamke, mwanamke: ngozi nyeupe kiasi na nywele nyekundu, ngozi nyeupe kiasi, nywele nyekundu
👩🏽‍🦰	msichana, mwanamke, mwanamke: ngozi ya kahawia na nywele nyekundu, ngozi ya kahawia, nywele nyekundu
👩🏾‍🦰	msichana, mwanamke, mwanamke: ngozi nyeusi kiasi na nywele nyekundu, ngozi nyeusi kiasi, nywele nyekundu
👩🏿‍🦰	msichana, mwanamke, mwanamke: ngozi nyeusi na nywele nyekundu, ngozi nyeusi, nywele nyekundu
👩‍🦱	msichana, mwanamke, mwanamke: nywele yenye mawimbi, nywele yenye mawimbi
👩🏻‍🦱	msichana, mwanamke, mwanamke: ngozi nyeupe na nywele yenye mawimbi, ngozi nyeupe, nywele yenye mawimbi
👩🏼‍🦱	msichana, mwanamke, mwanamke: ngozi nyeupe kiasi na nywele yenye mawimbi, ngozi nyeupe kiasi, nywele yenye mawimbi
👩🏽‍🦱	msichana, mwanamke, mwanamke: ngozi ya kahawia na nywele yenye mawimbi, ngozi ya kahawia, nywele yenye mawimbi
👩🏾‍🦱	msichana, mwanamke, mwanamke: ngozi nyeusi kiasi na nywele yenye mawimbi, ngozi nyeusi kiasi, nywele yenye mawimbi
👩🏿‍🦱	msichana, mwanamke, mwanamke: ngozi nyeusi na nywele yenye mawimbi, ngozi nyeusi, nywele yenye mawimbi
👩‍🦳	msichana, mwanamke, mwanamke: nywele nyeupe, nywele nyeupe
👩🏻‍🦳	msichana, mwanamke, mwanamke: ngozi nyeupe na nywele nyeupe, ngozi nyeupe, nywele nyeupe
👩🏼‍🦳	msichana, mwanamke, mwanamke: ngozi nyeupe kiasi na nywele nyeupe, ngozi nyeupe kiasi, nywele nyeupe
👩🏽‍🦳	msichana, mwanamke, mwanamke: ngozi ya kahawia na nywele nyeupe, ngozi ya kahawia, nywele nyeupe
👩🏾‍🦳	msichana, mwanamke, mwanamke: ngozi nyeusi kiasi na nywele nyeupe, ngozi nyeusi kiasi, nywele nyeupe
👩🏿‍🦳	msichana, mwanamke, mwanamke: ngozi nyeusi na nywele nyeupe, ngozi nyeusi, nywele nyeupe
👩‍🦲	msichana, mwanamke, mwanamke: upara, upara
👩🏻‍🦲	msichana, mwanamke, mwanamke: ngozi nyeupe na upara, ngozi nyeupe, upara
👩🏼‍🦲	msichana, mwanamke, mwanamke: ngozi nyeupe kiasi na upara, ngozi nyeupe kiasi, upara
👩🏽‍🦲	msichana, mwanamke, mwanamke: ngozi ya kahawia na upara, ngozi ya kahawia, upara
👩🏾‍🦲	msichana, mwanamke, mwanamke: ngozi nyeusi kiasi na upara, ngozi nyeusi kiasi, upara
👩🏿‍🦲	msichana, mwanamke, mwanamke: ngozi nyeusi na upara, ngozi nyeusi, upara
🧓	asiyejitambulisha na jinsia yoyote, mzee
🧓🏻	asiyejitambulisha na jinsia yoyote, mzee, mzee: ngozi nyeupe, ngozi nyeupe
🧓🏼	asiyejitambulisha na jinsia yoyote, mzee, mzee: ngozi nyeupe kiasi, ngozi nyeupe kiasi
🧓🏽	asiyejitambulisha na jinsia yoyote, mzee, mzee: ngozi ya kahawia, ngozi ya kahawia
🧓🏾	asiyejitambulisha na jinsia yoyote, mzee, mzee: ngozi nyeusi kiasi, ngozi nyeusi kiasi
🧓🏿	asiyejitambulisha na jinsia yoyote, mzee, mzee: ngozi nyeusi, ngozi nyeusi
👴	babu, mwanamume, mzee
👴🏻	babu, babu: ngozi nyeupe, mwanamume, mzee, ngozi nyeupe
👴🏼	babu, babu: ngozi nyeupe kiasi, mwanamume, mzee, ngozi nyeupe kiasi
👴🏽	babu, babu: ngozi ya kahawia, mwanamume, mzee, ngozi ya kahawia
